true_label,predicted_label,count,true_original_category_id,predicted_original_category_id
122,121,4,2287,2286
157,156,3,3114,3111
165,166,3,3257,3258
202,203,3,3848,3853
258,257,3,4808,4803
335,333,3,6543,6528
346,341,3,6735,6615
455,456,3,9083,9086
456,455,3,9086,9083
5,6,2,58,106
47,49,2,964,998
64,66,2,1188,1200
69,71,2,1290,1307
90,94,2,1674,1743
121,122,2,2286,2287
128,131,2,2504,2546
129,130,2,2532,2536
139,140,2,2646,2647
140,139,2,2647,2646
157,160,2,3114,3139
161,159,2,3143,3119
166,165,2,3258,3257
177,176,2,3470,3456
181,180,2,3502,3501
190,178,2,3644,3483
198,197,2,3752,3750
203,202,2,3853,3848
209,227,2,3946,4291
217,276,2,4061,5143
219,220,2,4073,4088
228,210,2,4304,3981
247,161,2,4562,3143
247,227,2,4562,4291
256,254,2,4741,4673
278,276,2,5155,5143
293,294,2,5514,5539
369,476,2,7177,9512
371,372,2,7238,7239
442,322,2,8883,6211
462,461,2,9197,9195
495,496,2,9932,9938
496,494,2,9938,9909
497,496,2,9939,9938
1,2,1,9,27
1,4,1,9,53
5,32,1,58,722
8,13,1,128,319
8,54,1,128,1113
8,381,1,128,7461
11,123,1,188,2296
14,338,1,344,6572
16,472,1,400,9459
17,300,1,406,5663
20,135,1,452,2591
22,7,1,514,117
22,9,1,514,152
22,11,1,514,188
25,141,1,590,2662
26,407,1,626,8179
27,393,1,634,7744
28,347,1,651,6745
28,363,1,651,7062
29,133,1,653,2579
31,318,1,711,6118
31,327,1,711,6267
32,215,1,722,4033
33,408,1,727,8201
35,8,1,757,128
36,269,1,771,5038
37,32,1,821,722
38,21,1,828,488
38,32,1,828,722
38,39,1,828,832
39,38,1,832,828
39,50,1,832,1040
43,42,1,936,931
46,84,1,960,1584
48,94,1,993,1743
49,87,1,998,1612
49,109,1,998,2041
50,48,1,1040,993
52,67,1,1084,1232
52,71,1,1084,1307
53,281,1,1104,5183
54,46,1,1113,960
54,86,1,1113,1604
55,44,1,1122,949
59,63,1,1139,1169
64,69,1,1188,1290
65,109,1,1193,2041
67,264,1,1232,4920
67,268,1,1232,5000
67,390,1,1232,7651
69,87,1,1290,1612
71,196,1,1307,3733
72,61,1,1312,1160
74,75,1,1389,1403
75,74,1,1403,1389
76,49,1,1424,998
76,94,1,1424,1743
