true_label,predicted_label,count,true_original_category_id,predicted_original_category_id
165,166,6,3257,3258
456,455,6,9086,9083
202,203,4,3848,3853
39,38,3,832,828
175,177,3,3450,3470
276,277,3,5143,5147
455,456,3,9083,9086
495,494,3,9932,9909
496,497,3,9938,9939
497,494,3,9939,9909
5,6,2,58,106
25,144,2,590,2697
47,49,2,964,998
52,53,2,1084,1104
66,65,2,1200,1193
74,75,2,1389,1403
77,82,2,1489,1535
78,81,2,1512,1530
81,80,2,1530,1528
90,94,2,1674,1743
92,88,2,1684,1638
114,110,2,2103,2045
121,122,2,2286,2287
122,121,2,2287,2286
128,135,2,2504,2591
129,130,2,2532,2536
133,308,2,2579,5881
134,128,2,2584,2504
139,140,2,2646,2647
140,139,2,2647,2646
166,165,2,3258,3257
173,174,2,3441,3443
177,176,2,3470,3456
180,181,2,3501,3502
182,238,2,3510,4374
193,232,2,3680,4339
198,197,2,3752,3750
206,204,2,3899,3872
228,210,2,4304,3981
233,224,2,4342,4173
258,257,2,4808,4803
265,266,2,4930,4956
278,276,2,5155,5143
313,314,2,5974,5977
314,313,2,5977,5974
322,414,2,6211,8317
333,484,2,6528,9654
335,333,2,6543,6528
373,398,2,7244,7811
418,419,2,8375,8379
441,472,2,8856,9459
442,322,2,8883,6211
468,385,2,9333,7527
495,496,2,9932,9938
1,2,1,9,27
1,26,1,9,626
2,0,1,27,6
3,2,1,35,27
6,5,1,106,58
7,4,1,117,53
7,8,1,117,128
7,18,1,117,409
7,35,1,117,757
7,262,1,117,4905
8,13,1,128,319
8,286,1,128,5378
8,347,1,128,6745
8,381,1,128,7461
11,123,1,188,2296
13,14,1,319,344
14,124,1,344,2340
14,333,1,344,6528
15,16,1,387,400
16,34,1,400,750
16,472,1,400,9459
17,8,1,406,128
17,155,1,406,3044
20,34,1,452,750
21,28,1,488,651
22,7,1,514,117
22,9,1,514,152
23,401,1,520,7956
26,122,1,626,2287
26,399,1,626,7886
27,338,1,634,6572
28,347,1,651,6745
28,363,1,651,7062
31,30,1,711,685
31,318,1,711,6118
31,327,1,711,6267
31,427,1,711,8669
31,430,1,711,8727
32,26,1,722,626
33,408,1,727,8201
34,36,1,750,771
35,22,1,757,514
35,28,1,757,651
36,35,1,771,757
38,21,1,828,488
38,32,1,828,722
