true_label,predicted_label,count,true_original_category_id,predicted_original_category_id
190,166,5,3644,3258
52,51,4,1084,1049
364,378,4,7066,7428
5,6,3,58,106
63,65,3,1169,1193
82,80,3,1535,1528
94,87,3,1743,1612
152,149,3,2927,2851
160,244,3,3139,4552
165,166,3,3257,3258
166,165,3,3258,3257
169,244,3,3295,4552
282,145,3,5279,2705
314,419,3,5977,8379
376,355,3,7359,6924
418,419,3,8375,8379
432,443,3,8785,8900
444,355,3,8928,6924
447,450,3,8977,9038
455,456,3,9083,9086
487,419,3,9749,8379
496,330,3,9938,6396
0,21,2,6,488
9,269,2,152,5038
10,290,2,158,5442
12,264,2,241,4920
15,103,2,387,1876
16,7,2,400,117
18,24,2,409,525
25,36,2,590,771
31,420,2,711,8423
34,32,2,750,722
41,61,2,916,1160
44,41,2,949,916
45,89,2,958,1654
49,93,2,998,1697
54,62,2,1113,1163
56,35,2,1127,757
61,295,2,1160,5559
63,53,2,1169,1104
63,66,2,1169,1200
65,59,2,1193,1139
69,144,2,1290,2697
71,68,2,1307,1235
76,65,2,1424,1193
77,80,2,1489,1528
80,78,2,1528,1512
81,80,2,1530,1528
82,132,2,1535,2547
86,41,2,1604,916
88,65,2,1638,1193
94,66,2,1743,1200
103,108,2,1876,1982
107,18,2,1964,409
109,256,2,2041,4741
111,114,2,2060,2103
119,19,2,2200,434
120,47,2,2266,964
122,141,2,2287,2662
124,125,2,2340,2414
126,127,2,2426,2442
129,36,2,2532,771
138,28,2,2621,651
138,196,2,2621,3733
141,386,2,2662,7541
150,264,2,2900,4920
151,152,2,2925,2927
152,151,2,2927,2925
155,99,2,3044,1796
158,163,2,3116,3164
161,159,2,3143,3119
161,162,2,3143,3150
163,183,2,3164,3527
168,166,2,3269,3258
174,178,2,3443,3483
175,230,2,3450,4325
176,177,2,3456,3470
177,179,2,3470,3492
178,190,2,3483,3644
178,265,2,3483,4930
180,45,2,3501,958
186,175,2,3593,3450
186,197,2,3593,3750
192,166,2,3657,3258
195,246,2,3728,4557
196,210,2,3733,3981
199,490,2,3770,9774
202,248,2,3848,4563
203,163,2,3853,3164
204,132,2,3872,2547
205,219,2,3878,4073
205,242,2,3878,4506
206,267,2,3899,4978
207,162,2,3910,3150
218,212,2,4065,4010
218,233,2,4065,4342
223,292,2,4119,5491
224,193,2,4173,3680
225,209,2,4272,3946
228,233,2,4304,4342
