Robustness classification report
model: dino
degradation: brightness
severity: 2
num_samples: 5000
num_classes: 500
nll: 0.987964

Overall metrics
top1_accuracy: 0.880400 (88.04%)
top2_accuracy: 0.926400 (92.64%)
top3_accuracy: 0.943400 (94.34%)
top4_accuracy: 0.950600 (95.06%)
top5_accuracy: 0.955200 (95.52%)
macro_precision: 0.892191 (89.22%)
macro_recall: 0.880400 (88.04%)
macro_f1: 0.880705 (88.07%)

Per-class metrics
class  precision  recall  f1_score  support
000    0.909091   1.000000  0.952381  10
001    1.000000   0.700000  0.823529  10
002    0.800000   0.800000  0.800000  10
003    0.888889   0.800000  0.842105  10
004    0.909091   1.000000  0.952381  10
005    0.900000   0.900000  0.900000  10
006    0.900000   0.900000  0.900000  10
007    1.000000   1.000000  1.000000  10
008    0.875000   0.700000  0.777778  10
009    1.000000   1.000000  1.000000  10
010    0.909091   1.000000  0.952381  10
011    1.000000   0.800000  0.888889  10
012    1.000000   1.000000  1.000000  10
013    0.909091   1.000000  0.952381  10
014    1.000000   0.900000  0.947368  10
015    1.000000   1.000000  1.000000  10
016    1.000000   0.900000  0.947368  10
017    0.800000   0.800000  0.800000  10
018    0.909091   1.000000  0.952381  10
019    1.000000   0.800000  0.888889  10
020    1.000000   0.900000  0.947368  10
021    0.909091   1.000000  0.952381  10
022    0.777778   0.700000  0.736842  10
023    0.769231   1.000000  0.869565  10
024    1.000000   1.000000  1.000000  10
025    0.900000   0.900000  0.900000  10
026    0.750000   0.900000  0.818182  10
027    1.000000   0.800000  0.888889  10
028    1.000000   0.800000  0.888889  10
029    1.000000   1.000000  1.000000  10
030    0.833333   1.000000  0.909091  10
031    1.000000   0.700000  0.823529  10
032    1.000000   0.800000  0.888889  10
033    0.888889   0.800000  0.842105  10
034    0.769231   1.000000  0.869565  10
035    0.818182   0.900000  0.857143  10
036    0.714286   1.000000  0.833333  10
037    1.000000   0.900000  0.947368  10
038    1.000000   0.900000  0.947368  10
039    0.875000   0.700000  0.777778  10
040    1.000000   0.900000  0.947368  10
041    1.000000   1.000000  1.000000  10
042    0.888889   0.800000  0.842105  10
043    1.000000   0.900000  0.947368  10
044    1.000000   0.900000  0.947368  10
045    1.000000   1.000000  1.000000  10
046    0.909091   1.000000  0.952381  10
047    1.000000   1.000000  1.000000  10
048    0.909091   1.000000  0.952381  10
049    0.900000   0.900000  0.900000  10
050    1.000000   1.000000  1.000000  10
051    0.909091   1.000000  0.952381  10
052    0.875000   0.700000  0.777778  10
053    1.000000   0.900000  0.947368  10
054    0.900000   0.900000  0.900000  10
055    0.900000   0.900000  0.900000  10
056    0.833333   1.000000  0.909091  10
057    1.000000   0.900000  0.947368  10
058    1.000000   1.000000  1.000000  10
059    1.000000   0.900000  0.947368  10
060    0.900000   0.900000  0.900000  10
061    1.000000   1.000000  1.000000  10
062    1.000000   1.000000  1.000000  10
063    0.818182   0.900000  0.857143  10
064    1.000000   0.600000  0.750000  10
065    0.888889   0.800000  0.842105  10
066    0.666667   1.000000  0.800000  10
067    1.000000   0.800000  0.888889  10
068    1.000000   1.000000  1.000000  10
069    0.818182   0.900000  0.857143  10
070    1.000000   1.000000  1.000000  10
071    0.777778   0.700000  0.736842  10
072    1.000000   1.000000  1.000000  10
073    0.769231   1.000000  0.869565  10
074    0.833333   1.000000  0.909091  10
075    0.900000   0.900000  0.900000  10
076    1.000000   0.800000  0.888889  10
077    0.909091   1.000000  0.952381  10
078    0.900000   0.900000  0.900000  10
079    1.000000   0.800000  0.888889  10
080    1.000000   1.000000  1.000000  10
081    1.000000   0.800000  0.888889  10
082    1.000000   1.000000  1.000000  10
083    1.000000   1.000000  1.000000  10
084    1.000000   0.600000  0.750000  10
085    1.000000   1.000000  1.000000  10
086    0.909091   1.000000  0.952381  10
087    0.900000   0.900000  0.900000  10
088    0.692308   0.900000  0.782609  10
089    1.000000   1.000000  1.000000  10
090    1.000000   0.700000  0.823529  10
091    1.000000   1.000000  1.000000  10
092    1.000000   0.900000  0.947368  10
093    1.000000   1.000000  1.000000  10
094    0.666667   0.800000  0.727273  10
095    1.000000   1.000000  1.000000  10
096    1.000000   1.000000  1.000000  10
097    1.000000   0.800000  0.888889  10
098    0.818182   0.900000  0.857143  10
099    1.000000   0.900000  0.947368  10
100    0.909091   1.000000  0.952381  10
101    1.000000   1.000000  1.000000  10
102    0.900000   0.900000  0.900000  10
103    1.000000   0.700000  0.823529  10
104    0.900000   0.900000  0.900000  10
105    0.875000   0.700000  0.777778  10
106    0.888889   0.800000  0.842105  10
107    0.909091   1.000000  0.952381  10
108    1.000000   1.000000  1.000000  10
109    1.000000   1.000000  1.000000  10
110    0.900000   0.900000  0.900000  10
111    1.000000   0.900000  0.947368  10
112    1.000000   1.000000  1.000000  10
113    0.909091   1.000000  0.952381  10
114    1.000000   1.000000  1.000000  10
115    1.000000   0.900000  0.947368  10
116    1.000000   1.000000  1.000000  10
117    0.909091   1.000000  0.952381  10
118    1.000000   1.000000  1.000000  10
119    1.000000   0.800000  0.888889  10
120    0.909091   1.000000  0.952381  10
121    0.666667   0.800000  0.727273  10
122    1.000000   0.500000  0.666667  10
123    0.888889   0.800000  0.842105  10
124    1.000000   1.000000  1.000000  10
125    1.000000   0.900000  0.947368  10
126    1.000000   1.000000  1.000000  10
127    1.000000   1.000000  1.000000  10
128    0.909091   1.000000  0.952381  10
129    1.000000   0.900000  0.947368  10
130    0.777778   0.700000  0.736842  10
131    1.000000   0.700000  0.823529  10
132    1.000000   0.900000  0.947368  10
133    1.000000   0.900000  0.947368  10
134    1.000000   1.000000  1.000000  10
135    0.769231   1.000000  0.869565  10
136    0.875000   0.700000  0.777778  10
137    0.714286   1.000000  0.833333  10
138    0.900000   0.900000  0.900000  10
139    0.625000   0.500000  0.555556  10
140    0.666667   0.800000  0.727273  10
141    1.000000   1.000000  1.000000  10
142    1.000000   0.900000  0.947368  10
143    1.000000   0.700000  0.823529  10
144    0.833333   1.000000  0.909091  10
145    1.000000   1.000000  1.000000  10
146    1.000000   0.900000  0.947368  10
147    1.000000   0.900000  0.947368  10
148    0.900000   0.900000  0.900000  10
149    1.000000   1.000000  1.000000  10
150    0.750000   0.900000  0.818182  10
151    1.000000   1.000000  1.000000  10
152    0.888889   0.800000  0.842105  10
153    1.000000   1.000000  1.000000  10
154    0.800000   0.800000  0.800000  10
155    0.857143   0.600000  0.705882  10
156    0.692308   0.900000  0.782609  10
157    0.571429   0.400000  0.470588  10
158    0.700000   0.700000  0.700000  10
159    0.800000   0.800000  0.800000  10
160    0.777778   0.700000  0.736842  10
161    0.384615   0.500000  0.434783  10
162    0.750000   0.900000  0.818182  10
163    0.833333   1.000000  0.909091  10
164    0.750000   0.900000  0.818182  10
165    0.666667   0.800000  0.727273  10
166    1.000000   0.600000  0.750000  10
167    1.000000   0.800000  0.888889  10
168    0.727273   0.800000  0.761905  10
169    0.909091   1.000000  0.952381  10
170    0.888889   0.800000  0.842105  10
171    0.692308   0.900000  0.782609  10
172    0.900000   0.900000  0.900000  10
173    1.000000   0.800000  0.888889  10
174    0.800000   0.800000  0.800000  10
175    0.857143   0.600000  0.705882  10
176    0.714286   1.000000  0.833333  10
177    0.800000   0.800000  0.800000  10
178    1.000000   0.800000  0.888889  10
179    0.888889   0.800000  0.842105  10
180    0.700000   0.700000  0.700000  10
181    0.800000   0.800000  0.800000  10
182    1.000000   0.700000  0.823529  10
183    0.900000   0.900000  0.900000  10
184    1.000000   0.800000  0.888889  10
185    0.636364   0.700000  0.666667  10
186    0.692308   0.900000  0.782609  10
187    0.583333   0.700000  0.636364  10
188    0.727273   0.800000  0.761905  10
189    1.000000   1.000000  1.000000  10
190    1.000000   0.900000  0.947368  10
191    0.833333   1.000000  0.909091  10
192    0.888889   0.800000  0.842105  10
193    0.888889   0.800000  0.842105  10
194    0.727273   0.800000  0.761905  10
195    0.777778   0.700000  0.736842  10
196    0.909091   1.000000  0.952381  10
197    0.700000   0.700000  0.700000  10
198    0.700000   0.700000  0.700000  10
