Robustness classification report
model: dino
degradation: gaussian_blur
severity: 2
num_samples: 5000
num_classes: 500
nll: 2.138993

Overall metrics
top1_accuracy: 0.686400 (68.64%)
top2_accuracy: 0.774400 (77.44%)
top3_accuracy: 0.807400 (80.74%)
top4_accuracy: 0.825800 (82.58%)
top5_accuracy: 0.840200 (84.02%)
macro_precision: 0.763892 (76.39%)
macro_recall: 0.686400 (68.64%)
macro_f1: 0.691441 (69.14%)

Per-class metrics
class  precision  recall  f1_score  support
000    0.888889   0.800000  0.842105  10
001    0.875000   0.700000  0.777778  10
002    0.888889   0.800000  0.842105  10
003    0.857143   0.600000  0.705882  10
004    0.777778   0.700000  0.736842  10
005    0.615385   0.800000  0.695652  10
006    0.714286   0.500000  0.588235  10
007    0.700000   0.700000  0.700000  10
008    0.400000   0.600000  0.480000  10
009    1.000000   0.800000  0.888889  10
010    0.750000   0.600000  0.666667  10
011    1.000000   0.800000  0.888889  10
012    1.000000   0.900000  0.947368  10
013    0.750000   0.900000  0.818182  10
014    0.642857   0.900000  0.750000  10
015    0.800000   0.800000  0.800000  10
016    0.888889   0.800000  0.842105  10
017    0.500000   1.000000  0.666667  10
018    0.625000   1.000000  0.769231  10
019    1.000000   0.900000  0.947368  10
020    1.000000   0.600000  0.750000  10
021    1.000000   0.800000  0.888889  10
022    0.750000   0.600000  0.666667  10
023    0.769231   1.000000  0.869565  10
024    0.625000   1.000000  0.769231  10
025    0.642857   0.900000  0.750000  10
026    0.500000   0.300000  0.375000  10
027    0.750000   0.300000  0.428571  10
028    0.444444   0.800000  0.571429  10
029    0.900000   0.900000  0.900000  10
030    0.833333   1.000000  0.909091  10
031    0.800000   0.800000  0.800000  10
032    1.000000   0.800000  0.888889  10
033    0.888889   0.800000  0.842105  10
034    0.562500   0.900000  0.692308  10
035    0.409091   0.900000  0.562500  10
036    0.400000   1.000000  0.571429  10
037    0.625000   1.000000  0.769231  10
038    0.571429   0.400000  0.470588  10
039    0.714286   0.500000  0.588235  10
040    0.533333   0.800000  0.640000  10
041    1.000000   1.000000  1.000000  10
042    0.875000   0.700000  0.777778  10
043    0.909091   1.000000  0.952381  10
044    0.714286   1.000000  0.833333  10
045    0.900000   0.900000  0.900000  10
046    0.800000   0.800000  0.800000  10
047    1.000000   0.900000  0.947368  10
048    1.000000   0.400000  0.571429  10
049    1.000000   0.600000  0.750000  10
050    0.818182   0.900000  0.857143  10
051    0.909091   1.000000  0.952381  10
052    1.000000   0.500000  0.666667  10
053    1.000000   0.600000  0.750000  10
054    0.727273   0.800000  0.761905  10
055    0.714286   0.500000  0.588235  10
056    1.000000   0.200000  0.333333  10
057    0.411765   0.700000  0.518519  10
058    1.000000   0.800000  0.888889  10
059    1.000000   0.600000  0.750000  10
060    1.000000   1.000000  1.000000  10
061    1.000000   0.900000  0.947368  10
062    1.000000   1.000000  1.000000  10
063    1.000000   0.900000  0.947368  10
064    1.000000   0.600000  0.750000  10
065    0.700000   0.700000  0.700000  10
066    0.777778   0.700000  0.736842  10
067    1.000000   0.400000  0.571429  10
068    0.833333   1.000000  0.909091  10
069    0.588235   1.000000  0.740741  10
070    0.769231   1.000000  0.869565  10
071    0.583333   0.700000  0.636364  10
072    1.000000   1.000000  1.000000  10
073    0.750000   0.600000  0.666667  10
074    1.000000   0.900000  0.947368  10
075    0.750000   0.900000  0.818182  10
076    0.875000   0.700000  0.777778  10
077    0.888889   0.800000  0.842105  10
078    0.571429   0.800000  0.666667  10
079    0.875000   0.700000  0.777778  10
080    1.000000   0.400000  0.571429  10
081    1.000000   0.700000  0.823529  10
082    0.642857   0.900000  0.750000  10
083    0.800000   0.800000  0.800000  10
084    0.750000   0.300000  0.428571  10
085    1.000000   1.000000  1.000000  10
086    0.900000   0.900000  0.900000  10
087    0.800000   0.800000  0.800000  10
088    0.473684   0.900000  0.620690  10
089    0.727273   0.800000  0.761905  10
090    0.666667   0.400000  0.500000  10
091    1.000000   1.000000  1.000000  10
092    1.000000   0.900000  0.947368  10
093    0.625000   1.000000  0.769231  10
094    0.700000   0.700000  0.700000  10
095    0.833333   1.000000  0.909091  10
096    0.833333   1.000000  0.909091  10
097    1.000000   0.800000  0.888889  10
098    0.666667   0.600000  0.631579  10
099    0.857143   0.600000  0.705882  10
100    0.700000   0.700000  0.700000  10
101    1.000000   1.000000  1.000000  10
102    1.000000   0.800000  0.888889  10
103    0.857143   0.600000  0.705882  10
104    1.000000   0.600000  0.750000  10
105    1.000000   0.600000  0.750000  10
106    0.700000   0.700000  0.700000  10
107    0.888889   0.800000  0.842105  10
108    1.000000   0.900000  0.947368  10
109    0.900000   0.900000  0.900000  10
110    1.000000   0.600000  0.750000  10
111    1.000000   0.700000  0.823529  10
112    0.900000   0.900000  0.900000  10
113    0.900000   0.900000  0.900000  10
114    0.642857   0.900000  0.750000  10
115    1.000000   0.900000  0.947368  10
116    1.000000   1.000000  1.000000  10
117    0.818182   0.900000  0.857143  10
118    0.750000   0.900000  0.818182  10
119    1.000000   0.500000  0.666667  10
120    0.642857   0.900000  0.750000  10
121    0.428571   0.300000  0.352941  10
122    0.833333   0.500000  0.625000  10
123    1.000000   0.400000  0.571429  10
124    0.909091   1.000000  0.952381  10
125    0.750000   0.900000  0.818182  10
126    1.000000   0.800000  0.888889  10
127    0.833333   0.500000  0.625000  10
128    0.700000   0.700000  0.700000  10
129    0.833333   0.500000  0.625000  10
130    0.714286   0.500000  0.588235  10
131    0.461538   0.600000  0.521739  10
132    1.000000   0.800000  0.888889  10
133    1.000000   0.500000  0.666667  10
134    1.000000   0.900000  0.947368  10
135    0.900000   0.900000  0.900000  10
136    1.000000   0.300000  0.461538  10
137    0.562500   0.900000  0.692308  10
138    0.538462   0.700000  0.608696  10
139    0.461538   0.600000  0.521739  10
140    0.833333   0.500000  0.625000  10
141    0.777778   0.700000  0.736842  10
142    1.000000   0.600000  0.750000  10
143    0.875000   0.700000  0.777778  10
144    0.727273   0.800000  0.761905  10
145    1.000000   0.800000  0.888889  10
146    0.888889   0.800000  0.842105  10
147    0.833333   0.500000  0.625000  10
148    0.888889   0.800000  0.842105  10
149    0.900000   0.900000  0.900000  10
150    0.454545   0.500000  0.476190  10
151    0.714286   1.000000  0.833333  10
152    0.750000   0.300000  0.428571  10
153    0.666667   0.600000  0.631579  10
154    0.545455   0.600000  0.571429  10
155    0.400000   0.200000  0.266667  10
156    0.636364   0.700000  0.666667  10
157    0.666667   0.200000  0.307692  10
158    0.571429   0.400000  0.470588  10
159    0.233333   0.700000  0.350000  10
160    0.800000   0.400000  0.533333  10
161    0.363636   0.400000  0.380952  10
162    0.700000   0.700000  0.700000  10
163    0.666667   1.000000  0.800000  10
