Robustness classification report
model: dino
degradation: gaussian_noise
severity: 3
num_samples: 5000
num_classes: 500
nll: 2.126666

Overall metrics
top1_accuracy: 0.694200 (69.42%)
top2_accuracy: 0.777400 (77.74%)
top3_accuracy: 0.810800 (81.08%)
top4_accuracy: 0.833200 (83.32%)
top5_accuracy: 0.847400 (84.74%)
macro_precision: 0.772195 (77.22%)
macro_recall: 0.694200 (69.42%)
macro_f1: 0.705367 (70.54%)

Per-class metrics
class  precision  recall  f1_score  support
000    0.818182   0.900000  0.857143  10
001    0.700000   0.700000  0.700000  10
002    0.600000   0.900000  0.720000  10
003    1.000000   0.800000  0.888889  10
004    0.500000   0.700000  0.583333  10
005    0.727273   0.800000  0.761905  10
006    0.700000   0.700000  0.700000  10
007    0.875000   0.700000  0.777778  10
008    0.636364   0.700000  0.666667  10
009    1.000000   0.800000  0.888889  10
010    0.888889   0.800000  0.842105  10
011    1.000000   0.800000  0.888889  10
012    1.000000   1.000000  1.000000  10
013    0.800000   0.800000  0.800000  10
014    0.875000   0.700000  0.777778  10
015    0.875000   0.700000  0.777778  10
016    0.800000   0.800000  0.800000  10
017    0.800000   0.800000  0.800000  10
018    0.769231   1.000000  0.869565  10
019    1.000000   0.800000  0.888889  10
020    0.700000   0.700000  0.700000  10
021    0.833333   1.000000  0.909091  10
022    0.750000   0.600000  0.666667  10
023    0.692308   0.900000  0.782609  10
024    1.000000   1.000000  1.000000  10
025    1.000000   0.700000  0.823529  10
026    0.384615   0.500000  0.434783  10
027    0.875000   0.700000  0.777778  10
028    0.714286   0.500000  0.588235  10
029    1.000000   0.600000  0.750000  10
030    0.900000   0.900000  0.900000  10
031    1.000000   0.500000  0.666667  10
032    0.800000   0.800000  0.800000  10
033    0.857143   0.600000  0.705882  10
034    0.800000   0.800000  0.800000  10
035    0.666667   0.600000  0.631579  10
036    0.263158   1.000000  0.416667  10
037    0.875000   0.700000  0.777778  10
038    0.833333   0.500000  0.625000  10
039    1.000000   0.600000  0.750000  10
040    0.888889   0.800000  0.842105  10
041    1.000000   0.900000  0.947368  10
042    0.857143   0.600000  0.705882  10
043    1.000000   0.900000  0.947368  10
044    1.000000   0.700000  0.823529  10
045    0.818182   0.900000  0.857143  10
046    1.000000   0.900000  0.947368  10
047    0.800000   0.800000  0.800000  10
048    0.800000   0.400000  0.533333  10
049    0.666667   0.600000  0.631579  10
050    1.000000   0.700000  0.823529  10
051    0.692308   0.900000  0.782609  10
052    0.857143   0.600000  0.705882  10
053    1.000000   0.700000  0.823529  10
054    1.000000   0.700000  0.823529  10
055    0.714286   0.500000  0.588235  10
056    1.000000   0.600000  0.750000  10
057    0.888889   0.800000  0.842105  10
058    1.000000   1.000000  1.000000  10
059    1.000000   0.800000  0.888889  10
060    0.900000   0.900000  0.900000  10
061    0.875000   0.700000  0.777778  10
062    1.000000   1.000000  1.000000  10
063    0.777778   0.700000  0.736842  10
064    1.000000   0.600000  0.750000  10
065    0.285714   0.800000  0.421053  10
066    0.666667   0.800000  0.727273  10
067    0.500000   0.500000  0.500000  10
068    0.900000   0.900000  0.900000  10
