Robustness classification report
model: dino
degradation: jpeg
severity: 4
num_samples: 5000
num_classes: 500
nll: 1.436586

Overall metrics
top1_accuracy: 0.802600 (80.26%)
top2_accuracy: 0.864800 (86.48%)
top3_accuracy: 0.892400 (89.24%)
top4_accuracy: 0.910000 (91.00%)
top5_accuracy: 0.918800 (91.88%)
macro_precision: 0.825488 (82.55%)
macro_recall: 0.802600 (80.26%)
macro_f1: 0.802975 (80.30%)

Per-class metrics
class  precision  recall  f1_score  support
000    0.833333   1.000000  0.909091  10
001    0.888889   0.800000  0.842105  10
002    0.818182   0.900000  0.857143  10
003    1.000000   0.700000  0.823529  10
004    0.666667   0.800000  0.727273  10
005    0.800000   0.800000  0.800000  10
006    0.818182   0.900000  0.857143  10
007    0.857143   0.600000  0.705882  10
008    0.461538   0.600000  0.521739  10
009    1.000000   1.000000  1.000000  10
010    0.900000   0.900000  0.900000  10
011    1.000000   0.900000  0.947368  10
012    0.909091   1.000000  0.952381  10
013    0.750000   0.900000  0.818182  10
014    0.750000   0.900000  0.818182  10
015    1.000000   0.900000  0.947368  10
016    0.750000   0.900000  0.818182  10
017    0.833333   1.000000  0.909091  10
018    0.769231   1.000000  0.869565  10
019    0.888889   0.800000  0.842105  10
020    0.800000   0.800000  0.800000  10
021    0.900000   0.900000  0.900000  10
022    0.800000   0.800000  0.800000  10
023    0.714286   1.000000  0.833333  10
024    1.000000   1.000000  1.000000  10
025    1.000000   0.900000  0.947368  10
026    0.666667   0.800000  0.727273  10
027    0.857143   0.600000  0.705882  10
028    0.800000   0.800000  0.800000  10
029    1.000000   0.700000  0.823529  10
030    0.909091   1.000000  0.952381  10
031    0.888889   0.800000  0.842105  10
032    0.800000   0.800000  0.800000  10
033    1.000000   0.800000  0.888889  10
034    0.714286   1.000000  0.833333  10
035    0.666667   0.800000  0.727273  10
036    0.833333   1.000000  0.909091  10
037    0.833333   1.000000  0.909091  10
038    1.000000   0.400000  0.571429  10
039    0.857143   0.600000  0.705882  10
040    0.900000   0.900000  0.900000  10
041    0.909091   1.000000  0.952381  10
042    1.000000   0.700000  0.823529  10
043    1.000000   0.900000  0.947368  10
044    0.818182   0.900000  0.857143  10
045    1.000000   1.000000  1.000000  10
046    1.000000   1.000000  1.000000  10
047    1.000000   0.900000  0.947368  10
048    1.000000   0.600000  0.750000  10
049    0.538462   0.700000  0.608696  10
050    1.000000   1.000000  1.000000  10
051    0.909091   1.000000  0.952381  10
052    1.000000   0.700000  0.823529  10
053    1.000000   0.900000  0.947368  10
054    0.750000   0.900000  0.818182  10
055    1.000000   0.900000  0.947368  10
056    0.833333   0.500000  0.625000  10
057    0.800000   0.800000  0.800000  10
058    1.000000   0.900000  0.947368  10
059    1.000000   0.800000  0.888889  10
060    0.900000   0.900000  0.900000  10
061    1.000000   1.000000  1.000000  10
062    1.000000   1.000000  1.000000  10
063    0.714286   1.000000  0.833333  10
064    1.000000   0.600000  0.750000  10
065    0.727273   0.800000  0.761905  10
066    0.888889   0.800000  0.842105  10
067    1.000000   0.600000  0.750000  10
068    0.909091   1.000000  0.952381  10
069    0.571429   0.800000  0.666667  10
070    1.000000   1.000000  1.000000  10
071    0.583333   0.700000  0.636364  10
072    0.833333   1.000000  0.909091  10
073    0.692308   0.900000  0.782609  10
074    0.750000   0.900000  0.818182  10
075    0.818182   0.900000  0.857143  10
076    0.777778   0.700000  0.736842  10
077    0.888889   0.800000  0.842105  10
078    0.875000   0.700000  0.777778  10
079    0.888889   0.800000  0.842105  10
080    0.833333   1.000000  0.909091  10
081    1.000000   0.700000  0.823529  10
082    0.714286   1.000000  0.833333  10
083    0.909091   1.000000  0.952381  10
084    1.000000   0.400000  0.571429  10
085    0.909091   1.000000  0.952381  10
086    0.750000   0.900000  0.818182  10
087    0.818182   0.900000  0.857143  10
088    0.600000   0.900000  0.720000  10
089    1.000000   0.900000  0.947368  10
090    1.000000   0.600000  0.750000  10
091    1.000000   1.000000  1.000000  10
092    1.000000   0.900000  0.947368  10
093    0.909091   1.000000  0.952381  10
094    0.666667   0.800000  0.727273  10
095    0.909091   1.000000  0.952381  10
096    0.909091   1.000000  0.952381  10
097    1.000000   0.800000  0.888889  10
098    0.875000   0.700000  0.777778  10
099    1.000000   0.800000  0.888889  10
100    0.875000   0.700000  0.777778  10
101    0.909091   1.000000  0.952381  10
102    0.900000   0.900000  0.900000  10
103    0.888889   0.800000  0.842105  10
104    1.000000   0.900000  0.947368  10
