Robustness classification report
model: dino
degradation: motion_blur
severity: 1
num_samples: 5000
num_classes: 500
nll: 1.022698

Overall metrics
top1_accuracy: 0.868600 (86.86%)
top2_accuracy: 0.920800 (92.08%)
top3_accuracy: 0.939400 (93.94%)
top4_accuracy: 0.947600 (94.76%)
top5_accuracy: 0.954000 (95.40%)
macro_precision: 0.880315 (88.03%)
macro_recall: 0.868600 (86.86%)
macro_f1: 0.868318 (86.83%)

Per-class metrics
class  precision  recall  f1_score  support
000    0.909091   1.000000  0.952381  10
001    0.888889   0.800000  0.842105  10
002    0.800000   0.800000  0.800000  10
003    0.888889   0.800000  0.842105  10
004    1.000000   1.000000  1.000000  10
005    0.750000   0.900000  0.818182  10
006    0.900000   0.900000  0.900000  10
007    0.909091   1.000000  0.952381  10
008    1.000000   0.600000  0.750000  10
009    1.000000   1.000000  1.000000  10
010    0.909091   1.000000  0.952381  10
011    0.900000   0.900000  0.900000  10
012    1.000000   1.000000  1.000000  10
013    1.000000   1.000000  1.000000  10
014    1.000000   0.900000  0.947368  10
015    1.000000   1.000000  1.000000  10
016    1.000000   0.900000  0.947368  10
017    0.900000   0.900000  0.900000  10
018    0.769231   1.000000  0.869565  10
019    1.000000   0.800000  0.888889  10
020    1.000000   0.800000  0.888889  10
021    0.909091   1.000000  0.952381  10
022    0.818182   0.900000  0.857143  10
023    0.909091   1.000000  0.952381  10
024    0.909091   1.000000  0.952381  10
025    0.818182   0.900000  0.857143  10
026    0.888889   0.800000  0.842105  10
027    0.888889   0.800000  0.842105  10
028    1.000000   0.800000  0.888889  10
029    1.000000   1.000000  1.000000  10
030    0.833333   1.000000  0.909091  10
031    0.875000   0.700000  0.777778  10
032    0.888889   0.800000  0.842105  10
033    1.000000   0.800000  0.888889  10
034    0.909091   1.000000  0.952381  10
035    1.000000   1.000000  1.000000  10
036    0.833333   1.000000  0.909091  10
037    1.000000   1.000000  1.000000  10
038    1.000000   0.900000  0.947368  10
039    1.000000   0.800000  0.888889  10
040    0.900000   0.900000  0.900000  10
041    0.909091   1.000000  0.952381  10
042    0.875000   0.700000  0.777778  10
043    1.000000   0.900000  0.947368  10
044    0.833333   1.000000  0.909091  10
045    1.000000   1.000000  1.000000  10
046    0.909091   1.000000  0.952381  10
047    1.000000   0.900000  0.947368  10
048    1.000000   1.000000  1.000000  10
049    0.833333   0.500000  0.625000  10
050    0.833333   1.000000  0.909091  10
051    0.909091   1.000000  0.952381  10
052    0.857143   0.600000  0.705882  10
053    0.900000   0.900000  0.900000  10
054    0.900000   0.900000  0.900000  10
055    0.900000   0.900000  0.900000  10
056    1.000000   0.800000  0.888889  10
057    0.900000   0.900000  0.900000  10
058    1.000000   1.000000  1.000000  10
059    1.000000   0.900000  0.947368  10
060    1.000000   1.000000  1.000000  10
061    1.000000   1.000000  1.000000  10
062    1.000000   1.000000  1.000000  10
063    1.000000   1.000000  1.000000  10
064    1.000000   0.700000  0.823529  10
065    0.727273   0.800000  0.761905  10
066    0.818182   0.900000  0.857143  10
067    1.000000   0.700000  0.823529  10
068    0.909091   1.000000  0.952381  10
069    0.692308   0.900000  0.782609  10
070    1.000000   1.000000  1.000000  10
071    0.900000   0.900000  0.900000  10
072    1.000000   1.000000  1.000000  10
073    0.909091   1.000000  0.952381  10
074    0.909091   1.000000  0.952381  10
075    0.900000   0.900000  0.900000  10
076    0.875000   0.700000  0.777778  10
077    0.900000   0.900000  0.900000  10
078    1.000000   0.800000  0.888889  10
079    1.000000   0.900000  0.947368  10
080    1.000000   0.900000  0.947368  10
081    1.000000   0.900000  0.947368  10
082    0.909091   1.000000  0.952381  10
083    1.000000   1.000000  1.000000  10
084    1.000000   0.500000  0.666667  10
085    1.000000   1.000000  1.000000  10
086    1.000000   0.900000  0.947368  10
087    0.900000   0.900000  0.900000  10
088    0.473684   0.900000  0.620690  10
089    0.909091   1.000000  0.952381  10
090    1.000000   0.700000  0.823529  10
091    1.000000   1.000000  1.000000  10
092    1.000000   0.900000  0.947368  10
093    0.909091   1.000000  0.952381  10
094    0.636364   0.700000  0.666667  10
095    1.000000   1.000000  1.000000  10
096    1.000000   1.000000  1.000000  10
097    1.000000   0.900000  0.947368  10
098    0.818182   0.900000  0.857143  10
099    1.000000   0.900000  0.947368  10
100    0.909091   1.000000  0.952381  10
101    1.000000   1.000000  1.000000  10
102    0.900000   0.900000  0.900000  10
103    0.875000   0.700000  0.777778  10
104    1.000000   0.900000  0.947368  10
105    1.000000   0.700000  0.823529  10
106    0.888889   0.800000  0.842105  10
107    0.909091   1.000000  0.952381  10
108    1.000000   1.000000  1.000000  10
109    0.909091   1.000000  0.952381  10
110    0.692308   0.900000  0.782609  10
111    1.000000   0.800000  0.888889  10
112    1.000000   1.000000  1.000000  10
113    0.909091   1.000000  0.952381  10
114    0.909091   1.000000  0.952381  10
115    0.818182   0.900000  0.857143  10
116    1.000000   1.000000  1.000000  10
117    0.909091   1.000000  0.952381  10
118    1.000000   1.000000  1.000000  10
119    1.000000   0.800000  0.888889  10
120    0.833333   1.000000  0.909091  10
121    0.727273   0.800000  0.761905  10
122    1.000000   0.600000  0.750000  10
123    1.000000   0.800000  0.888889  10
124    1.000000   1.000000  1.000000  10
125    0.900000   0.900000  0.900000  10
126    1.000000   0.800000  0.888889  10
127    0.888889   0.800000  0.842105  10
128    0.909091   1.000000  0.952381  10
129    1.000000   0.800000  0.888889  10
130    0.857143   0.600000  0.705882  10
131    0.636364   0.700000  0.666667  10
132    0.909091   1.000000  0.952381  10
133    1.000000   0.800000  0.888889  10
134    1.000000   1.000000  1.000000  10
135    0.833333   1.000000  0.909091  10
136    0.888889   0.800000  0.842105  10
137    0.769231   1.000000  0.869565  10
138    1.000000   0.900000  0.947368  10
139    0.636364   0.700000  0.666667  10
140    0.800000   0.800000  0.800000  10
141    0.909091   1.000000  0.952381  10
142    1.000000   0.800000  0.888889  10
143    1.000000   0.700000  0.823529  10
144    0.714286   1.000000  0.833333  10
145    1.000000   0.900000  0.947368  10
146    1.000000   0.900000  0.947368  10
147    1.000000   0.900000  0.947368  10
148    0.800000   0.800000  0.800000  10
149    0.909091   1.000000  0.952381  10
150    0.727273   0.800000  0.761905  10
151    0.909091   1.000000  0.952381  10
152    0.875000   0.700000  0.777778  10
153    0.909091   1.000000  0.952381  10
154    0.700000   0.700000  0.700000  10
155    0.750000   0.600000  0.666667  10
156    0.615385   0.800000  0.695652  10
157    0.600000   0.300000  0.400000  10
158    0.666667   0.800000  0.727273  10
159    0.615385   0.800000  0.695652  10
160    0.583333   0.700000  0.636364  10
161    0.500000   0.600000  0.545455  10
162    0.692308   0.900000  0.782609  10
163    1.000000   1.000000  1.000000  10
164    0.615385   0.800000  0.695652  10
165    0.538462   0.700000  0.608696  10
166    0.857143   0.600000  0.705882  10
167    1.000000   0.800000  0.888889  10
168    0.800000   0.800000  0.800000  10
169    0.833333   1.000000  0.909091  10
170    0.900000   0.900000  0.900000  10
171    0.888889   0.800000  0.842105  10
172    0.900000   0.900000  0.900000  10
173    1.000000   0.700000  0.823529  10
174    0.800000   0.800000  0.800000  10
175    0.600000   0.600000  0.600000  10
176    0.818182   0.900000  0.857143  10
177    0.888889   0.800000  0.842105  10
178    0.857143   0.600000  0.705882  10
179    1.000000   0.800000  0.888889  10
180    0.875000   0.700000  0.777778  10
181    0.818182   0.900000  0.857143  10
182    1.000000   0.700000  0.823529  10
183    0.909091   1.000000  0.952381  10
184    1.000000   0.800000  0.888889  10
185    0.818182   0.900000  0.857143  10
186    0.909091   1.000000  0.952381  10
187    0.666667   0.600000  0.631579  10
188    0.800000   0.800000  0.800000  10
189    1.000000   1.000000  1.000000  10
190    1.000000   0.700000  0.823529  10
191    0.833333   1.000000  0.909091  10
192    0.888889   0.800000  0.842105  10
193    0.900000   0.900000  0.900000  10
194    0.800000   0.800000  0.800000  10
195    0.727273   0.800000  0.761905  10
196    1.000000   1.000000  1.000000  10
197    0.700000   0.700000  0.700000  10
198    0.777778   0.700000  0.736842  10
199    0.800000   0.800000  0.800000  10
200    1.000000   0.800000  0.888889  10
201    0.900000   0.900000  0.900000  10
202    0.636364   0.700000  0.666667  10
203    0.466667   0.700000  0.560000  10
204    0.714286   1.000000  0.833333  10
205    0.909091   1.000000  0.952381  10
206    0.750000   0.600000  0.666667  10
207    0.818182   0.900000  0.857143  10
208    0.818182   0.900000  0.857143  10
209    1.000000   0.700000  0.823529  10
210    1.000000   0.900000  0.947368  10
211    1.000000   0.900000  0.947368  10
212    0.700000   0.700000  0.700000  10
213    1.000000   0.700000  0.823529  10
214    0.666667   0.800000  0.727273  10
215    0.888889   0.800000  0.842105  10
216    1.000000   0.800000  0.888889  10
217    1.000000   0.800000  0.888889  10
218    0.900000   0.900000  0.900000  10
219    1.000000   0.800000  0.888889  10
220    0.666667   0.800000  0.727273  10
221    1.000000   0.900000  0.947368  10
222    0.833333   1.000000  0.909091  10
223    1.000000   1.000000  1.000000  10
224    0.777778   0.700000  0.736842  10
225    0.692308   0.900000  0.782609  10
226    0.750000   0.900000  0.818182  10
227    0.500000   0.700000  0.583333  10
228    0.857143   0.600000  0.705882  10
229    0.909091   1.000000  0.952381  10
230    0.750000   0.900000  0.818182  10
231    0.875000   0.700000  0.777778  10
232    0.750000   0.600000  0.666667  10
233    0.750000   0.600000  0.666667  10
234    0.818182   0.900000  0.857143  10
235    0.750000   0.900000  0.818182  10
236    0.818182   0.900000  0.857143  10
237    1.000000   0.900000  0.947368  10
238    0.909091   1.000000  0.952381  10
239    0.857143   0.600000  0.705882  10
240    0.800000   0.800000  0.800000  10
241    0.875000   0.700000  0.777778  10
242    0.888889   0.800000  0.842105  10
243    1.000000   1.000000  1.000000  10
244    0.818182   0.900000  0.857143  10
245    0.538462   0.700000  0.608696  10
246    0.555556   0.500000  0.526316  10
247    0.625000   0.500000  0.555556  10
248    0.888889   0.800000  0.842105  10
249    0.900000   0.900000  0.900000  10
250    0.909091   1.000000  0.952381  10
