Test classification report: validation-selected ensemble
num_samples: 5000
weights: cbp=0.066335, api=0.184994, api_from_cbp=0.278367, cbp_api_from_cbp=0.470305
fusion_space: logits
weights_selected_on: validation only

Overall metrics
top1_accuracy: 0.850800 (85.08%)
top2_accuracy: 0.909800 (90.98%)
top3_accuracy: 0.928600 (92.86%)
top4_accuracy: 0.938600 (93.86%)
top5_accuracy: 0.946600 (94.66%)
macro_precision: 0.863222 (86.32%)
macro_recall: 0.850800 (85.08%)
macro_f1: 0.850648 (85.06%)

Per-class metrics
class  precision  recall  f1_score  support
000    1.000000   1.000000  1.000000  10
001    0.800000   0.800000  0.800000  10
002    0.636364   0.700000  0.666667  10
003    1.000000   0.800000  0.888889  10
004    0.888889   0.800000  0.842105  10
005    0.818182   0.900000  0.857143  10
006    0.800000   0.800000  0.800000  10
007    0.909091   1.000000  0.952381  10
008    0.888889   0.800000  0.842105  10
009    1.000000   1.000000  1.000000  10
010    1.000000   1.000000  1.000000  10
011    0.888889   0.800000  0.842105  10
012    1.000000   1.000000  1.000000  10
013    0.909091   1.000000  0.952381  10
014    1.000000   1.000000  1.000000  10
015    1.000000   0.900000  0.947368  10
016    0.818182   0.900000  0.857143  10
017    1.000000   0.900000  0.947368  10
018    0.909091   1.000000  0.952381  10
019    1.000000   1.000000  1.000000  10
020    1.000000   0.700000  0.823529  10
021    1.000000   1.000000  1.000000  10
022    0.857143   0.600000  0.705882  10
023    0.714286   1.000000  0.833333  10
024    0.909091   1.000000  0.952381  10
025    0.909091   1.000000  0.952381  10
026    0.875000   0.700000  0.777778  10
027    1.000000   0.900000  0.947368  10
028    1.000000   0.800000  0.888889  10
029    1.000000   1.000000  1.000000  10
030    0.909091   1.000000  0.952381  10
031    0.800000   0.800000  0.800000  10
032    1.000000   0.900000  0.947368  10
033    1.000000   0.800000  0.888889  10
034    0.818182   0.900000  0.857143  10
035    0.769231   1.000000  0.869565  10
036    0.769231   1.000000  0.869565  10
037    1.000000   0.900000  0.947368  10
038    1.000000   0.900000  0.947368  10
039    0.900000   0.900000  0.900000  10
040    0.900000   0.900000  0.900000  10
041    0.909091   1.000000  0.952381  10
042    1.000000   0.800000  0.888889  10
043    1.000000   0.900000  0.947368  10
044    0.900000   0.900000  0.900000  10
045    0.909091   1.000000  0.952381  10
046    0.909091   1.000000  0.952381  10
047    0.909091   1.000000  0.952381  10
048    1.000000   1.000000  1.000000  10
049    0.888889   0.800000  0.842105  10
050    1.000000   1.000000  1.000000  10
051    1.000000   1.000000  1.000000  10
052    0.875000   0.700000  0.777778  10
053    1.000000   1.000000  1.000000  10
054    0.818182   0.900000  0.857143  10
055    0.900000   0.900000  0.900000  10
056    0.909091   1.000000  0.952381  10
057    0.909091   1.000000  0.952381  10
058    1.000000   1.000000  1.000000  10
059    1.000000   0.900000  0.947368  10
060    1.000000   1.000000  1.000000  10
061    1.000000   1.000000  1.000000  10
062    1.000000   1.000000  1.000000  10
063    0.833333   1.000000  0.909091  10
064    0.888889   0.800000  0.842105  10
065    1.000000   0.800000  0.888889  10
066    0.909091   1.000000  0.952381  10
067    1.000000   0.700000  0.823529  10
068    1.000000   0.900000  0.947368  10
069    0.800000   0.800000  0.800000  10
070    1.000000   1.000000  1.000000  10
071    0.900000   0.900000  0.900000  10
