Robustness classification report
model: ensemble
degradation: gaussian_blur
severity: 3
num_samples: 5000
num_classes: 500
nll: 3.714037

Overall metrics
top1_accuracy: 0.329800 (32.98%)
top2_accuracy: 0.415200 (41.52%)
top3_accuracy: 0.463000 (46.30%)
top4_accuracy: 0.498800 (49.88%)
top5_accuracy: 0.523800 (52.38%)
macro_precision: 0.549887 (54.99%)
macro_recall: 0.329800 (32.98%)
macro_f1: 0.356859 (35.69%)

Per-class metrics
class  precision  recall  f1_score  support
000    1.000000   0.200000  0.333333  10
001    0.750000   0.300000  0.428571  10
002    0.750000   0.600000  0.666667  10
003    0.600000   0.600000  0.600000  10
004    0.500000   0.500000  0.500000  10
005    0.666667   0.200000  0.307692  10
006    0.500000   0.200000  0.285714  10
007    0.375000   0.300000  0.333333  10
008    0.384615   0.500000  0.434783  10
009    1.000000   0.400000  0.571429  10
010    1.000000   0.200000  0.333333  10
011    0.750000   0.600000  0.666667  10
012    1.000000   0.300000  0.461538  10
013    0.409091   0.900000  0.562500  10
014    0.461538   0.600000  0.521739  10
015    1.000000   0.400000  0.571429  10
016    0.307692   0.400000  0.347826  10
017    0.135593   0.800000  0.231884  10
018    0.500000   0.700000  0.583333  10
019    1.000000   0.400000  0.571429  10
020    1.000000   0.200000  0.333333  10
021    1.000000   0.600000  0.750000  10
022    1.000000   0.200000  0.333333  10
023    0.625000   0.500000  0.555556  10
024    0.434783   1.000000  0.606061  10
025    0.500000   0.700000  0.583333  10
026    0.500000   0.200000  0.285714  10
027    0.000000   0.000000  0.000000  10
028    0.333333   0.400000  0.363636  10
029    0.833333   1.000000  0.909091  10
030    0.600000   0.600000  0.600000  10
031    0.750000   0.300000  0.428571  10
032    1.000000   0.700000  0.823529  10
033    0.333333   0.400000  0.363636  10
034    0.666667   0.200000  0.307692  10
035    0.088889   0.800000  0.160000  10
036    0.600000   0.300000  0.400000  10
037    0.263158   0.500000  0.344828  10
038    0.000000   0.000000  0.000000  10
039    0.142857   0.100000  0.117647  10
040    1.000000   0.200000  0.333333  10
041    0.833333   1.000000  0.909091  10
042    0.600000   0.600000  0.600000  10
043    0.470588   0.800000  0.592593  10
044    0.444444   0.800000  0.571429  10
045    0.777778   0.700000  0.736842  10
046    0.700000   0.700000  0.700000  10
047    0.571429   0.400000  0.470588  10
048    0.000000   0.000000  0.000000  10
049    0.500000   0.100000  0.166667  10
050    1.000000   0.600000  0.750000  10
051    0.714286   0.500000  0.588235  10
052    1.000000   0.200000  0.333333  10
053    1.000000   0.300000  0.461538  10
054    0.454545   0.500000  0.476190  10
055    0.666667   0.400000  0.500000  10
056    1.000000   0.100000  0.181818  10
057    0.625000   0.500000  0.555556  10
058    1.000000   0.900000  0.947368  10
059    1.000000   0.600000  0.750000  10
060    0.562500   0.900000  0.692308  10
061    1.000000   0.600000  0.750000  10
062    0.692308   0.900000  0.782609  10
063    0.800000   0.800000  0.800000  10
064    0.666667   0.400000  0.500000  10
065    1.000000   0.400000  0.571429  10
066    0.833333   0.500000  0.625000  10
067    1.000000   0.100000  0.181818  10
068    0.350000   0.700000  0.466667  10
069    0.500000   0.400000  0.444444  10
070    0.500000   0.900000  0.642857  10
071    0.666667   0.400000  0.500000  10
072    0.714286   0.500000  0.588235  10
073    0.500000   0.200000  0.285714  10
074    1.000000   0.400000  0.571429  10
075    0.750000   0.300000  0.428571  10
076    1.000000   0.400000  0.571429  10
077    0.750000   0.300000  0.428571  10
078    0.571429   0.400000  0.470588  10
079    1.000000   0.200000  0.333333  10
080    1.000000   0.200000  0.333333  10
081    1.000000   0.100000  0.181818  10
082    0.260870   0.600000  0.363636  10
083    0.500000   0.600000  0.545455  10
084    0.250000   0.100000  0.142857  10
085    0.833333   1.000000  0.909091  10
086    0.714286   0.500000  0.588235  10
087    0.500000   0.200000  0.285714  10
088    0.217391   0.500000  0.303030  10
089    0.571429   0.800000  0.666667  10
090    0.500000   0.200000  0.285714  10
091    1.000000   0.900000  0.947368  10
092    0.600000   0.600000  0.600000  10
093    0.625000   1.000000  0.769231  10
094    0.333333   0.200000  0.250000  10
095    1.000000   0.800000  0.888889  10
096    0.615385   0.800000  0.695652  10
097    1.000000   0.400000  0.571429  10
098    0.500000   0.100000  0.166667  10
099    1.000000   0.300000  0.461538  10
100    0.750000   0.300000  0.428571  10
101    1.000000   0.600000  0.750000  10
102    0.857143   0.600000  0.705882  10
103    0.500000   0.200000  0.285714  10
104    1.000000   0.400000  0.571429  10
105    0.600000   0.300000  0.400000  10
106    0.714286   0.500000  0.588235  10
107    0.461538   0.600000  0.521739  10
108    0.777778   0.700000  0.736842  10
109    0.636364   0.700000  0.666667  10
110    0.000000   0.000000  0.000000  10
111    1.000000   0.300000  0.461538  10
112    0.529412   0.900000  0.666667  10
113    1.000000   0.600000  0.750000  10
114    1.000000   0.300000  0.461538  10
115    0.625000   0.500000  0.555556  10
116    1.000000   1.000000  1.000000  10
117    1.000000   0.500000  0.666667  10
118    1.000000   0.700000  0.823529  10
119    1.000000   0.200000  0.333333  10
120    0.571429   0.400000  0.470588  10
121    0.333333   0.200000  0.250000  10
122    1.000000   0.200000  0.333333  10
123    0.000000   0.000000  0.000000  10
124    0.275862   0.800000  0.410256  10
125    0.222222   0.400000  0.285714  10
126    1.000000   0.200000  0.333333  10
127    0.500000   0.100000  0.166667  10
128    0.000000   0.000000  0.000000  10
129    1.000000   0.100000  0.181818  10
130    0.000000   0.000000  0.000000  10
131    0.000000   0.000000  0.000000  10
132    0.555556   0.500000  0.526316  10
133    1.000000   0.100000  0.181818  10
134    1.000000   0.200000  0.333333  10
135    0.000000   0.000000  0.000000  10
136    0.000000   0.000000  0.000000  10
137    0.222222   0.400000  0.285714  10
138    0.750000   0.600000  0.666667  10
139    0.500000   0.200000  0.285714  10
140    1.000000   0.200000  0.333333  10
141    1.000000   0.300000  0.461538  10
142    1.000000   0.100000  0.181818  10
143    0.000000   0.000000  0.000000  10
144    1.000000   0.100000  0.181818  10
145    0.500000   0.300000  0.375000  10
146    0.600000   0.600000  0.600000  10
147    0.400000   0.200000  0.266667  10
148    1.000000   0.400000  0.571429  10
149    0.636364   0.700000  0.666667  10
150    0.571429   0.400000  0.470588  10
151    0.500000   0.100000  0.166667  10
152    0.272727   0.300000  0.285714  10
153    0.200000   0.200000  0.200000  10
154    0.545455   0.600000  0.571429  10
155    0.500000   0.100000  0.166667  10
156    1.000000   0.300000  0.461538  10
157    0.000000   0.000000  0.000000  10
158    0.666667   0.200000  0.307692  10
159    0.101695   0.600000  0.173913  10
160    0.000000   0.000000  0.000000  10
161    0.500000   0.200000  0.285714  10
162    0.416667   0.500000  0.454545  10
163    0.800000   0.400000  0.533333  10
164    0.666667   0.600000  0.631579  10
165    0.263158   0.500000  0.344828  10
166    0.176471   0.300000  0.222222  10
167    0.857143   0.600000  0.705882  10
168    1.000000   0.700000  0.823529  10
169    0.000000   0.000000  0.000000  10
170    0.350000   0.700000  0.466667  10
171    1.000000   0.300000  0.461538  10
172    1.000000   0.500000  0.666667  10
173    0.500000   0.600000  0.545455  10
174    0.666667   0.200000  0.307692  10
175    0.600000   0.300000  0.400000  10
176    0.800000   0.400000  0.533333  10
177    0.500000   0.300000  0.375000  10
178    0.500000   0.600000  0.545455  10
179    0.000000   0.000000  0.000000  10
180    0.000000   0.000000  0.000000  10
181    0.206897   0.600000  0.307692  10
182    1.000000   0.400000  0.571429  10
183    0.666667   0.400000  0.500000  10
184    1.000000   0.300000  0.461538  10
185    0.666667   0.400000  0.500000  10
186    0.666667   0.400000  0.500000  10
187    0.444444   0.400000  0.421053  10
188    0.096154   0.500000  0.161290  10
189    0.857143   0.600000  0.705882  10
190    0.375000   0.300000  0.333333  10
191    0.128205   0.500000  0.204082  10
192    1.000000   0.500000  0.666667  10
193    0.000000   0.000000  0.000000  10
194    0.012376   0.500000  0.024155  10
195    0.140000   0.700000  0.233333  10
196    0.454545   0.500000  0.476190  10
197    0.800000   0.400000  0.533333  10
198    1.000000   0.300000  0.461538  10
199    0.000000   0.000000  0.000000  10
200    0.666667   0.800000  0.727273  10
201    0.057143   0.400000  0.100000  10
202    0.250000   0.600000  0.352941  10
203    0.285714   0.400000  0.333333  10
204    0.250000   0.200000  0.222222  10
205    1.000000   0.700000  0.823529  10
206    0.666667   0.200000  0.307692  10
207    0.833333   0.500000  0.625000  10
208    1.000000   0.500000  0.666667  10
209    1.000000   0.200000  0.333333  10
210    1.000000   0.400000  0.571429  10
211    0.571429   0.800000  0.666667  10
212    1.000000   0.200000  0.333333  10
213    0.166667   0.100000  0.125000  10
214    1.000000   0.600000  0.750000  10
215    0.333333   0.100000  0.153846  10
216    0.000000   0.000000  0.000000  10
217    1.000000   0.100000  0.181818  10
218    0.162162   0.600000  0.255319  10
219    0.384615   0.500000  0.434783  10
220    0.214286   0.300000  0.250000  10
221    1.000000   0.200000  0.333333  10
222    1.000000   0.300000  0.461538  10
223    0.700000   0.700000  0.700000  10
224    0.750000   0.300000  0.428571  10
225    0.008073   0.800000  0.015984  10
226    1.000000   0.200000  0.333333  10
227    0.000000   0.000000  0.000000  10
228    0.250000   0.200000  0.222222  10
229    0.500000   0.500000  0.500000  10
230    0.750000   0.300000  0.428571  10
231    0.571429   0.400000  0.470588  10
232    1.000000   0.100000  0.181818  10
233    0.444444   0.400000  0.421053  10
234    0.400000   0.200000  0.266667  10
235    0.666667   0.200000  0.307692  10
236    0.333333   0.300000  0.315789  10
237    0.000000   0.000000  0.000000  10
238    0.833333   0.500000  0.625000  10
239    1.000000   0.300000  0.461538  10
240    0.600000   0.300000  0.400000  10
241    0.600000   0.300000  0.400000  10
242    0.750000   0.300000  0.428571  10
243    0.571429   0.800000  0.666667  10
244    0.250000   0.200000  0.222222  10
245    1.000000   0.200000  0.333333  10
246    0.111111   0.100000  0.105263  10
247    0.111111   0.100000  0.105263  10
248    1.000000   0.400000  0.571429  10
249    1.000000   0.200000  0.333333  10
250    1.000000   0.500000  0.666667  10
251    1.000000   0.500000  0.666667  10
252    0.666667   0.400000  0.500000  10
253    0.090909   0.100000  0.095238  10
254    1.000000   0.500000  0.666667  10
255    0.160000   0.400000  0.228571  10
256    0.400000   0.200000  0.266667  10
257    0.333333   0.100000  0.153846  10
258    0.000000   0.000000  0.000000  10
259    0.666667   0.200000  0.307692  10
260    0.000000   0.000000  0.000000  10
261    0.416667   0.500000  0.454545  10
262    0.666667   0.400000  0.500000  10
263    1.000000   0.200000  0.333333  10
264    0.888889   0.800000  0.842105  10
265    0.300000   0.300000  0.300000  10
266    0.200000   0.100000  0.133333  10
267    0.666667   0.200000  0.307692  10
268    1.000000   0.400000  0.571429  10
269    0.000000   0.000000  0.000000  10
270    0.000000   0.000000  0.000000  10
271    0.461538   0.600000  0.521739  10
272    0.800000   0.400000  0.533333  10
273    1.000000   0.200000  0.333333  10
274    1.000000   0.100000  0.181818  10
275    1.000000   0.100000  0.181818  10
276    0.500000   0.100000  0.166667  10
277    0.416667   0.500000  0.454545  10
278    0.000000   0.000000  0.000000  10
279    1.000000   0.600000  0.750000  10
280    0.000000   0.000000  0.000000  10
281    1.000000   0.300000  0.461538  10
282    0.666667   0.200000  0.307692  10
283    1.000000   0.300000  0.461538  10
284    0.750000   0.600000  0.666667  10
285    0.666667   0.800000  0.727273  10
286    1.000000   0.300000  0.461538  10
287    0.000000   0.000000  0.000000  10
288    1.000000   0.300000  0.461538  10
289    0.000000   0.000000  0.000000  10
290    0.454545   0.500000  0.476190  10
291    1.000000   0.400000  0.571429  10
292    0.666667   0.400000  0.500000  10
293    0.583333   0.700000  0.636364  10
294    0.384615   0.500000  0.434783  10
295    0.714286   0.500000  0.588235  10
296    0.571429   0.800000  0.666667  10
297    0.500000   0.100000  0.166667  10
298    1.000000   0.500000  0.666667  10
299    1.000000   0.200000  0.333333  10
300    1.000000   0.700000  0.823529  10
301    0.777778   0.700000  0.736842  10
302    0.500000   0.400000  0.444444  10
303    0.400000   0.200000  0.266667  10
304    1.000000   0.100000  0.181818  10
305    0.000000   0.000000  0.000000  10
306    0.063291   0.500000  0.112360  10
307    1.000000   0.500000  0.666667  10
308    0.333333   0.100000  0.153846  10
309    0.263158   0.500000  0.344828  10
310    1.000000   0.200000  0.333333  10
311    1.000000   0.300000  0.461538  10
312    1.000000   0.200000  0.333333  10
313    1.000000   0.200000  0.333333  10
314    1.000000   0.100000  0.181818  10
315    0.000000   0.000000  0.000000  10
316    0.400000   0.600000  0.480000  10
317    0.000000   0.000000  0.000000  10
318    1.000000   0.400000  0.571429  10
319    0.875000   0.700000  0.777778  10
320    1.000000   0.300000  0.461538  10
321    0.000000   0.000000  0.000000  10
322    0.000000   0.000000  0.000000  10
323    0.000000   0.000000  0.000000  10
324    0.666667   0.200000  0.307692  10
325    0.000000   0.000000  0.000000  10
326    1.000000   0.100000  0.181818  10
327    0.666667   0.200000  0.307692  10
328    0.000000   0.000000  0.000000  10
329    1.000000   0.900000  0.947368  10
330    1.000000   0.100000  0.181818  10
331    0.800000   0.400000  0.533333  10
332    1.000000   0.100000  0.181818  10
333    0.000000   0.000000  0.000000  10
334    1.000000   0.300000  0.461538  10
335    0.333333   0.200000  0.250000  10
336    0.000000   0.000000  0.000000  10
337    1.000000   0.100000  0.181818  10
338    0.363636   0.400000  0.380952  10
339    1.000000   0.200000  0.333333  10
340    0.363636   0.400000  0.380952  10
341    0.166667   0.200000  0.181818  10
342    0.400000   0.600000  0.480000  10
343    1.000000   0.100000  0.181818  10
344    0.600000   0.300000  0.400000  10
345    0.230769   0.900000  0.367347  10
346    0.333333   0.100000  0.153846  10
347    1.000000   0.300000  0.461538  10
348    1.000000   0.300000  0.461538  10
349    0.000000   0.000000  0.000000  10
350    0.600000   0.600000  0.600000  10
351    0.000000   0.000000  0.000000  10
352    1.000000   0.300000  0.461538  10
353    1.000000   0.200000  0.333333  10
354    0.333333   0.400000  0.363636  10
355    0.000000   0.000000  0.000000  10
356    1.000000   0.100000  0.181818  10
357    0.000000   0.000000  0.000000  10
358    1.000000   0.200000  0.333333  10
359    0.000000   0.000000  0.000000  10
360    0.833333   0.500000  0.625000  10
361    0.571429   0.400000  0.470588  10
362    0.833333   0.500000  0.625000  10
363    0.230769   0.300000  0.260870  10
