Robustness classification report
model: ensemble
degradation: gaussian_noise
severity: 4
num_samples: 5000
num_classes: 500
nll: 2.594477

Overall metrics
top1_accuracy: 0.518000 (51.80%)
top2_accuracy: 0.616600 (61.66%)
top3_accuracy: 0.672200 (67.22%)
top4_accuracy: 0.701200 (70.12%)
top5_accuracy: 0.719000 (71.90%)
macro_precision: 0.697891 (69.79%)
macro_recall: 0.518000 (51.80%)
macro_f1: 0.545577 (54.56%)

Per-class metrics
class  precision  recall  f1_score  support
000    0.900000   0.900000  0.900000  10
001    0.625000   0.500000  0.555556  10
002    0.750000   0.600000  0.666667  10
003    1.000000   0.500000  0.666667  10
004    0.833333   0.500000  0.625000  10
005    0.857143   0.600000  0.705882  10
006    0.800000   0.800000  0.800000  10
007    1.000000   0.500000  0.666667  10
008    0.583333   0.700000  0.636364  10
009    1.000000   0.700000  0.823529  10
010    1.000000   0.500000  0.666667  10
011    1.000000   0.500000  0.666667  10
012    1.000000   1.000000  1.000000  10
013    0.777778   0.700000  0.736842  10
014    0.444444   0.800000  0.571429  10
015    1.000000   0.500000  0.666667  10
016    0.615385   0.800000  0.695652  10
017    0.421053   0.800000  0.551724  10
018    1.000000   1.000000  1.000000  10
019    0.888889   0.800000  0.842105  10
020    0.454545   0.500000  0.476190  10
021    1.000000   0.900000  0.947368  10
022    0.750000   0.600000  0.666667  10
023    0.625000   0.500000  0.555556  10
024    0.900000   0.900000  0.900000  10
025    0.416667   0.500000  0.454545  10
026    0.666667   0.400000  0.500000  10
027    0.666667   0.400000  0.500000  10
028    0.500000   0.100000  0.166667  10
029    1.000000   0.800000  0.888889  10
030    1.000000   0.500000  0.666667  10
031    1.000000   0.400000  0.571429  10
032    1.000000   0.800000  0.888889  10
033    0.333333   0.100000  0.153846  10
034    0.357143   0.500000  0.416667  10
035    0.500000   0.300000  0.375000  10
036    0.304348   0.700000  0.424242  10
037    0.833333   0.500000  0.625000  10
038    1.000000   0.100000  0.181818  10
039    1.000000   0.500000  0.666667  10
040    0.833333   0.500000  0.625000  10
041    1.000000   0.800000  0.888889  10
042    0.714286   0.500000  0.588235  10
043    1.000000   0.800000  0.888889  10
044    0.625000   0.500000  0.555556  10
045    0.750000   0.600000  0.666667  10
046    1.000000   0.700000  0.823529  10
047    0.571429   0.800000  0.666667  10
048    1.000000   0.300000  0.461538  10
049    0.750000   0.300000  0.428571  10
050    1.000000   0.500000  0.666667  10
051    0.437500   0.700000  0.538462  10
052    0.600000   0.300000  0.400000  10
053    1.000000   0.300000  0.461538  10
054    1.000000   0.400000  0.571429  10
055    0.600000   0.600000  0.600000  10
056    0.500000   0.200000  0.285714  10
057    0.727273   0.800000  0.761905  10
058    0.909091   1.000000  0.952381  10
059    1.000000   0.700000  0.823529  10
060    0.529412   0.900000  0.666667  10
061    0.500000   0.800000  0.615385  10
062    1.000000   0.900000  0.947368  10
063    1.000000   0.500000  0.666667  10
064    1.000000   0.400000  0.571429  10
065    0.500000   0.500000  0.500000  10
066    0.411765   0.700000  0.518519  10
067    0.400000   0.600000  0.480000  10
068    1.000000   0.500000  0.666667  10
069    0.200000   0.800000  0.320000  10
070    1.000000   0.800000  0.888889  10
071    0.800000   0.400000  0.533333  10
072    0.600000   0.600000  0.600000  10
073    0.700000   0.700000  0.700000  10
074    1.000000   0.600000  0.750000  10
075    0.875000   0.700000  0.777778  10
076    0.875000   0.700000  0.777778  10
077    0.857143   0.600000  0.705882  10
078    0.800000   0.400000  0.533333  10
079    1.000000   0.700000  0.823529  10
080    1.000000   0.400000  0.571429  10
081    1.000000   0.500000  0.666667  10
082    0.666667   0.600000  0.631579  10
083    1.000000   0.200000  0.333333  10
084    1.000000   0.400000  0.571429  10
085    1.000000   0.900000  0.947368  10
086    0.714286   0.500000  0.588235  10
087    0.437500   0.700000  0.538462  10
088    0.538462   0.700000  0.608696  10
089    1.000000   0.700000  0.823529  10
090    1.000000   0.200000  0.333333  10
091    1.000000   0.500000  0.666667  10
092    1.000000   0.600000  0.750000  10
093    0.588235   1.000000  0.740741  10
094    0.470588   0.800000  0.592593  10
095    1.000000   0.700000  0.823529  10
096    0.888889   0.800000  0.842105  10
097    0.666667   0.800000  0.727273  10
098    1.000000   0.400000  0.571429  10
099    0.777778   0.700000  0.736842  10
100    0.454545   0.500000  0.476190  10
101    1.000000   1.000000  1.000000  10
102    1.000000   0.900000  0.947368  10
103    0.666667   0.400000  0.500000  10
104    1.000000   0.600000  0.750000  10
105    1.000000   0.800000  0.888889  10
106    1.000000   0.700000  0.823529  10
107    1.000000   0.600000  0.750000  10
108    0.888889   0.800000  0.842105  10
109    0.888889   0.800000  0.842105  10
110    1.000000   0.200000  0.333333  10
111    0.500000   0.400000  0.444444  10
112    1.000000   0.900000  0.947368  10
113    0.909091   1.000000  0.952381  10
114    0.571429   0.400000  0.470588  10
115    1.000000   0.700000  0.823529  10
116    1.000000   1.000000  1.000000  10
117    1.000000   0.700000  0.823529  10
118    1.000000   0.700000  0.823529  10
119    1.000000   0.400000  0.571429  10
120    1.000000   0.500000  0.666667  10
121    0.428571   0.300000  0.352941  10
122    0.750000   0.300000  0.428571  10
