Robustness classification report
model: ensemble
degradation: jpeg
severity: 2
num_samples: 5000
num_classes: 500
nll: 0.782919

Overall metrics
top1_accuracy: 0.833200 (83.32%)
top2_accuracy: 0.895600 (89.56%)
top3_accuracy: 0.919200 (91.92%)
top4_accuracy: 0.931400 (93.14%)
top5_accuracy: 0.937400 (93.74%)
macro_precision: 0.849504 (84.95%)
macro_recall: 0.833200 (83.32%)
macro_f1: 0.832875 (83.29%)

Per-class metrics
class  precision  recall  f1_score  support
000    0.833333   1.000000  0.909091  10
001    0.875000   0.700000  0.777778  10
002    0.818182   0.900000  0.857143  10
003    1.000000   0.800000  0.888889  10
004    0.900000   0.900000  0.900000  10
005    1.000000   1.000000  1.000000  10
006    1.000000   1.000000  1.000000  10
007    1.000000   0.900000  0.947368  10
008    0.888889   0.800000  0.842105  10
009    1.000000   1.000000  1.000000  10
010    1.000000   1.000000  1.000000  10
011    0.888889   0.800000  0.842105  10
012    1.000000   0.900000  0.947368  10
013    0.900000   0.900000  0.900000  10
014    0.750000   0.900000  0.818182  10
015    1.000000   0.900000  0.947368  10
016    1.000000   0.900000  0.947368  10
017    1.000000   1.000000  1.000000  10
018    0.909091   1.000000  0.952381  10
019    0.900000   0.900000  0.900000  10
020    1.000000   0.900000  0.947368  10
021    1.000000   1.000000  1.000000  10
022    1.000000   0.600000  0.750000  10
023    0.909091   1.000000  0.952381  10
024    0.909091   1.000000  0.952381  10
025    1.000000   1.000000  1.000000  10
026    0.692308   0.900000  0.782609  10
027    1.000000   0.900000  0.947368  10
028    1.000000   0.800000  0.888889  10
029    0.909091   1.000000  0.952381  10
030    0.909091   1.000000  0.952381  10
031    0.875000   0.700000  0.777778  10
032    1.000000   0.900000  0.947368  10
033    0.800000   0.800000  0.800000  10
034    0.833333   1.000000  0.909091  10
035    0.642857   0.900000  0.750000  10
036    0.833333   1.000000  0.909091  10
037    1.000000   0.900000  0.947368  10
038    1.000000   0.800000  0.888889  10
039    0.700000   0.700000  0.700000  10
040    1.000000   0.900000  0.947368  10
041    0.769231   1.000000  0.869565  10
042    1.000000   0.800000  0.888889  10
043    1.000000   0.900000  0.947368  10
044    0.900000   0.900000  0.900000  10
045    0.909091   1.000000  0.952381  10
046    1.000000   1.000000  1.000000  10
047    1.000000   1.000000  1.000000  10
048    1.000000   1.000000  1.000000  10
049    1.000000   0.800000  0.888889  10
050    0.909091   1.000000  0.952381  10
051    0.900000   0.900000  0.900000  10
052    1.000000   0.800000  0.888889  10
053    0.888889   0.800000  0.842105  10
054    0.900000   0.900000  0.900000  10
055    0.888889   0.800000  0.842105  10
056    0.888889   0.800000  0.842105  10
057    0.750000   0.900000  0.818182  10
058    1.000000   1.000000  1.000000  10
059    1.000000   0.900000  0.947368  10
060    0.909091   1.000000  0.952381  10
061    0.909091   1.000000  0.952381  10
062    1.000000   1.000000  1.000000  10
063    0.909091   1.000000  0.952381  10
064    1.000000   0.800000  0.888889  10
065    0.800000   0.800000  0.800000  10
066    1.000000   0.800000  0.888889  10
067    0.875000   0.700000  0.777778  10
068    0.900000   0.900000  0.900000  10
069    0.818182   0.900000  0.857143  10
070    0.909091   1.000000  0.952381  10
071    0.900000   0.900000  0.900000  10
072    1.000000   1.000000  1.000000  10
073    0.833333   1.000000  0.909091  10
074    0.818182   0.900000  0.857143  10
075    1.000000   0.900000  0.947368  10
076    1.000000   0.800000  0.888889  10
077    0.900000   0.900000  0.900000  10
078    0.888889   0.800000  0.842105  10
079    0.909091   1.000000  0.952381  10
080    1.000000   0.800000  0.888889  10
081    1.000000   0.900000  0.947368  10
082    0.769231   1.000000  0.869565  10
083    0.833333   1.000000  0.909091  10
084    1.000000   0.400000  0.571429  10
085    1.000000   1.000000  1.000000  10
086    0.900000   0.900000  0.900000  10
087    0.769231   1.000000  0.869565  10
088    0.642857   0.900000  0.750000  10
089    0.900000   0.900000  0.900000  10
090    0.777778   0.700000  0.736842  10
091    1.000000   1.000000  1.000000  10
092    1.000000   0.800000  0.888889  10
093    0.909091   1.000000  0.952381  10
094    0.615385   0.800000  0.695652  10
095    1.000000   1.000000  1.000000  10
096    1.000000   0.900000  0.947368  10
097    1.000000   0.900000  0.947368  10
098    0.900000   0.900000  0.900000  10
099    1.000000   0.900000  0.947368  10
100    0.909091   1.000000  0.952381  10
101    1.000000   1.000000  1.000000  10
102    0.900000   0.900000  0.900000  10
103    0.875000   0.700000  0.777778  10
104    1.000000   0.600000  0.750000  10
105    1.000000   0.800000  0.888889  10
106    0.800000   0.800000  0.800000  10
107    1.000000   1.000000  1.000000  10
108    1.000000   0.900000  0.947368  10
109    0.900000   0.900000  0.900000  10
110    0.888889   0.800000  0.842105  10
111    0.900000   0.900000  0.900000  10
112    1.000000   1.000000  1.000000  10
113    1.000000   1.000000  1.000000  10
114    0.900000   0.900000  0.900000  10
115    0.900000   0.900000  0.900000  10
116    1.000000   1.000000  1.000000  10
117    0.909091   1.000000  0.952381  10
118    1.000000   1.000000  1.000000  10
119    1.000000   0.700000  0.823529  10
120    1.000000   0.900000  0.947368  10
121    0.538462   0.700000  0.608696  10
122    0.800000   0.400000  0.533333  10
123    0.888889   0.800000  0.842105  10
124    1.000000   1.000000  1.000000  10
125    0.888889   0.800000  0.842105  10
126    0.888889   0.800000  0.842105  10
127    0.888889   0.800000  0.842105  10
128    0.900000   0.900000  0.900000  10
129    0.900000   0.900000  0.900000  10
130    0.800000   0.800000  0.800000  10
131    0.875000   0.700000  0.777778  10
132    1.000000   0.800000  0.888889  10
133    1.000000   0.900000  0.947368  10
134    1.000000   1.000000  1.000000  10
135    1.000000   0.900000  0.947368  10
136    0.800000   0.800000  0.800000  10
137    0.750000   0.900000  0.818182  10
138    0.750000   0.900000  0.818182  10
139    0.666667   0.600000  0.631579  10
140    0.700000   0.700000  0.700000  10
141    1.000000   0.800000  0.888889  10
142    1.000000   0.800000  0.888889  10
143    0.857143   0.600000  0.705882  10
144    0.625000   1.000000  0.769231  10
145    1.000000   1.000000  1.000000  10
146    0.818182   0.900000  0.857143  10
147    0.900000   0.900000  0.900000  10
148    1.000000   1.000000  1.000000  10
149    0.900000   0.900000  0.900000  10
150    0.714286   1.000000  0.833333  10
151    0.909091   1.000000  0.952381  10
152    1.000000   0.900000  0.947368  10
153    1.000000   1.000000  1.000000  10
154    0.833333   1.000000  0.909091  10
155    0.800000   0.400000  0.533333  10
156    0.875000   0.700000  0.777778  10
157    0.833333   0.500000  0.625000  10
158    0.461538   0.600000  0.521739  10
159    0.666667   0.800000  0.727273  10
160    0.666667   0.600000  0.631579  10
161    0.545455   0.600000  0.571429  10
162    0.888889   0.800000  0.842105  10
163    0.909091   1.000000  0.952381  10
164    0.818182   0.900000  0.857143  10
165    0.666667   0.800000  0.727273  10
166    0.857143   0.600000  0.705882  10
167    0.800000   0.800000  0.800000  10
168    0.900000   0.900000  0.900000  10
169    0.692308   0.900000  0.782609  10
170    0.900000   0.900000  0.900000  10
171    0.900000   0.900000  0.900000  10
172    1.000000   0.800000  0.888889  10
173    0.900000   0.900000  0.900000  10
174    0.800000   0.800000  0.800000  10
175    0.666667   0.600000  0.631579  10
176    0.727273   0.800000  0.761905  10
177    0.727273   0.800000  0.761905  10
178    0.875000   0.700000  0.777778  10
179    0.875000   0.700000  0.777778  10
180    0.833333   0.500000  0.625000  10
181    0.727273   0.800000  0.761905  10
182    0.583333   0.700000  0.636364  10
183    0.642857   0.900000  0.750000  10
184    0.888889   0.800000  0.842105  10
185    1.000000   0.700000  0.823529  10
186    0.727273   0.800000  0.761905  10
187    0.400000   0.600000  0.480000  10
188    0.615385   0.800000  0.695652  10
189    1.000000   1.000000  1.000000  10
190    0.750000   0.900000  0.818182  10
191    0.800000   0.800000  0.800000  10
192    0.888889   0.800000  0.842105  10
193    0.833333   0.500000  0.625000  10
194    1.000000   0.900000  0.947368  10
195    0.666667   0.600000  0.631579  10
196    1.000000   1.000000  1.000000  10
197    0.666667   0.600000  0.631579  10
198    0.777778   0.700000  0.736842  10
199    0.888889   0.800000  0.842105  10
200    0.888889   0.800000  0.842105  10
201    0.900000   0.900000  0.900000  10
202    0.533333   0.800000  0.640000  10
203    0.714286   0.500000  0.588235  10
204    0.727273   0.800000  0.761905  10
205    1.000000   0.900000  0.947368  10
206    0.714286   0.500000  0.588235  10
207    0.800000   0.800000  0.800000  10
208    0.909091   1.000000  0.952381  10
209    0.692308   0.900000  0.782609  10
210    0.750000   0.900000  0.818182  10
211    0.909091   1.000000  0.952381  10
212    0.800000   0.400000  0.533333  10
213    0.888889   0.800000  0.842105  10
214    0.583333   0.700000  0.636364  10
215    1.000000   0.800000  0.888889  10
216    0.888889   0.800000  0.842105  10
217    1.000000   0.500000  0.666667  10
218    0.769231   1.000000  0.869565  10
219    0.875000   0.700000  0.777778  10
220    0.727273   0.800000  0.761905  10
221    1.000000   0.800000  0.888889  10
222    1.000000   0.800000  0.888889  10
223    0.900000   0.900000  0.900000  10
224    0.777778   0.700000  0.736842  10
225    0.727273   0.800000  0.761905  10
226    1.000000   0.800000  0.888889  10
227    0.500000   0.600000  0.545455  10
228    0.571429   0.400000  0.470588  10
229    0.769231   1.000000  0.869565  10
230    0.700000   0.700000  0.700000  10
231    1.000000   0.600000  0.750000  10
232    0.636364   0.700000  0.666667  10
233    0.555556   0.500000  0.526316  10
234    0.833333   0.500000  0.625000  10
235    0.800000   0.800000  0.800000  10
236    0.875000   0.700000  0.777778  10
237    0.777778   0.700000  0.736842  10
238    0.833333   1.000000  0.909091  10
239    1.000000   0.900000  0.947368  10
240    1.000000   0.800000  0.888889  10
241    0.857143   0.600000  0.705882  10
242    1.000000   0.800000  0.888889  10
243    1.000000   1.000000  1.000000  10
244    0.818182   0.900000  0.857143  10
245    0.818182   0.900000  0.857143  10
246    0.777778   0.700000  0.736842  10
247    0.800000   0.400000  0.533333  10
248    1.000000   0.700000  0.823529  10
249    1.000000   0.800000  0.888889  10
250    1.000000   0.800000  0.888889  10
251    1.000000   1.000000  1.000000  10
252    1.000000   0.900000  0.947368  10
253    0.700000   0.700000  0.700000  10
254    0.888889   0.800000  0.842105  10
255    0.888889   0.800000  0.842105  10
256    0.416667   0.500000  0.454545  10
257    0.666667   1.000000  0.800000  10
258    0.888889   0.800000  0.842105  10
259    0.571429   0.800000  0.666667  10
260    0.600000   0.900000  0.720000  10
261    0.909091   1.000000  0.952381  10
