Robustness classification report
model: ensemble
degradation: motion_blur
severity: 3
num_samples: 5000
num_classes: 500
nll: 1.941053

Overall metrics
top1_accuracy: 0.635800 (63.58%)
top2_accuracy: 0.721000 (72.10%)
top3_accuracy: 0.766000 (76.60%)
top4_accuracy: 0.793400 (79.34%)
top5_accuracy: 0.812400 (81.24%)
macro_precision: 0.743270 (74.33%)
macro_recall: 0.635800 (63.58%)
macro_f1: 0.647718 (64.77%)

Per-class metrics
class  precision  recall  f1_score  support
000    0.875000   0.700000  0.777778  10
001    0.833333   0.500000  0.625000  10
002    0.875000   0.700000  0.777778  10
003    1.000000   0.400000  0.571429  10
004    0.800000   0.800000  0.800000  10
005    0.700000   0.700000  0.700000  10
006    1.000000   0.800000  0.888889  10
007    0.875000   0.700000  0.777778  10
008    0.636364   0.700000  0.666667  10
009    0.900000   0.900000  0.900000  10
010    0.900000   0.900000  0.900000  10
011    0.800000   0.800000  0.800000  10
012    1.000000   0.700000  0.823529  10
013    0.900000   0.900000  0.900000  10
014    0.700000   0.700000  0.700000  10
015    1.000000   0.700000  0.823529  10
016    0.727273   0.800000  0.761905  10
017    0.473684   0.900000  0.620690  10
018    0.750000   0.900000  0.818182  10
019    0.875000   0.700000  0.777778  10
020    1.000000   0.500000  0.666667  10
021    0.900000   0.900000  0.900000  10
022    0.857143   0.600000  0.705882  10
023    0.714286   1.000000  0.833333  10
024    0.833333   1.000000  0.909091  10
025    0.900000   0.900000  0.900000  10
026    0.777778   0.700000  0.736842  10
027    0.750000   0.300000  0.428571  10
028    0.666667   0.800000  0.727273  10
029    1.000000   0.900000  0.947368  10
030    0.875000   0.700000  0.777778  10
031    0.625000   0.500000  0.555556  10
032    1.000000   0.600000  0.750000  10
033    0.750000   0.600000  0.666667  10
034    0.428571   0.300000  0.352941  10
035    0.096774   0.900000  0.174757  10
036    0.625000   0.500000  0.555556  10
037    0.583333   0.700000  0.636364  10
038    1.000000   0.400000  0.571429  10
039    0.500000   0.400000  0.444444  10
040    0.857143   0.600000  0.705882  10
041    0.909091   1.000000  0.952381  10
042    0.777778   0.700000  0.736842  10
043    0.875000   0.700000  0.777778  10
044    0.727273   0.800000  0.761905  10
045    1.000000   0.800000  0.888889  10
046    0.900000   0.900000  0.900000  10
047    0.700000   0.700000  0.700000  10
048    0.888889   0.800000  0.842105  10
049    0.666667   0.600000  0.631579  10
050    0.555556   1.000000  0.714286  10
051    0.636364   0.700000  0.666667  10
052    1.000000   0.600000  0.750000  10
053    1.000000   0.500000  0.666667  10
054    0.857143   0.600000  0.705882  10
055    0.857143   0.600000  0.705882  10
056    0.666667   0.400000  0.500000  10
057    0.666667   0.800000  0.727273  10
058    1.000000   0.900000  0.947368  10
059    0.888889   0.800000  0.842105  10
060    0.900000   0.900000  0.900000  10
061    0.909091   1.000000  0.952381  10
062    1.000000   1.000000  1.000000  10
063    0.692308   0.900000  0.782609  10
064    1.000000   0.600000  0.750000  10
065    0.833333   0.500000  0.625000  10
066    0.777778   0.700000  0.736842  10
067    1.000000   0.400000  0.571429  10
068    0.700000   0.700000  0.700000  10
069    0.538462   0.700000  0.608696  10
070    0.526316   1.000000  0.689655  10
071    0.777778   0.700000  0.736842  10
072    0.888889   0.800000  0.842105  10
073    0.750000   0.600000  0.666667  10
074    1.000000   0.800000  0.888889  10
075    0.777778   0.700000  0.736842  10
076    0.777778   0.700000  0.736842  10
077    0.727273   0.800000  0.761905  10
078    0.636364   0.700000  0.666667  10
079    1.000000   0.800000  0.888889  10
080    1.000000   0.400000  0.571429  10
081    0.833333   0.500000  0.625000  10
082    0.700000   0.700000  0.700000  10
083    0.909091   1.000000  0.952381  10
084    0.571429   0.400000  0.470588  10
085    1.000000   1.000000  1.000000  10
086    0.800000   0.800000  0.800000  10
087    1.000000   0.600000  0.750000  10
088    0.333333   0.900000  0.486486  10
089    0.888889   0.800000  0.842105  10
090    1.000000   0.300000  0.461538  10
091    1.000000   0.900000  0.947368  10
092    0.666667   0.800000  0.727273  10
093    0.818182   0.900000  0.857143  10
094    0.375000   0.300000  0.333333  10
095    0.833333   1.000000  0.909091  10
096    0.888889   0.800000  0.842105  10
097    1.000000   0.500000  0.666667  10
