Test classification report
test_loss: 0.936570
num_samples: 5000

Overall metrics
top1_accuracy: 0.813200 (81.32%)
top2_accuracy: 0.880400 (88.04%)
top3_accuracy: 0.904200 (90.42%)
top4_accuracy: 0.920200 (92.02%)
top5_accuracy: 0.928800 (92.88%)
macro_precision: 0.826868 (82.69%)
macro_recall: 0.813200 (81.32%)
macro_f1: 0.812996 (81.30%)

Per-class metrics
class  precision  recall  f1_score  support
000    0.909091   1.000000  0.952381  10
001    0.833333   1.000000  0.909091  10
002    0.750000   0.600000  0.666667  10
003    1.000000   0.700000  0.823529  10
004    0.888889   0.800000  0.842105  10
005    0.800000   0.800000  0.800000  10
006    0.800000   0.800000  0.800000  10
007    1.000000   0.900000  0.947368  10
008    0.750000   0.600000  0.666667  10
009    0.909091   1.000000  0.952381  10
010    0.833333   1.000000  0.909091  10
011    0.800000   0.800000  0.800000  10
012    1.000000   0.900000  0.947368  10
013    0.769231   1.000000  0.869565  10
014    1.000000   0.900000  0.947368  10
015    1.000000   0.900000  0.947368  10
016    0.750000   0.900000  0.818182  10
017    1.000000   0.900000  0.947368  10
018    0.909091   1.000000  0.952381  10
019    1.000000   0.900000  0.947368  10
020    0.875000   0.700000  0.777778  10
021    1.000000   1.000000  1.000000  10
022    0.857143   0.600000  0.705882  10
023    0.833333   1.000000  0.909091  10
024    0.833333   1.000000  0.909091  10
025    0.909091   1.000000  0.952381  10
026    0.750000   0.900000  0.818182  10
027    1.000000   0.600000  0.750000  10
028    1.000000   0.800000  0.888889  10
029    0.909091   1.000000  0.952381  10
030    1.000000   1.000000  1.000000  10
031    0.636364   0.700000  0.666667  10
032    1.000000   0.900000  0.947368  10
033    0.777778   0.700000  0.736842  10
034    0.666667   0.600000  0.631579  10
035    0.750000   0.900000  0.818182  10
036    0.769231   1.000000  0.869565  10
037    0.800000   0.800000  0.800000  10
038    0.888889   0.800000  0.842105  10
039    0.800000   0.800000  0.800000  10
040    1.000000   0.900000  0.947368  10
041    0.833333   1.000000  0.909091  10
042    0.875000   0.700000  0.777778  10
043    1.000000   1.000000  1.000000  10
044    1.000000   0.900000  0.947368  10
045    0.900000   0.900000  0.900000  10
046    1.000000   0.800000  0.888889  10
047    1.000000   1.000000  1.000000  10
048    0.909091   1.000000  0.952381  10
049    0.888889   0.800000  0.842105  10
050    1.000000   1.000000  1.000000  10
051    1.000000   0.900000  0.947368  10
052    0.666667   0.600000  0.631579  10
053    0.875000   0.700000  0.777778  10
054    0.900000   0.900000  0.900000  10
055    0.800000   0.800000  0.800000  10
056    0.888889   0.800000  0.842105  10
057    1.000000   1.000000  1.000000  10
058    1.000000   1.000000  1.000000  10
059    1.000000   0.900000  0.947368  10
060    1.000000   1.000000  1.000000  10
061    0.909091   1.000000  0.952381  10
062    1.000000   1.000000  1.000000  10
063    0.769231   1.000000  0.869565  10
064    0.857143   0.600000  0.705882  10
065    0.800000   0.800000  0.800000  10
066    0.818182   0.900000  0.857143  10
067    1.000000   0.700000  0.823529  10
068    0.888889   0.800000  0.842105  10
069    0.857143   0.600000  0.705882  10
070    1.000000   1.000000  1.000000  10
071    0.692308   0.900000  0.782609  10
072    1.000000   1.000000  1.000000  10
073    0.900000   0.900000  0.900000  10
074    0.833333   1.000000  0.909091  10
075    1.000000   0.900000  0.947368  10
076    0.888889   0.800000  0.842105  10
077    1.000000   1.000000  1.000000  10
078    0.818182   0.900000  0.857143  10
079    1.000000   1.000000  1.000000  10
080    0.888889   0.800000  0.842105  10
081    0.900000   0.900000  0.900000  10
082    1.000000   0.900000  0.947368  10
083    0.818182   0.900000  0.857143  10
084    0.714286   0.500000  0.588235  10
085    1.000000   1.000000  1.000000  10
086    0.900000   0.900000  0.900000  10
087    0.750000   0.900000  0.818182  10
088    0.714286   1.000000  0.833333  10
089    1.000000   0.900000  0.947368  10
090    1.000000   0.700000  0.823529  10
091    1.000000   1.000000  1.000000  10
092    0.900000   0.900000  0.900000  10
093    0.909091   1.000000  0.952381  10
094    0.500000   0.700000  0.583333  10
095    0.909091   1.000000  0.952381  10
096    1.000000   0.900000  0.947368  10
097    0.900000   0.900000  0.900000  10
098    1.000000   0.800000  0.888889  10
099    1.000000   0.900000  0.947368  10
100    1.000000   0.800000  0.888889  10
101    1.000000   1.000000  1.000000  10
102    1.000000   0.800000  0.888889  10
103    0.875000   0.700000  0.777778  10
104    1.000000   0.700000  0.823529  10
105    1.000000   0.900000  0.947368  10
106    0.800000   0.800000  0.800000  10
107    1.000000   1.000000  1.000000  10
108    0.900000   0.900000  0.900000  10
109    0.900000   0.900000  0.900000  10
110    0.750000   0.900000  0.818182  10
111    1.000000   0.600000  0.750000  10
112    1.000000   1.000000  1.000000  10
113    1.000000   1.000000  1.000000  10
114    0.818182   0.900000  0.857143  10
115    0.818182   0.900000  0.857143  10
116    0.909091   1.000000  0.952381  10
117    0.833333   1.000000  0.909091  10
118    1.000000   1.000000  1.000000  10
119    0.875000   0.700000  0.777778  10
120    1.000000   0.900000  0.947368  10
121    0.538462   0.700000  0.608696  10
122    0.800000   0.400000  0.533333  10
123    0.800000   0.800000  0.800000  10
124    1.000000   1.000000  1.000000  10
125    0.818182   0.900000  0.857143  10
126    1.000000   0.800000  0.888889  10
127    0.875000   0.700000  0.777778  10
128    0.700000   0.700000  0.700000  10
129    1.000000   0.900000  0.947368  10
130    0.700000   0.700000  0.700000  10
131    0.666667   0.600000  0.631579  10
132    0.875000   0.700000  0.777778  10
133    0.800000   0.800000  0.800000  10
134    0.900000   0.900000  0.900000  10
135    1.000000   0.900000  0.947368  10
136    0.666667   0.800000  0.727273  10
137    0.900000   0.900000  0.900000  10
138    0.818182   0.900000  0.857143  10
139    1.000000   0.700000  0.823529  10
140    0.900000   0.900000  0.900000  10
141    1.000000   1.000000  1.000000  10
142    1.000000   0.900000  0.947368  10
143    1.000000   0.500000  0.666667  10
144    0.714286   1.000000  0.833333  10
