Test classification report
num_samples: 5000

Overall metrics
top1_accuracy: 0.806000 (80.60%)
top2_accuracy: 0.880600 (88.06%)
top3_accuracy: 0.905600 (90.56%)
top4_accuracy: 0.920600 (92.06%)
top5_accuracy: 0.930800 (93.08%)
macro_precision: 0.822165 (82.22%)
macro_recall: 0.806000 (80.60%)
macro_f1: 0.806130 (80.61%)

Per-class metrics
class  precision  recall  f1_score  support
000    1.000000   1.000000  1.000000  10
001    0.857143   0.600000  0.705882  10
002    0.700000   0.700000  0.700000  10
003    1.000000   0.700000  0.823529  10
004    0.800000   0.800000  0.800000  10
005    0.600000   0.900000  0.720000  10
006    0.857143   0.600000  0.705882  10
007    0.900000   0.900000  0.900000  10
008    0.700000   0.700000  0.700000  10
009    1.000000   1.000000  1.000000  10
010    1.000000   1.000000  1.000000  10
011    0.888889   0.800000  0.842105  10
012    1.000000   0.900000  0.947368  10
013    1.000000   1.000000  1.000000  10
014    0.769231   1.000000  0.869565  10
015    0.818182   0.900000  0.857143  10
016    0.800000   0.800000  0.800000  10
017    1.000000   0.900000  0.947368  10
018    0.909091   1.000000  0.952381  10
019    1.000000   1.000000  1.000000  10
020    1.000000   0.600000  0.750000  10
021    1.000000   1.000000  1.000000  10
022    0.714286   0.500000  0.588235  10
023    0.666667   1.000000  0.800000  10
024    0.909091   1.000000  0.952381  10
025    1.000000   1.000000  1.000000  10
026    0.800000   0.800000  0.800000  10
027    1.000000   0.800000  0.888889  10
028    0.800000   0.800000  0.800000  10
029    0.909091   1.000000  0.952381  10
030    1.000000   1.000000  1.000000  10
031    0.571429   0.800000  0.666667  10
032    1.000000   0.900000  0.947368  10
033    0.750000   0.600000  0.666667  10
034    0.800000   0.800000  0.800000  10
035    0.666667   1.000000  0.800000  10
036    1.000000   0.900000  0.947368  10
037    1.000000   0.900000  0.947368  10
038    1.000000   0.800000  0.888889  10
039    0.900000   0.900000  0.900000  10
040    0.818182   0.900000  0.857143  10
041    0.909091   1.000000  0.952381  10
042    1.000000   0.700000  0.823529  10
043    1.000000   0.900000  0.947368  10
044    0.900000   0.900000  0.900000  10
045    0.818182   0.900000  0.857143  10
046    0.909091   1.000000  0.952381  10
047    0.900000   0.900000  0.900000  10
048    1.000000   0.900000  0.947368  10
049    1.000000   0.800000  0.888889  10
050    0.833333   1.000000  0.909091  10
051    0.900000   0.900000  0.900000  10
052    0.777778   0.700000  0.736842  10
053    0.900000   0.900000  0.900000  10
054    0.900000   0.900000  0.900000  10
055    0.888889   0.800000  0.842105  10
056    1.000000   0.900000  0.947368  10
057    0.909091   1.000000  0.952381  10
058    1.000000   1.000000  1.000000  10
059    0.900000   0.900000  0.900000  10
060    0.909091   1.000000  0.952381  10
061    1.000000   1.000000  1.000000  10
062    1.000000   1.000000  1.000000  10
063    0.769231   1.000000  0.869565  10
064    0.857143   0.600000  0.705882  10
065    1.000000   0.700000  0.823529  10
066    0.818182   0.900000  0.857143  10
067    0.857143   0.600000  0.705882  10
068    0.900000   0.900000  0.900000  10
069    0.666667   0.800000  0.727273  10
070    1.000000   1.000000  1.000000  10
071    0.875000   0.700000  0.777778  10
072    1.000000   0.900000  0.947368  10
073    0.909091   1.000000  0.952381  10
074    0.833333   1.000000  0.909091  10
075    0.900000   0.900000  0.900000  10
076    1.000000   0.800000  0.888889  10
077    1.000000   1.000000  1.000000  10
078    0.900000   0.900000  0.900000  10
079    0.900000   0.900000  0.900000  10
080    1.000000   0.800000  0.888889  10
081    0.818182   0.900000  0.857143  10
082    0.909091   1.000000  0.952381  10
083    0.909091   1.000000  0.952381  10
084    0.600000   0.600000  0.600000  10
085    1.000000   1.000000  1.000000  10
086    0.888889   0.800000  0.842105  10
087    1.000000   0.900000  0.947368  10
088    0.615385   0.800000  0.695652  10
089    1.000000   1.000000  1.000000  10
090    1.000000   0.600000  0.750000  10
091    1.000000   1.000000  1.000000  10
092    0.818182   0.900000  0.857143  10
093    0.909091   1.000000  0.952381  10
094    0.562500   0.900000  0.692308  10
095    1.000000   1.000000  1.000000  10
096    1.000000   0.900000  0.947368  10
097    1.000000   0.800000  0.888889  10
098    0.900000   0.900000  0.900000  10
099    1.000000   0.800000  0.888889  10
100    1.000000   0.800000  0.888889  10
101    0.909091   1.000000  0.952381  10
102    1.000000   0.900000  0.947368  10
103    0.777778   0.700000  0.736842  10
104    1.000000   0.600000  0.750000  10
105    1.000000   0.700000  0.823529  10
106    0.800000   0.800000  0.800000  10
107    1.000000   1.000000  1.000000  10
108    0.818182   0.900000  0.857143  10
109    1.000000   0.800000  0.888889  10
110    0.818182   0.900000  0.857143  10
111    1.000000   0.800000  0.888889  10
112    1.000000   1.000000  1.000000  10
113    1.000000   1.000000  1.000000  10
114    0.909091   1.000000  0.952381  10
115    0.727273   0.800000  0.761905  10
116    1.000000   1.000000  1.000000  10
117    0.909091   1.000000  0.952381  10
118    0.900000   0.900000  0.900000  10
119    1.000000   0.700000  0.823529  10
120    1.000000   0.900000  0.947368  10
121    0.636364   0.700000  0.666667  10
122    0.700000   0.700000  0.700000  10
123    0.909091   1.000000  0.952381  10
124    0.818182   0.900000  0.857143  10
125    0.692308   0.900000  0.782609  10
126    0.818182   0.900000  0.857143  10
127    0.800000   0.800000  0.800000  10
128    0.777778   0.700000  0.736842  10
129    1.000000   0.900000  0.947368  10
130    0.727273   0.800000  0.761905  10
131    0.700000   0.700000  0.700000  10
132    1.000000   0.800000  0.888889  10
133    0.777778   0.700000  0.736842  10
134    0.888889   0.800000  0.842105  10
135    0.900000   0.900000  0.900000  10
136    0.888889   0.800000  0.842105  10
137    0.909091   1.000000  0.952381  10
138    0.818182   0.900000  0.857143  10
139    1.000000   0.600000  0.750000  10
140    0.900000   0.900000  0.900000  10
141    1.000000   1.000000  1.000000  10
142    1.000000   0.900000  0.947368  10
143    0.833333   0.500000  0.625000  10
144    0.692308   0.900000  0.782609  10
145    0.909091   1.000000  0.952381  10
146    1.000000   0.900000  0.947368  10
147    0.818182   0.900000  0.857143  10
148    0.818182   0.900000  0.857143  10
149    1.000000   0.900000  0.947368  10
150    0.800000   0.800000  0.800000  10
151    0.769231   1.000000  0.869565  10
152    0.875000   0.700000  0.777778  10
153    1.000000   1.000000  1.000000  10
154    0.727273   0.800000  0.761905  10
155    1.000000   0.500000  0.666667  10
156    0.666667   0.800000  0.727273  10
157    0.600000   0.300000  0.400000  10
158    0.437500   0.700000  0.538462  10
159    0.666667   0.800000  0.727273  10
160    0.636364   0.700000  0.666667  10
161    0.384615   0.500000  0.434783  10
162    0.888889   0.800000  0.842105  10
163    0.769231   1.000000  0.869565  10
164    0.692308   0.900000  0.782609  10
165    0.600000   0.600000  0.600000  10
166    0.700000   0.700000  0.700000  10
167    0.888889   0.800000  0.842105  10
168    0.800000   0.800000  0.800000  10
169    0.800000   0.800000  0.800000  10
170    1.000000   0.900000  0.947368  10
171    0.692308   0.900000  0.782609  10
172    0.888889   0.800000  0.842105  10
173    1.000000   0.800000  0.888889  10
174    0.666667   0.600000  0.631579  10
175    0.800000   0.800000  0.800000  10
176    0.777778   0.700000  0.736842  10
177    1.000000   0.900000  0.947368  10
178    0.777778   0.700000  0.736842  10
179    0.750000   0.900000  0.818182  10
180    0.857143   0.600000  0.705882  10
181    0.800000   0.800000  0.800000  10
182    0.777778   0.700000  0.736842  10
183    0.909091   1.000000  0.952381  10
184    1.000000   0.800000  0.888889  10
185    0.636364   0.700000  0.666667  10
186    0.833333   1.000000  0.909091  10
187    0.666667   0.600000  0.631579  10
188    0.777778   0.700000  0.736842  10
189    1.000000   1.000000  1.000000  10
190    0.500000   0.600000  0.545455  10
191    0.727273   0.800000  0.761905  10
192    1.000000   0.700000  0.823529  10
193    0.833333   0.500000  0.625000  10
194    0.900000   0.900000  0.900000  10
195    0.777778   0.700000  0.736842  10
196    0.900000   0.900000  0.900000  10
197    0.600000   0.600000  0.600000  10
198    0.900000   0.900000  0.900000  10
199    0.636364   0.700000  0.666667  10
200    0.727273   0.800000  0.761905  10
201    0.833333   0.500000  0.625000  10
202    0.461538   0.600000  0.521739  10
203    0.500000   0.500000  0.500000  10
204    0.666667   0.600000  0.631579  10
205    0.909091   1.000000  0.952381  10
206    0.666667   0.600000  0.631579  10
207    0.875000   0.700000  0.777778  10
208    1.000000   1.000000  1.000000  10
209    0.615385   0.800000  0.695652  10
210    0.818182   0.900000  0.857143  10
211    0.833333   1.000000  0.909091  10
212    0.666667   0.600000  0.631579  10
213    1.000000   0.700000  0.823529  10
214    0.700000   0.700000  0.700000  10
215    0.818182   0.900000  0.857143  10
216    0.857143   0.600000  0.705882  10
217    0.777778   0.700000  0.736842  10
218    0.769231   1.000000  0.869565  10
219    1.000000   0.700000  0.823529  10
220    0.615385   0.800000  0.695652  10
221    0.888889   0.800000  0.842105  10
222    1.000000   1.000000  1.000000  10
223    1.000000   1.000000  1.000000  10
224    0.727273   0.800000  0.761905  10
225    0.888889   0.800000  0.842105  10
226    0.909091   1.000000  0.952381  10
227    1.000000   0.600000  0.750000  10
228    0.636364   0.700000  0.666667  10
229    0.571429   0.800000  0.666667  10
230    0.636364   0.700000  0.666667  10
231    1.000000   0.600000  0.750000  10
232    0.818182   0.900000  0.857143  10
233    0.600000   0.600000  0.600000  10
234    0.857143   0.600000  0.705882  10
235    0.800000   0.800000  0.800000  10
236    0.875000   0.700000  0.777778  10
237    0.875000   0.700000  0.777778  10
238    1.000000   1.000000  1.000000  10
239    0.818182   0.900000  0.857143  10
240    0.888889   0.800000  0.842105  10
241    0.888889   0.800000  0.842105  10
242    1.000000   0.800000  0.888889  10
243    1.000000   1.000000  1.000000  10
244    0.700000   0.700000  0.700000  10
245    0.727273   0.800000  0.761905  10
246    0.571429   0.400000  0.470588  10
247    0.555556   0.500000  0.526316  10
248    1.000000   0.700000  0.823529  10
249    1.000000   0.800000  0.888889  10
250    0.777778   0.700000  0.736842  10
251    1.000000   0.800000  0.888889  10
252    1.000000   0.700000  0.823529  10
253    0.583333   0.700000  0.636364  10
254    0.727273   0.800000  0.761905  10
255    1.000000   0.900000  0.947368  10
256    0.571429   0.400000  0.470588  10
257    0.714286   1.000000  0.833333  10
258    1.000000   0.500000  0.666667  10
259    0.700000   0.700000  0.700000  10
260    0.692308   0.900000  0.782609  10
261    0.769231   1.000000  0.869565  10
262    0.909091   1.000000  0.952381  10
263    1.000000   1.000000  1.000000  10
264    1.000000   1.000000  1.000000  10
265    1.000000   0.700000  0.823529  10
266    0.900000   0.900000  0.900000  10
267    0.900000   0.900000  0.900000  10
268    0.642857   0.900000  0.750000  10
269    0.714286   1.000000  0.833333  10
270    1.000000   0.800000  0.888889  10
271    0.545455   0.600000  0.571429  10
272    1.000000   0.700000  0.823529  10
273    0.833333   1.000000  0.909091  10
274    0.900000   0.900000  0.900000  10
275    0.900000   0.900000  0.900000  10
276    0.909091   1.000000  0.952381  10
277    0.727273   0.800000  0.761905  10
278    0.666667   0.600000  0.631579  10
279    0.909091   1.000000  0.952381  10
280    0.818182   0.900000  0.857143  10
281    0.818182   0.900000  0.857143  10
282    0.750000   0.900000  0.818182  10
283    1.000000   1.000000  1.000000  10
284    0.818182   0.900000  0.857143  10
285    1.000000   0.800000  0.888889  10
286    0.900000   0.900000  0.900000  10
287    0.700000   0.700000  0.700000  10
288    0.900000   0.900000  0.900000  10
289    0.900000   0.900000  0.900000  10
290    1.000000   0.800000  0.888889  10
291    0.769231   1.000000  0.869565  10
292    1.000000   1.000000  1.000000  10
293    1.000000   0.800000  0.888889  10
294    0.818182   0.900000  0.857143  10
295    0.833333   1.000000  0.909091  10
296    1.000000   0.700000  0.823529  10
297    0.900000   0.900000  0.900000  10
298    0.833333   1.000000  0.909091  10
299    0.769231   1.000000  0.869565  10
300    0.750000   0.900000  0.818182  10
301    1.000000   1.000000  1.000000  10
302    0.769231   1.000000  0.869565  10
303    1.000000   0.900000  0.947368  10
304    1.000000   1.000000  1.000000  10
305    0.857143   0.600000  0.705882  10
306    0.777778   0.700000  0.736842  10
307    0.900000   0.900000  0.900000  10
308    0.500000   0.800000  0.615385  10
309    0.692308   0.900000  0.782609  10
310    0.900000   0.900000  0.900000  10
311    1.000000   0.800000  0.888889  10
312    0.909091   1.000000  0.952381  10
313    0.777778   0.700000  0.736842  10
314    1.000000   0.800000  0.888889  10
315    0.666667   0.800000  0.727273  10
316    0.750000   0.900000  0.818182  10
317    0.800000   0.800000  0.800000  10
318    0.750000   0.900000  0.818182  10
319    1.000000   0.900000  0.947368  10
320    1.000000   0.900000  0.947368  10
321    0.900000   0.900000  0.900000  10
322    0.333333   0.200000  0.250000  10
323    0.857143   0.600000  0.705882  10
324    0.666667   0.800000  0.727273  10
325    0.625000   0.500000  0.555556  10
326    1.000000   0.800000  0.888889  10
327    0.727273   0.800000  0.761905  10
328    0.625000   1.000000  0.769231  10
329    1.000000   1.000000  1.000000  10
330    0.727273   0.800000  0.761905  10
331    0.909091   1.000000  0.952381  10
332    0.666667   0.800000  0.727273  10
333    0.857143   0.600000  0.705882  10
334    0.833333   0.500000  0.625000  10
335    0.750000   0.600000  0.666667  10
336    0.857143   0.600000  0.705882  10
337    1.000000   0.700000  0.823529  10
338    0.700000   0.700000  0.700000  10
339    0.700000   0.700000  0.700000  10
340    0.666667   1.000000  0.800000  10
341    0.769231   1.000000  0.869565  10
342    0.909091   1.000000  0.952381  10
343    0.750000   0.900000  0.818182  10
344    1.000000   0.800000  0.888889  10
345    0.875000   0.700000  0.777778  10
346    0.666667   0.600000  0.631579  10
347    0.562500   0.900000  0.692308  10
348    0.888889   0.800000  0.842105  10
349    0.857143   0.600000  0.705882  10
350    1.000000   1.000000  1.000000  10
351    0.750000   0.600000  0.666667  10
352    1.000000   0.900000  0.947368  10
353    0.583333   0.700000  0.636364  10
354    0.555556   0.500000  0.526316  10
355    0.700000   0.700000  0.700000  10
356    0.777778   0.700000  0.736842  10
357    0.666667   0.800000  0.727273  10
358    0.615385   0.800000  0.695652  10
359    0.888889   0.800000  0.842105  10
360    0.875000   0.700000  0.777778  10
361    0.875000   0.700000  0.777778  10
362    1.000000   1.000000  1.000000  10
363    0.636364   0.700000  0.666667  10
364    0.818182   0.900000  0.857143  10
365    0.800000   0.800000  0.800000  10
366    0.900000   0.900000  0.900000  10
367    0.625000   0.500000  0.555556  10
368    0.818182   0.900000  0.857143  10
369    0.777778   0.700000  0.736842  10
370    0.833333   1.000000  0.909091  10
371    0.888889   0.800000  0.842105  10
372    0.625000   0.500000  0.555556  10
373    0.875000   0.700000  0.777778  10
374    0.714286   0.500000  0.588235  10
375    0.818182   0.900000  0.857143  10
376    0.909091   1.000000  0.952381  10
377    0.800000   0.800000  0.800000  10
378    1.000000   0.800000  0.888889  10
379    0.714286   1.000000  0.833333  10
380    0.900000   0.900000  0.900000  10
381    0.700000   0.700000  0.700000  10
