Test classification report
num_samples: 5000
teacher_fusion_space: calibrated probabilities
teacher_weights: cbp=0.160000, api=0.280000, cbp_api=0.560000
teacher_temperatures: cbp=0.580336, api=0.741079, cbp_api=0.684291
distill_schedule: cosine

Overall metrics
top1_accuracy: 0.832800 (83.28%)
top2_accuracy: 0.892800 (89.28%)
top3_accuracy: 0.918800 (91.88%)
top4_accuracy: 0.932000 (93.20%)
top5_accuracy: 0.939600 (93.96%)
macro_precision: 0.845542 (84.55%)
macro_recall: 0.832800 (83.28%)
macro_f1: 0.832759 (83.28%)

Per-class metrics
class  precision  recall  f1_score  support
000    0.909091   1.000000  0.952381  10
001    0.727273   0.800000  0.761905  10
002    0.666667   0.800000  0.727273  10
003    1.000000   0.800000  0.888889  10
004    0.875000   0.700000  0.777778  10
005    0.818182   0.900000  0.857143  10
006    0.888889   0.800000  0.842105  10
007    1.000000   0.900000  0.947368  10
008    0.888889   0.800000  0.842105  10
009    1.000000   1.000000  1.000000  10
010    1.000000   1.000000  1.000000  10
011    0.900000   0.900000  0.900000  10
012    1.000000   1.000000  1.000000  10
013    0.909091   1.000000  0.952381  10
014    0.900000   0.900000  0.900000  10
015    0.900000   0.900000  0.900000  10
016    1.000000   0.900000  0.947368  10
017    1.000000   1.000000  1.000000  10
018    0.833333   1.000000  0.909091  10
019    1.000000   1.000000  1.000000  10
020    0.888889   0.800000  0.842105  10
021    1.000000   0.900000  0.947368  10
022    1.000000   0.600000  0.750000  10
023    0.833333   1.000000  0.909091  10
024    0.833333   1.000000  0.909091  10
025    0.909091   1.000000  0.952381  10
026    1.000000   0.800000  0.888889  10
027    1.000000   0.700000  0.823529  10
028    1.000000   0.600000  0.750000  10
029    1.000000   0.900000  0.947368  10
030    0.833333   1.000000  0.909091  10
031    1.000000   0.800000  0.888889  10
032    1.000000   0.900000  0.947368  10
033    0.888889   0.800000  0.842105  10
034    0.818182   0.900000  0.857143  10
035    0.714286   1.000000  0.833333  10
036    0.833333   1.000000  0.909091  10
037    1.000000   1.000000  1.000000  10
038    1.000000   0.900000  0.947368  10
039    0.818182   0.900000  0.857143  10
040    1.000000   0.800000  0.888889  10
041    1.000000   1.000000  1.000000  10
042    1.000000   0.900000  0.947368  10
043    1.000000   1.000000  1.000000  10
044    1.000000   1.000000  1.000000  10
045    0.818182   0.900000  0.857143  10
046    0.909091   1.000000  0.952381  10
047    0.909091   1.000000  0.952381  10
048    0.909091   1.000000  0.952381  10
049    0.900000   0.900000  0.900000  10
050    0.833333   1.000000  0.909091  10
051    0.900000   0.900000  0.900000  10
052    0.777778   0.700000  0.736842  10
053    0.909091   1.000000  0.952381  10
054    0.900000   0.900000  0.900000  10
055    0.800000   0.800000  0.800000  10
056    0.800000   0.800000  0.800000  10
057    1.000000   1.000000  1.000000  10
058    1.000000   1.000000  1.000000  10
059    0.900000   0.900000  0.900000  10
060    1.000000   1.000000  1.000000  10
061    1.000000   1.000000  1.000000  10
062    1.000000   1.000000  1.000000  10
063    0.769231   1.000000  0.869565  10
064    0.888889   0.800000  0.842105  10
065    0.777778   0.700000  0.736842  10
066    0.900000   0.900000  0.900000  10
067    1.000000   0.600000  0.750000  10
068    1.000000   0.900000  0.947368  10
069    0.777778   0.700000  0.736842  10
070    0.909091   1.000000  0.952381  10
071    0.818182   0.900000  0.857143  10
072    0.909091   1.000000  0.952381  10
073    0.909091   1.000000  0.952381  10
074    0.833333   1.000000  0.909091  10
075    1.000000   0.900000  0.947368  10
076    0.800000   0.800000  0.800000  10
077    1.000000   1.000000  1.000000  10
078    0.818182   0.900000  0.857143  10
079    0.909091   1.000000  0.952381  10
080    1.000000   0.700000  0.823529  10
081    0.909091   1.000000  0.952381  10
082    0.833333   1.000000  0.909091  10
083    1.000000   1.000000  1.000000  10
084    0.777778   0.700000  0.736842  10
085    1.000000   1.000000  1.000000  10
086    0.900000   0.900000  0.900000  10
087    0.909091   1.000000  0.952381  10
088    0.750000   0.900000  0.818182  10
089    0.909091   1.000000  0.952381  10
090    1.000000   0.700000  0.823529  10
091    1.000000   1.000000  1.000000  10
092    1.000000   0.800000  0.888889  10
093    1.000000   1.000000  1.000000  10
094    0.769231   1.000000  0.869565  10
095    1.000000   1.000000  1.000000  10
096    1.000000   0.900000  0.947368  10
097    1.000000   0.900000  0.947368  10
098    1.000000   0.900000  0.947368  10
099    1.000000   0.900000  0.947368  10
100    0.875000   0.700000  0.777778  10
101    0.909091   1.000000  0.952381  10
102    1.000000   0.800000  0.888889  10
103    0.875000   0.700000  0.777778  10
104    0.777778   0.700000  0.736842  10
105    1.000000   0.700000  0.823529  10
106    0.800000   0.800000  0.800000  10
107    1.000000   1.000000  1.000000  10
108    1.000000   0.900000  0.947368  10
109    1.000000   0.900000  0.947368  10
110    0.900000   0.900000  0.900000  10
111    0.777778   0.700000  0.736842  10
112    1.000000   1.000000  1.000000  10
113    0.909091   1.000000  0.952381  10
114    0.909091   1.000000  0.952381  10
115    0.818182   0.900000  0.857143  10
116    1.000000   1.000000  1.000000  10
117    0.833333   1.000000  0.909091  10
118    0.900000   0.900000  0.900000  10
119    1.000000   0.600000  0.750000  10
120    1.000000   0.900000  0.947368  10
121    0.500000   0.800000  0.615385  10
122    0.714286   0.500000  0.588235  10
123    0.750000   0.900000  0.818182  10
124    1.000000   0.900000  0.947368  10
125    1.000000   0.800000  0.888889  10
126    1.000000   0.800000  0.888889  10
127    0.900000   0.900000  0.900000  10
128    0.692308   0.900000  0.782609  10
129    0.909091   1.000000  0.952381  10
130    0.875000   0.700000  0.777778  10
131    0.800000   0.800000  0.800000  10
132    1.000000   0.800000  0.888889  10
133    0.888889   0.800000  0.842105  10
134    1.000000   0.900000  0.947368  10
135    0.833333   1.000000  0.909091  10
136    0.750000   0.900000  0.818182  10
137    0.700000   0.700000  0.700000  10
138    1.000000   0.800000  0.888889  10
139    0.666667   0.800000  0.727273  10
140    0.875000   0.700000  0.777778  10
141    1.000000   1.000000  1.000000  10
142    1.000000   0.900000  0.947368  10
143    0.750000   0.600000  0.666667  10
144    0.909091   1.000000  0.952381  10
145    1.000000   1.000000  1.000000  10
