Test classification report
loss: 1.437454
num_samples: 5000
top1_accuracy: 0.845800 (84.58%)
top2_accuracy: 0.907200 (90.72%)
top3_accuracy: 0.929400 (92.94%)
top4_accuracy: 0.940800 (94.08%)
top5_accuracy: 0.948400 (94.84%)
macro_precision: 0.857231 (85.72%)
macro_recall: 0.845800 (84.58%)
macro_f1: 0.844668 (84.47%)

Per-class metrics
class  precision  recall  f1  support
000  1.000000  1.000000  1.000000  10
001  0.818182  0.900000  0.857143  10
002  0.888889  0.800000  0.842105  10
003  1.000000  0.800000  0.888889  10
004  0.833333  1.000000  0.909091  10
005  0.900000  0.900000  0.900000  10
006  0.833333  1.000000  0.909091  10
007  1.000000  1.000000  1.000000  10
008  0.857143  0.600000  0.705882  10
009  1.000000  1.000000  1.000000  10
010  0.909091  1.000000  0.952381  10
011  1.000000  0.800000  0.888889  10
012  0.900000  0.900000  0.900000  10
013  0.909091  1.000000  0.952381  10
014  0.900000  0.900000  0.900000  10
015  0.909091  1.000000  0.952381  10
016  0.888889  0.800000  0.842105  10
017  1.000000  0.900000  0.947368  10
018  1.000000  1.000000  1.000000  10
019  1.000000  0.900000  0.947368  10
020  1.000000  0.900000  0.947368  10
021  1.000000  1.000000  1.000000  10
022  1.000000  0.800000  0.888889  10
023  0.909091  1.000000  0.952381  10
024  0.833333  1.000000  0.909091  10
025  1.000000  1.000000  1.000000  10
026  0.818182  0.900000  0.857143  10
027  0.900000  0.900000  0.900000  10
028  1.000000  0.600000  0.750000  10
029  0.909091  1.000000  0.952381  10
030  0.909091  1.000000  0.952381  10
031  0.750000  0.600000  0.666667  10
032  1.000000  0.900000  0.947368  10
033  0.818182  0.900000  0.857143  10
034  0.900000  0.900000  0.900000  10
035  0.833333  1.000000  0.909091  10
036  0.909091  1.000000  0.952381  10
037  1.000000  1.000000  1.000000  10
038  0.818182  0.900000  0.857143  10
039  1.000000  0.700000  0.823529  10
040  1.000000  0.900000  0.947368  10
041  0.909091  1.000000  0.952381  10
042  1.000000  0.800000  0.888889  10
043  1.000000  0.900000  0.947368  10
044  0.900000  0.900000  0.900000  10
045  0.909091  1.000000  0.952381  10
046  0.909091  1.000000  0.952381  10
047  1.000000  1.000000  1.000000  10
048  1.000000  1.000000  1.000000  10
049  1.000000  0.600000  0.750000  10
050  1.000000  1.000000  1.000000  10
051  1.000000  0.900000  0.947368  10
052  1.000000  0.800000  0.888889  10
053  0.888889  0.800000  0.842105  10
054  1.000000  0.900000  0.947368  10
055  0.888889  0.800000  0.842105  10
056  0.909091  1.000000  0.952381  10
057  0.833333  1.000000  0.909091  10
058  1.000000  1.000000  1.000000  10
059  1.000000  0.900000  0.947368  10
060  0.909091  1.000000  0.952381  10
061  1.000000  1.000000  1.000000  10
062  1.000000  1.000000  1.000000  10
063  0.909091  1.000000  0.952381  10
064  0.777778  0.700000  0.736842  10
065  1.000000  0.800000  0.888889  10
066  0.818182  0.900000  0.857143  10
067  0.777778  0.700000  0.736842  10
068  0.909091  1.000000  0.952381  10
069  0.714286  1.000000  0.833333  10
070  1.000000  1.000000  1.000000  10
071  0.888889  0.800000  0.842105  10
072  0.833333  1.000000  0.909091  10
073  1.000000  1.000000  1.000000  10
074  0.833333  1.000000  0.909091  10
075  0.818182  0.900000  0.857143  10
076  1.000000  0.700000  0.823529  10
077  0.900000  0.900000  0.900000  10
078  0.900000  0.900000  0.900000  10
079  0.833333  1.000000  0.909091  10
080  1.000000  0.800000  0.888889  10
081  0.900000  0.900000  0.900000  10
082  0.909091  1.000000  0.952381  10
083  0.909091  1.000000  0.952381  10
084  1.000000  0.600000  0.750000  10
085  1.000000  1.000000  1.000000  10
086  1.000000  1.000000  1.000000  10
087  0.769231  1.000000  0.869565  10
088  0.529412  0.900000  0.666667  10
089  1.000000  0.900000  0.947368  10
090  0.857143  0.600000  0.705882  10
091  1.000000  1.000000  1.000000  10
092  1.000000  0.800000  0.888889  10
093  0.833333  1.000000  0.909091  10
094  0.750000  0.600000  0.666667  10
095  1.000000  1.000000  1.000000  10
096  1.000000  0.900000  0.947368  10
097  1.000000  0.800000  0.888889  10
098  0.888889  0.800000  0.842105  10
099  1.000000  0.900000  0.947368  10
100  1.000000  1.000000  1.000000  10
101  1.000000  1.000000  1.000000  10
102  1.000000  0.900000  0.947368  10
103  0.777778  0.700000  0.736842  10
104  1.000000  0.700000  0.823529  10
105  1.000000  0.900000  0.947368  10
106  1.000000  0.800000  0.888889  10
107  0.909091  1.000000  0.952381  10
108  1.000000  0.900000  0.947368  10
109  1.000000  0.900000  0.947368  10
110  0.750000  0.900000  0.818182  10
111  1.000000  0.700000  0.823529  10
112  1.000000  1.000000  1.000000  10
113  1.000000  1.000000  1.000000  10
114  0.818182  0.900000  0.857143  10
115  0.909091  1.000000  0.952381  10
116  1.000000  1.000000  1.000000  10
117  1.000000  1.000000  1.000000  10
118  1.000000  1.000000  1.000000  10
119  1.000000  0.700000  0.823529  10
