Robustness classification report
model: pmg_cov
degradation: gaussian_blur
severity: 2
num_samples: 5000
num_classes: 500
nll: 3.557691

Overall metrics
top1_accuracy: 0.603800 (60.38%)
top2_accuracy: 0.693400 (69.34%)
top3_accuracy: 0.739400 (73.94%)
top4_accuracy: 0.766800 (76.68%)
top5_accuracy: 0.786000 (78.60%)
macro_precision: 0.705767 (70.58%)
macro_recall: 0.603800 (60.38%)
macro_f1: 0.615316 (61.53%)

Per-class metrics
class  precision  recall  f1_score  support
000    0.833333   0.500000  0.625000  10
001    0.800000   0.400000  0.533333  10
002    0.833333   0.500000  0.625000  10
003    0.750000   0.600000  0.666667  10
004    0.777778   0.700000  0.736842  10
005    0.714286   0.500000  0.588235  10
006    0.714286   0.500000  0.588235  10
007    0.533333   0.800000  0.640000  10
008    0.857143   0.600000  0.705882  10
009    0.888889   0.800000  0.842105  10
010    0.777778   0.700000  0.736842  10
011    0.818182   0.900000  0.857143  10
012    1.000000   0.700000  0.823529  10
013    0.888889   0.800000  0.842105  10
014    0.666667   0.600000  0.631579  10
015    1.000000   0.700000  0.823529  10
016    0.777778   0.700000  0.736842  10
017    0.571429   0.800000  0.666667  10
018    0.888889   0.800000  0.842105  10
019    0.777778   0.700000  0.736842  10
020    1.000000   0.600000  0.750000  10
021    0.900000   0.900000  0.900000  10
022    0.857143   0.600000  0.705882  10
023    0.750000   0.600000  0.666667  10
024    0.714286   1.000000  0.833333  10
025    0.769231   1.000000  0.869565  10
026    0.714286   0.500000  0.588235  10
027    0.666667   0.200000  0.307692  10
028    0.571429   0.400000  0.470588  10
029    1.000000   1.000000  1.000000  10
030    0.700000   0.700000  0.700000  10
031    0.833333   0.500000  0.625000  10
032    1.000000   0.600000  0.750000  10
033    0.857143   0.600000  0.705882  10
034    0.600000   0.600000  0.600000  10
035    0.170213   0.800000  0.280702  10
036    0.777778   0.700000  0.736842  10
037    0.454545   0.500000  0.476190  10
038    0.666667   0.400000  0.500000  10
039    0.714286   0.500000  0.588235  10
040    1.000000   0.600000  0.750000  10
041    0.769231   1.000000  0.869565  10
042    0.777778   0.700000  0.736842  10
