Robustness classification report
model: pmg_cov
degradation: motion_blur
severity: 2
num_samples: 5000
num_classes: 500
nll: 2.071076

Overall metrics
top1_accuracy: 0.779800 (77.98%)
top2_accuracy: 0.850600 (85.06%)
top3_accuracy: 0.881800 (88.18%)
top4_accuracy: 0.899600 (89.96%)
top5_accuracy: 0.908400 (90.84%)
macro_precision: 0.813507 (81.35%)
macro_recall: 0.779800 (77.98%)
macro_f1: 0.782009 (78.20%)

Per-class metrics
class  precision  recall  f1_score  support
000    1.000000   0.900000  0.947368  10
001    1.000000   0.600000  0.750000  10
002    0.875000   0.700000  0.777778  10
003    1.000000   0.600000  0.750000  10
004    0.800000   0.800000  0.800000  10
005    0.875000   0.700000  0.777778  10
006    0.769231   1.000000  0.869565  10
007    1.000000   0.800000  0.888889  10
008    0.545455   0.600000  0.571429  10
009    0.909091   1.000000  0.952381  10
010    1.000000   1.000000  1.000000  10
011    0.888889   0.800000  0.842105  10
012    1.000000   0.800000  0.888889  10
013    1.000000   0.900000  0.947368  10
014    0.888889   0.800000  0.842105  10
015    1.000000   1.000000  1.000000  10
016    0.875000   0.700000  0.777778  10
017    0.900000   0.900000  0.900000  10
018    0.909091   1.000000  0.952381  10
019    1.000000   0.800000  0.888889  10
020    1.000000   0.800000  0.888889  10
021    1.000000   0.900000  0.947368  10
022    1.000000   0.600000  0.750000  10
023    0.800000   0.800000  0.800000  10
024    0.833333   1.000000  0.909091  10
025    0.909091   1.000000  0.952381  10
026    0.777778   0.700000  0.736842  10
027    1.000000   0.600000  0.750000  10
028    1.000000   0.600000  0.750000  10
029    1.000000   1.000000  1.000000  10
030    0.727273   0.800000  0.761905  10
031    0.750000   0.600000  0.666667  10
032    1.000000   0.800000  0.888889  10
033    0.875000   0.700000  0.777778  10
034    0.777778   0.700000  0.736842  10
035    0.529412   0.900000  0.666667  10
036    0.888889   0.800000  0.842105  10
037    0.888889   0.800000  0.842105  10
038    0.714286   0.500000  0.588235  10
039    1.000000   0.500000  0.666667  10
040    0.875000   0.700000  0.777778  10
041    1.000000   1.000000  1.000000  10
