degradation,severity,loss,top1,top5,macro_precision,macro_recall,macro_f1,samples,inference_runtime_seconds,average_inference_time_per_image_seconds,inference_throughput_images_per_second
gaussian_noise,1,0.8148867571830749,0.8774,0.9646,0.8887223358341004,0.8774,0.8763458309463479,5000,9.937167499992938,0.0019874334999985875,503.16148942880886
gaussian_noise,2,0.8769777688980103,0.8686,0.9576,0.8803719128697389,0.8686000000000001,0.8677048462963728,5000,4.495877100001962,0.0008991754200003924,1112.1300446575415
gaussian_noise,3,1.0378820477485657,0.8418,0.946,0.8586071230077112,0.8418,0.8413948888865967,5000,4.2214452999996865,0.0008442890599999373,1184.4284705052014
gaussian_noise,4,1.3221699288368225,0.7964,0.9204,0.8218383898426098,0.7964000000000001,0.7965685116909683,5000,4.254767900007209,0.0008509535800014418,1175.1522333313476
gaussian_blur,1,0.929191527223587,0.8582,0.9536,0.8727116198129357,0.8582000000000001,0.8574848701977466,5000,4.161539500004437,0.0008323079000008874,1201.4784432527117
gaussian_blur,2,1.445396293926239,0.7708,0.9046,0.8022165578573475,0.7707999999999999,0.7714066598266335,5000,4.546401599982346,0.0009092803199964692,1099.770860545935
gaussian_blur,3,2.0584106742858888,0.6566,0.831,0.7211798259076792,0.6567999999999999,0.65775175057909,5000,4.500890799989065,0.000900178159997813,1110.8912040283553
gaussian_blur,4,3.2456666816711426,0.4524,0.6494,0.5726957358508957,0.45239999999999997,0.45903258261724733,5000,4.248537799991027,0.0008497075599982054,1176.875488788298
motion_blur,1,0.8681828684329986,0.8682,0.9582,0.8802245032745033,0.8682000000000002,0.8671317451052262,5000,4.494927399993685,0.000898985479998737,1112.3650183998577
motion_blur,2,1.0262152539730072,0.8432,0.9456,0.8590357639092934,0.8432000000000001,0.8428810826094283,5000,4.621236500002851,0.0009242473000005703,1081.9615053237192
motion_blur,3,1.3957113590240477,0.7752,0.9144,0.8070419195458823,0.7752,0.7759664007965194,5000,4.526991699995051,0.0009053983399990102,1104.4862308904756
motion_blur,4,1.9957833629608155,0.6708,0.847,0.7352159091981989,0.6704,0.6737850370126656,5000,5.04524009999659,0.001009048019999318,991.0331125774131
brightness,1,0.7958130373477936,0.8834,0.9672,0.8933180624930624,0.8834,0.8824918031154471,5000,4.8509294000105,0.0009701858800021,1030.7303173674673
brightness,2,0.8151432065010071,0.8798,0.9664,0.8903131507381509,0.8798,0.8787718563178047,5000,4.608781599990834,0.0009217563199981669,1084.8854282897553
brightness,3,0.8299659723758698,0.8764,0.9658,0.888347960209725,0.8766000000000002,0.8758579849397349,5000,4.740869200004454,0.0009481738400008907,1054.658922038031
brightness,4,0.8692126442432404,0.8676,0.9602,0.8802111230874389,0.8674000000000001,0.8665491993514404,5000,4.875182000017958,0.0009750364000035915,1025.6027364684196
jpeg,1,0.8360116709947586,0.8712,0.9626,0.8835146907014554,0.8712000000000002,0.8705678456124075,5000,4.2849166999949375,0.0008569833399989875,1166.8838276379813
jpeg,2,0.8665100533485413,0.8692,0.9604,0.8814171291127174,0.8692000000000001,0.8685011541928706,5000,4.6066082999932405,0.0009213216599986481,1085.3972542026934
jpeg,3,0.9105628601551056,0.8594,0.9574,0.8734788553551711,0.8594,0.8587335984404834,5000,5.019845399976475,0.001003969079995295,996.0466113206259
jpeg,4,1.0500327872276307,0.8364,0.945,0.8508134511515316,0.8364000000000001,0.8350438976303328,5000,4.153719599977194,0.0008307439199954388,1203.7403776671522
