label,original_category_id,precision,recall,f1,support,predicted_count
0,6,0.2857142857142857,0.2,0.23529411764705882,10,7
1,9,0.25,0.2,0.22222222222222224,10,8
2,27,0.6666666666666666,0.2,0.30769230769230765,10,3
3,35,0.0,0.0,0.0,10,5
4,53,0.16666666666666666,0.1,0.125,10,6
5,58,0.0,0.0,0.0,10,16
6,106,0.14285714285714285,0.1,0.11764705882352941,10,7
7,117,0.0,0.0,0.0,10,7
8,128,0.2,0.1,0.13333333333333333,10,5
9,152,0.25,0.1,0.14285714285714288,10,4
10,158,0.1,0.1,0.10000000000000002,10,10
11,188,0.4,0.4,0.4000000000000001,10,10
12,241,0.2727272727272727,0.3,0.28571428571428564,10,11
13,319,0.4,0.4,0.4000000000000001,10,10
14,344,0.13333333333333333,0.2,0.16,10,15
15,387,0.16666666666666666,0.2,0.1818181818181818,10,12
16,400,0.2,0.3,0.24,10,15
17,406,0.0,0.0,0.0,10,12
18,409,0.46153846153846156,0.6,0.5217391304347826,10,13
19,434,0.1,0.1,0.10000000000000002,10,10
20,452,0.0,0.0,0.0,10,3
21,488,0.18181818181818182,0.2,0.1904761904761905,10,11
22,514,0.2,0.1,0.13333333333333333,10,5
23,520,0.25,0.4,0.3076923076923077,10,16
24,525,0.4666666666666667,0.7,0.56,10,15
25,590,0.5,0.3,0.37499999999999994,10,6
26,626,0.3333333333333333,0.2,0.25,10,6
27,634,0.09090909090909091,0.1,0.09523809523809525,10,11
28,651,0.21052631578947367,0.4,0.27586206896551724,10,19
29,653,0.5,0.6,0.5454545454545454,10,12
30,685,0.36363636363636365,0.4,0.380952380952381,10,11
31,711,0.3,0.3,0.3,10,10
32,722,0.125,0.2,0.15384615384615385,10,16
33,727,0.15384615384615385,0.2,0.17391304347826086,10,13
34,750,0.0,0.0,0.0,10,5
35,757,0.15384615384615385,0.2,0.17391304347826086,10,13
36,771,0.25,0.4,0.3076923076923077,10,16
37,821,0.25,0.1,0.14285714285714288,10,4
38,828,0.0,0.0,0.0,10,4
39,832,0.0,0.0,0.0,10,8
40,887,0.25,0.1,0.14285714285714288,10,4
41,916,0.25,0.4,0.3076923076923077,10,16
42,931,0.6666666666666666,0.6,0.631578947368421,10,9
43,936,0.42857142857142855,0.3,0.3529411764705882,10,7
44,949,0.5,0.3,0.37499999999999994,10,6
45,958,0.3684210526315789,0.7,0.48275862068965514,10,19
46,960,0.6,0.6,0.6,10,10
47,964,0.5,0.5,0.5,10,10
48,993,0.0,0.0,0.0,10,6
49,998,0.0,0.0,0.0,10,2
50,1040,0.06666666666666667,0.1,0.08,10,15
51,1049,0.2857142857142857,0.4,0.3333333333333333,10,14
52,1084,0.3333333333333333,0.1,0.15384615384615383,10,3
53,1104,0.0,0.0,0.0,10,9
54,1113,0.3333333333333333,0.3,0.3157894736842105,10,9
55,1122,0.5,0.1,0.16666666666666669,10,2
56,1127,0.1111111111111111,0.1,0.10526315789473685,10,9
57,1133,0.25,0.1,0.14285714285714288,10,4
58,1137,0.5833333333333334,0.7,0.6363636363636365,10,12
59,1139,0.3125,0.5,0.38461538461538464,10,16
60,1146,0.5,0.4,0.4444444444444445,10,8
61,1160,0.375,0.3,0.33333333333333326,10,8
62,1163,0.5,0.8,0.6153846153846154,10,16
63,1169,0.0,0.0,0.0,10,1
64,1188,0.45454545454545453,0.5,0.47619047619047616,10,11
65,1193,0.1875,0.3,0.23076923076923075,10,16
66,1200,0.2631578947368421,0.5,0.3448275862068966,10,19
67,1232,0.2,0.1,0.13333333333333333,10,5
68,1235,0.14285714285714285,0.2,0.16666666666666666,10,14
69,1290,0.0,0.0,0.0,10,1
70,1291,0.5454545454545454,0.6,0.5714285714285713,10,11
71,1307,0.16666666666666666,0.1,0.125,10,6
72,1312,0.3888888888888889,0.7,0.5,10,18
73,1343,0.23076923076923078,0.3,0.2608695652173913,10,13
74,1389,0.3333333333333333,0.2,0.25,10,6
75,1403,0.1,0.1,0.10000000000000002,10,10
76,1424,0.5454545454545454,0.6,0.5714285714285713,10,11
77,1489,0.125,0.1,0.11111111111111112,10,8
78,1512,0.3,0.3,0.3,10,10
79,1519,0.23076923076923078,0.3,0.2608695652173913,10,13
80,1528,0.15384615384615385,0.2,0.17391304347826086,10,13
81,1530,0.5714285714285714,0.4,0.47058823529411764,10,7
82,1535,0.3333333333333333,0.1,0.15384615384615383,10,3
83,1545,0.3333333333333333,0.3,0.3157894736842105,10,9
84,1584,0.0,0.0,0.0,10,11
85,1588,0.5555555555555556,0.5,0.5263157894736842,10,9
86,1604,0.3333333333333333,0.5,0.4,10,15
87,1612,0.36363636363636365,0.4,0.380952380952381,10,11
88,1638,0.1111111111111111,0.1,0.10526315789473685,10,9
89,1654,0.45454545454545453,0.5,0.47619047619047616,10,11
90,1674,0.1,0.1,0.10000000000000002,10,10
91,1679,0.5,0.6,0.5454545454545454,10,12
92,1684,0.4,0.2,0.26666666666666666,10,5
93,1697,0.4166666666666667,0.5,0.45454545454545453,10,12
94,1743,0.2,0.1,0.13333333333333333,10,5
95,1753,0.8333333333333334,0.5,0.625,10,6
96,1771,0.625,0.5,0.5555555555555556,10,8
97,1776,0.25,0.2,0.22222222222222224,10,8
98,1790,0.125,0.1,0.11111111111111112,10,8
99,1796,0.07142857142857142,0.1,0.08333333333333333,10,14
100,1824,0.2,0.2,0.20000000000000004,10,10
101,1827,0.5454545454545454,0.6,0.5714285714285713,10,11
102,1832,0.3,0.3,0.3,10,10
103,1876,0.0,0.0,0.0,10,6
104,1889,0.625,0.5,0.5555555555555556,10,8
105,1891,0.3333333333333333,0.2,0.25,10,6
106,1894,0.14285714285714285,0.1,0.11764705882352941,10,7
107,1964,0.25,0.1,0.14285714285714288,10,4
108,1982,0.29411764705882354,0.5,0.37037037037037035,10,17
109,2041,0.3,0.3,0.3,10,10
110,2045,0.3333333333333333,0.2,0.25,10,6
111,2060,0.0,0.0,0.0,10,5
112,2085,0.5454545454545454,0.6,0.5714285714285713,10,11
113,2088,0.5833333333333334,0.7,0.6363636363636365,10,12
114,2103,0.2857142857142857,0.4,0.3333333333333333,10,14
115,2143,0.16666666666666666,0.1,0.125,10,6
116,2144,0.5833333333333334,0.7,0.6363636363636365,10,12
117,2167,0.14285714285714285,0.2,0.16666666666666666,10,14
118,2170,0.38461538461538464,0.5,0.4347826086956522,10,13
119,2200,0.25,0.1,0.14285714285714288,10,4
120,2266,0.5,0.5,0.5,10,10
121,2286,0.1,0.1,0.10000000000000002,10,10
122,2287,0.0,0.0,0.0,10,5
123,2296,0.0,0.0,0.0,10,4
124,2340,0.4166666666666667,0.5,0.45454545454545453,10,12
125,2414,0.25,0.2,0.22222222222222224,10,8
126,2426,0.2,0.1,0.13333333333333333,10,5
127,2442,0.0,0.0,0.0,10,11
128,2504,0.375,0.3,0.33333333333333326,10,8
129,2532,0.16666666666666666,0.1,0.125,10,6
130,2536,0.0,0.0,0.0,10,5
131,2546,0.0,0.0,0.0,10,6
132,2547,0.0625,0.1,0.07692307692307693,10,16
133,2579,0.3333333333333333,0.2,0.25,10,6
134,2584,0.125,0.1,0.11111111111111112,10,8
135,2591,0.3333333333333333,0.3,0.3157894736842105,10,9
136,2608,0.125,0.1,0.11111111111111112,10,8
137,2615,0.2727272727272727,0.3,0.28571428571428564,10,11
138,2621,0.1,0.1,0.10000000000000002,10,10
139,2646,0.25,0.2,0.22222222222222224,10,8
140,2647,0.0,0.0,0.0,10,15
141,2662,0.0,0.0,0.0,10,13
142,2664,0.16666666666666666,0.1,0.125,10,6
143,2677,0.14285714285714285,0.2,0.16666666666666666,10,14
144,2697,0.0,0.0,0.0,10,15
145,2705,0.15384615384615385,0.2,0.17391304347826086,10,13
146,2724,0.14285714285714285,0.2,0.16666666666666666,10,14
147,2780,0.3333333333333333,0.4,0.3636363636363636,10,12
148,2803,0.42857142857142855,0.3,0.3529411764705882,10,7
149,2851,0.3157894736842105,0.6,0.41379310344827586,10,19
150,2900,0.14285714285714285,0.1,0.11764705882352941,10,7
151,2925,0.4,0.2,0.26666666666666666,10,5
152,2927,0.2,0.1,0.13333333333333333,10,5
153,2938,0.25,0.3,0.2727272727272727,10,12
154,3006,0.0,0.0,0.0,10,2
155,3044,0.0,0.0,0.0,10,9
156,3111,0.0,0.0,0.0,10,4
157,3114,0.0,0.0,0.0,10,7
158,3116,0.0,0.0,0.0,10,7
159,3119,0.2222222222222222,0.2,0.2105263157894737,10,9
160,3139,0.0,0.0,0.0,10,8
161,3143,0.1,0.1,0.10000000000000002,10,10
162,3150,0.08333333333333333,0.1,0.0909090909090909,10,12
163,3164,0.15789473684210525,0.3,0.20689655172413793,10,19
164,3228,0.2,0.1,0.13333333333333333,10,5
165,3257,0.2727272727272727,0.3,0.28571428571428564,10,11
166,3258,0.09090909090909091,0.2,0.12500000000000003,10,22
167,3262,0.3333333333333333,0.2,0.25,10,6
168,3269,0.4,0.2,0.26666666666666666,10,5
169,3295,0.18181818181818182,0.2,0.1904761904761905,10,11
170,3335,0.2222222222222222,0.2,0.2105263157894737,10,9
171,3346,0.1111111111111111,0.1,0.10526315789473685,10,9
172,3432,0.1111111111111111,0.1,0.10526315789473685,10,9
173,3441,0.15384615384615385,0.2,0.17391304347826086,10,13
174,3443,0.0,0.0,0.0,10,3
175,3450,0.3333333333333333,0.2,0.25,10,6
176,3456,0.5,0.3,0.37499999999999994,10,6
177,3470,0.06666666666666667,0.1,0.08,10,15
178,3483,0.2,0.2,0.20000000000000004,10,10
179,3492,0.2222222222222222,0.2,0.2105263157894737,10,9
180,3501,0.1,0.1,0.10000000000000002,10,10
181,3502,0.18181818181818182,0.2,0.1904761904761905,10,11
182,3510,0.1111111111111111,0.1,0.10526315789473685,10,9
183,3527,0.23076923076923078,0.3,0.2608695652173913,10,13
184,3566,0.18181818181818182,0.2,0.1904761904761905,10,11
185,3582,0.16666666666666666,0.2,0.1818181818181818,10,12
186,3593,0.14285714285714285,0.1,0.11764705882352941,10,7
187,3598,0.2222222222222222,0.2,0.2105263157894737,10,9
188,3608,0.125,0.1,0.11111111111111112,10,8
189,3611,0.4,0.2,0.26666666666666666,10,5
190,3644,0.125,0.1,0.11111111111111112,10,8
191,3652,0.0,0.0,0.0,10,4
192,3657,0.2727272727272727,0.3,0.28571428571428564,10,11
193,3680,0.15384615384615385,0.2,0.17391304347826086,10,13
194,3681,0.08333333333333333,0.1,0.0909090909090909,10,12
195,3728,0.2,0.2,0.20000000000000004,10,10
196,3733,0.16666666666666666,0.1,0.125,10,6
197,3750,0.0,0.0,0.0,10,11
198,3752,0.125,0.1,0.11111111111111112,10,8
199,3770,0.16666666666666666,0.1,0.125,10,6
200,3811,0.6666666666666666,0.4,0.5,10,6
201,3814,0.15384615384615385,0.2,0.17391304347826086,10,13
202,3848,0.14285714285714285,0.1,0.11764705882352941,10,7
203,3853,0.0,0.0,0.0,10,9
204,3872,0.2857142857142857,0.2,0.23529411764705882,10,7
205,3878,0.75,0.6,0.6666666666666665,10,8
206,3899,0.14285714285714285,0.1,0.11764705882352941,10,7
207,3910,0.25,0.5,0.3333333333333333,10,20
208,3923,0.0,0.0,0.0,10,5
209,3946,0.25,0.2,0.22222222222222224,10,8
210,3981,0.13333333333333333,0.2,0.16,10,15
211,4002,0.3333333333333333,0.4,0.3636363636363636,10,12
212,4010,0.2857142857142857,0.2,0.23529411764705882,10,7
213,4011,0.2,0.2,0.20000000000000004,10,10
214,4012,0.125,0.1,0.11111111111111112,10,8
