Robustness classification report
model: dino
degradation: gaussian_blur
severity: 4
num_samples: 5000
num_classes: 500
nll: 4.678960

Overall metrics
top1_accuracy: 0.245800 (24.58%)
top2_accuracy: 0.316000 (31.60%)
top3_accuracy: 0.354800 (35.48%)
top4_accuracy: 0.379600 (37.96%)
top5_accuracy: 0.402000 (40.20%)
macro_precision: 0.437488 (43.75%)
macro_recall: 0.245800 (24.58%)
macro_f1: 0.256241 (25.62%)

Per-class metrics
class  precision  recall  f1_score  support
000    1.000000   0.100000  0.181818  10
001    0.666667   0.200000  0.307692  10
002    0.666667   0.400000  0.500000  10
003    0.250000   0.200000  0.222222  10
004    0.384615   0.500000  0.434783  10
005    0.000000   0.000000  0.000000  10
006    0.500000   0.200000  0.285714  10
007    0.285714   0.200000  0.235294  10
008    0.042857   0.300000  0.075000  10
009    1.000000   0.100000  0.181818  10
010    1.000000   0.200000  0.333333  10
011    0.750000   0.300000  0.428571  10
012    1.000000   0.100000  0.181818  10
013    0.075000   0.600000  0.133333  10
014    0.280000   0.700000  0.400000  10
015    0.125000   0.300000  0.176471  10
016    0.666667   0.200000  0.307692  10
017    0.145833   0.700000  0.241379  10
018    0.500000   0.600000  0.545455  10
019    0.833333   0.500000  0.625000  10
020    1.000000   0.100000  0.181818  10
021    1.000000   0.200000  0.333333  10
022    0.250000   0.200000  0.222222  10
023    0.666667   0.200000  0.307692  10
024    0.529412   0.900000  0.666667  10
025    0.333333   0.600000  0.428571  10
026    0.076923   0.100000  0.086957  10
027    0.500000   0.100000  0.166667  10
028    0.090909   0.600000  0.157895  10
029    1.000000   0.500000  0.666667  10
030    0.428571   0.600000  0.500000  10
031    0.428571   0.300000  0.352941  10
032    1.000000   0.600000  0.750000  10
033    0.428571   0.300000  0.352941  10
034    0.000000   0.000000  0.000000  10
035    0.125000   0.400000  0.190476  10
036    0.222222   1.000000  0.363636  10
037    0.187500   0.300000  0.230769  10
038    0.000000   0.000000  0.000000  10
039    0.500000   0.100000  0.166667  10
040    0.222222   0.200000  0.210526  10
041    0.875000   0.700000  0.777778  10
042    0.444444   0.400000  0.421053  10
043    0.800000   0.400000  0.533333  10
044    0.454545   0.500000  0.476190  10
045    1.000000   0.400000  0.571429  10
046    0.714286   0.500000  0.588235  10
047    1.000000   0.300000  0.461538  10
048    0.000000   0.000000  0.000000  10
049    1.000000   0.200000  0.333333  10
050    1.000000   0.300000  0.461538  10
051    0.333333   0.700000  0.451613  10
052    0.333333   0.100000  0.153846  10
053    0.000000   0.000000  0.000000  10
054    0.666667   0.200000  0.307692  10
055    0.000000   0.000000  0.000000  10
056    0.000000   0.000000  0.000000  10
057    0.029586   0.500000  0.055866  10
058    1.000000   0.400000  0.571429  10
059    1.000000   0.100000  0.181818  10
060    0.714286   0.500000  0.588235  10
061    1.000000   0.100000  0.181818  10
062    0.800000   0.800000  0.800000  10
063    1.000000   0.300000  0.461538  10
064    0.000000   0.000000  0.000000  10
065    0.750000   0.300000  0.428571  10
066    0.333333   0.100000  0.153846  10
067    0.000000   0.000000  0.000000  10
068    0.428571   0.300000  0.352941  10
069    0.312500   0.500000  0.384615  10
070    0.833333   0.500000  0.625000  10
071    0.600000   0.300000  0.400000  10
072    1.000000   0.700000  0.823529  10
073    1.000000   0.100000  0.181818  10
074    0.800000   0.400000  0.533333  10
075    0.750000   0.300000  0.428571  10
076    1.000000   0.300000  0.461538  10
077    1.000000   0.100000  0.181818  10
078    0.400000   0.200000  0.266667  10
079    0.666667   0.200000  0.307692  10
080    0.000000   0.000000  0.000000  10
081    0.500000   0.100000  0.166667  10
082    0.375000   0.300000  0.333333  10
083    0.137931   0.400000  0.205128  10
084    1.000000   0.100000  0.181818  10
085    1.000000   0.500000  0.666667  10
086    0.071429   0.100000  0.083333  10
087    0.666667   0.400000  0.500000  10
088    0.280000   0.700000  0.400000  10
089    0.833333   0.500000  0.625000  10
090    0.000000   0.000000  0.000000  10
091    1.000000   0.300000  0.461538  10
092    0.777778   0.700000  0.736842  10
093    0.600000   0.900000  0.720000  10
094    0.500000   0.200000  0.285714  10
095    1.000000   0.700000  0.823529  10
096    0.666667   0.800000  0.727273  10
097    1.000000   0.100000  0.181818  10
098    0.000000   0.000000  0.000000  10
099    0.000000   0.000000  0.000000  10
100    0.047619   0.100000  0.064516  10
101    0.800000   0.400000  0.533333  10
102    0.666667   0.200000  0.307692  10
103    0.210526   0.400000  0.275862  10
104    0.000000   0.000000  0.000000  10
105    1.000000   0.500000  0.666667  10
106    0.000000   0.000000  0.000000  10
107    0.333333   0.400000  0.363636  10
108    1.000000   0.300000  0.461538  10
109    1.000000   0.300000  0.461538  10
110    1.000000   0.100000  0.181818  10
111    1.000000   0.100000  0.181818  10
112    0.636364   0.700000  0.666667  10
113    1.000000   0.400000  0.571429  10
114    0.166667   0.200000  0.181818  10
115    0.000000   0.000000  0.000000  10
116    1.000000   0.200000  0.333333  10
117    1.000000   0.200000  0.333333  10
118    0.888889   0.800000  0.842105  10
119    0.666667   0.200000  0.307692  10
120    0.333333   0.100000  0.153846  10
121    0.000000   0.000000  0.000000  10
122    0.000000   0.000000  0.000000  10
123    0.000000   0.000000  0.000000  10
124    1.000000   0.200000  0.333333  10
125    0.600000   0.300000  0.400000  10
126    0.000000   0.000000  0.000000  10
127    0.000000   0.000000  0.000000  10
128    1.000000   0.100000  0.181818  10
129    0.500000   0.100000  0.166667  10
130    0.500000   0.100000  0.166667  10
131    0.666667   0.200000  0.307692  10
132    0.666667   0.200000  0.307692  10
133    0.500000   0.100000  0.166667  10
134    1.000000   0.200000  0.333333  10
135    0.000000   0.000000  0.000000  10
136    0.000000   0.000000  0.000000  10
137    0.222222   0.200000  0.210526  10
138    0.500000   0.300000  0.375000  10
139    0.333333   0.400000  0.363636  10
140    0.000000   0.000000  0.000000  10
141    1.000000   0.100000  0.181818  10
142    1.000000   0.100000  0.181818  10
143    0.000000   0.000000  0.000000  10
144    0.000000   0.000000  0.000000  10
145    0.500000   0.100000  0.166667  10
146    0.666667   0.600000  0.631579  10
147    0.666667   0.200000  0.307692  10
148    1.000000   0.200000  0.333333  10
149    0.833333   0.500000  0.625000  10
150    0.250000   0.400000  0.307692  10
151    1.000000   0.100000  0.181818  10
152    0.333333   0.100000  0.153846  10
153    0.500000   0.100000  0.166667  10
154    0.285714   0.200000  0.235294  10
155    0.000000   0.000000  0.000000  10
156    0.666667   0.200000  0.307692  10
157    0.000000   0.000000  0.000000  10
158    0.000000   0.000000  0.000000  10
159    0.115385   0.300000  0.166667  10
160    0.000000   0.000000  0.000000  10
161    0.181818   0.200000  0.190476  10
162    0.300000   0.300000  0.300000  10
163    0.109375   0.700000  0.189189  10
164    1.000000   0.200000  0.333333  10
165    0.200000   0.400000  0.266667  10
166    0.600000   0.300000  0.400000  10
167    0.833333   0.500000  0.625000  10
168    0.500000   0.200000  0.285714  10
169    0.500000   0.300000  0.375000  10
170    0.555556   0.500000  0.526316  10
171    0.500000   0.200000  0.285714  10
172    1.000000   0.200000  0.333333  10
173    0.666667   0.400000  0.500000  10
174    0.500000   0.100000  0.166667  10
175    0.666667   0.200000  0.307692  10
176    1.000000   0.100000  0.181818  10
177    0.000000   0.000000  0.000000  10
178    1.000000   0.300000  0.461538  10
179    0.000000   0.000000  0.000000  10
180    1.000000   0.100000  0.181818  10
181    0.181818   0.200000  0.190476  10
182    1.000000   0.200000  0.333333  10
183    0.571429   0.400000  0.470588  10
184    0.833333   0.500000  0.625000  10
185    0.100000   0.100000  0.100000  10
186    0.600000   0.600000  0.600000  10
187    1.000000   0.100000  0.181818  10
188    0.030000   0.600000  0.057143  10
189    0.818182   0.900000  0.857143  10
190    1.000000   0.200000  0.333333  10
191    0.666667   0.200000  0.307692  10
192    1.000000   0.400000  0.571429  10
193    0.000000   0.000000  0.000000  10
194    0.012461   0.800000  0.024540  10
