Robustness classification report
model: dino
degradation: jpeg
severity: 2
num_samples: 5000
num_classes: 500
nll: 1.026523

Overall metrics
top1_accuracy: 0.869000 (86.90%)
top2_accuracy: 0.919000 (91.90%)
top3_accuracy: 0.936600 (93.66%)
top4_accuracy: 0.948000 (94.80%)
top5_accuracy: 0.953200 (95.32%)
macro_precision: 0.879201 (87.92%)
macro_recall: 0.869000 (86.90%)
macro_f1: 0.868647 (86.86%)

Per-class metrics
class  precision  recall  f1_score  support
000    0.900000   0.900000  0.900000  10
001    0.888889   0.800000  0.842105  10
002    0.818182   0.900000  0.857143  10
003    1.000000   0.800000  0.888889  10
004    1.000000   1.000000  1.000000  10
005    0.800000   0.800000  0.800000  10
006    0.800000   0.800000  0.800000  10
007    0.909091   1.000000  0.952381  10
008    0.750000   0.600000  0.666667  10
009    1.000000   1.000000  1.000000  10
010    0.909091   1.000000  0.952381  10
011    1.000000   0.900000  0.947368  10
012    0.909091   1.000000  0.952381  10
013    0.909091   1.000000  0.952381  10
014    1.000000   0.900000  0.947368  10
015    1.000000   1.000000  1.000000  10
016    1.000000   0.900000  0.947368  10
017    0.900000   0.900000  0.900000  10
018    0.833333   1.000000  0.909091  10
019    1.000000   0.800000  0.888889  10
020    1.000000   0.800000  0.888889  10
021    1.000000   1.000000  1.000000  10
022    0.800000   0.800000  0.800000  10
023    0.833333   1.000000  0.909091  10
024    1.000000   1.000000  1.000000  10
025    1.000000   0.900000  0.947368  10
026    0.727273   0.800000  0.761905  10
027    1.000000   0.900000  0.947368  10
028    1.000000   0.800000  0.888889  10
029    1.000000   1.000000  1.000000  10
030    0.909091   1.000000  0.952381  10
031    1.000000   0.800000  0.888889  10
032    0.900000   0.900000  0.900000  10
033    1.000000   0.800000  0.888889  10
034    0.833333   1.000000  0.909091  10
035    0.777778   0.700000  0.736842  10
036    0.833333   1.000000  0.909091  10
037    0.909091   1.000000  0.952381  10
038    1.000000   0.900000  0.947368  10
039    1.000000   0.800000  0.888889  10
040    1.000000   0.900000  0.947368  10
041    1.000000   1.000000  1.000000  10
042    1.000000   0.700000  0.823529  10
043    1.000000   0.900000  0.947368  10
044    1.000000   1.000000  1.000000  10
045    1.000000   1.000000  1.000000  10
046    0.909091   1.000000  0.952381  10
047    1.000000   1.000000  1.000000  10
048    1.000000   1.000000  1.000000  10
049    0.800000   0.800000  0.800000  10
050    1.000000   1.000000  1.000000  10
051    0.909091   1.000000  0.952381  10
052    0.875000   0.700000  0.777778  10
053    1.000000   0.900000  0.947368  10
054    1.000000   0.900000  0.947368  10
055    0.900000   0.900000  0.900000  10
056    0.818182   0.900000  0.857143  10
057    0.900000   0.900000  0.900000  10
058    1.000000   1.000000  1.000000  10
059    1.000000   0.900000  0.947368  10
060    0.900000   0.900000  0.900000  10
061    1.000000   1.000000  1.000000  10
062    1.000000   1.000000  1.000000  10
063    0.833333   1.000000  0.909091  10
064    0.888889   0.800000  0.842105  10
065    0.727273   0.800000  0.761905  10
066    1.000000   0.900000  0.947368  10
067    1.000000   0.700000  0.823529  10
068    0.909091   1.000000  0.952381  10
069    0.750000   0.900000  0.818182  10
070    1.000000   1.000000  1.000000  10
071    0.700000   0.700000  0.700000  10
072    1.000000   1.000000  1.000000  10
073    0.750000   0.900000  0.818182  10
074    0.833333   1.000000  0.909091  10
075    0.900000   0.900000  0.900000  10
076    1.000000   0.800000  0.888889  10
077    0.900000   0.900000  0.900000  10
078    0.888889   0.800000  0.842105  10
079    0.888889   0.800000  0.842105  10
080    1.000000   1.000000  1.000000  10
081    1.000000   0.800000  0.888889  10
082    0.769231   1.000000  0.869565  10
083    0.909091   1.000000  0.952381  10
084    1.000000   0.700000  0.823529  10
085    1.000000   1.000000  1.000000  10
086    0.909091   1.000000  0.952381  10
087    0.818182   0.900000  0.857143  10
088    0.692308   0.900000  0.782609  10
