Robustness classification report
model: dino
degradation: motion_blur
severity: 2
num_samples: 5000
num_classes: 500
nll: 1.257410

Overall metrics
top1_accuracy: 0.839000 (83.90%)
top2_accuracy: 0.892000 (89.20%)
top3_accuracy: 0.912400 (91.24%)
top4_accuracy: 0.923600 (92.36%)
top5_accuracy: 0.932200 (93.22%)
macro_precision: 0.857394 (85.74%)
macro_recall: 0.839000 (83.90%)
macro_f1: 0.839096 (83.91%)

Per-class metrics
class  precision  recall  f1_score  support
000    1.000000   1.000000  1.000000  10
001    0.900000   0.900000  0.900000  10
002    0.888889   0.800000  0.842105  10
003    0.888889   0.800000  0.842105  10
004    0.818182   0.900000  0.857143  10
005    0.642857   0.900000  0.750000  10
006    0.875000   0.700000  0.777778  10
007    1.000000   1.000000  1.000000  10
008    0.857143   0.600000  0.705882  10
009    0.909091   1.000000  0.952381  10
010    0.833333   1.000000  0.909091  10
011    1.000000   0.900000  0.947368  10
012    1.000000   1.000000  1.000000  10
013    1.000000   1.000000  1.000000  10
014    0.900000   0.900000  0.900000  10
015    1.000000   0.900000  0.947368  10
016    1.000000   0.900000  0.947368  10
017    0.900000   0.900000  0.900000  10
018    0.714286   1.000000  0.833333  10
019    1.000000   0.800000  0.888889  10
020    1.000000   0.700000  0.823529  10
021    0.818182   0.900000  0.857143  10
022    0.800000   0.800000  0.800000  10
023    0.909091   1.000000  0.952381  10
024    0.833333   1.000000  0.909091  10
025    0.818182   0.900000  0.857143  10
026    0.888889   0.800000  0.842105  10
027    0.875000   0.700000  0.777778  10
028    0.800000   0.800000  0.800000  10
029    1.000000   1.000000  1.000000  10
030    0.833333   1.000000  0.909091  10
031    0.875000   0.700000  0.777778  10
032    0.888889   0.800000  0.842105  10
033    0.888889   0.800000  0.842105  10
034    0.833333   1.000000  0.909091  10
035    0.769231   1.000000  0.869565  10
036    0.625000   1.000000  0.769231  10
037    1.000000   1.000000  1.000000  10
038    0.888889   0.800000  0.842105  10
039    0.727273   0.800000  0.761905  10
040    0.750000   0.900000  0.818182  10
041    1.000000   1.000000  1.000000  10
042    0.800000   0.800000  0.800000  10
043    1.000000   0.900000  0.947368  10
044    0.692308   0.900000  0.782609  10
045    1.000000   1.000000  1.000000  10
046    0.909091   1.000000  0.952381  10
047    1.000000   0.800000  0.888889  10
048    1.000000   0.800000  0.888889  10
049    1.000000   0.600000  0.750000  10
050    0.909091   1.000000  0.952381  10
051    0.909091   1.000000  0.952381  10
052    0.857143   0.600000  0.705882  10
053    0.875000   0.700000  0.777778  10
054    0.750000   0.900000  0.818182  10
055    0.875000   0.700000  0.777778  10
056    1.000000   0.600000  0.750000  10
057    0.900000   0.900000  0.900000  10
058    1.000000   1.000000  1.000000  10
059    1.000000   0.900000  0.947368  10
060    1.000000   1.000000  1.000000  10
061    1.000000   1.000000  1.000000  10
062    1.000000   1.000000  1.000000  10
063    0.909091   1.000000  0.952381  10
064    1.000000   0.600000  0.750000  10
065    0.800000   0.800000  0.800000  10
066    0.727273   0.800000  0.761905  10
067    1.000000   0.700000  0.823529  10
068    0.909091   1.000000  0.952381  10
069    0.562500   0.900000  0.692308  10
070    0.909091   1.000000  0.952381  10
071    0.750000   0.900000  0.818182  10
072    1.000000   1.000000  1.000000  10
073    0.833333   1.000000  0.909091  10
074    0.909091   1.000000  0.952381  10
075    1.000000   0.900000  0.947368  10
076    0.875000   0.700000  0.777778  10
077    0.818182   0.900000  0.857143  10
078    0.800000   0.800000  0.800000  10
079    1.000000   0.900000  0.947368  10
080    0.888889   0.800000  0.842105  10
081    0.875000   0.700000  0.777778  10
082    0.833333   1.000000  0.909091  10
083    0.833333   1.000000  0.909091  10
084    1.000000   0.400000  0.571429  10
085    1.000000   1.000000  1.000000  10
086    1.000000   0.900000  0.947368  10
087    1.000000   0.900000  0.947368  10
088    0.409091   0.900000  0.562500  10
089    0.833333   1.000000  0.909091  10
090    1.000000   0.700000  0.823529  10
091    1.000000   1.000000  1.000000  10
092    1.000000   0.900000  0.947368  10
093    0.833333   1.000000  0.909091  10
094    0.636364   0.700000  0.666667  10
095    1.000000   1.000000  1.000000  10
096    1.000000   1.000000  1.000000  10
097    1.000000   0.900000  0.947368  10
098    0.750000   0.600000  0.666667  10
099    0.888889   0.800000  0.842105  10
100    1.000000   1.000000  1.000000  10
101    1.000000   1.000000  1.000000  10
102    0.900000   0.900000  0.900000  10
103    1.000000   0.700000  0.823529  10
104    1.000000   0.800000  0.888889  10
105    1.000000   0.700000  0.823529  10
106    0.888889   0.800000  0.842105  10
107    0.833333   1.000000  0.909091  10
108    0.900000   0.900000  0.900000  10
109    1.000000   0.900000  0.947368  10
110    0.636364   0.700000  0.666667  10
111    1.000000   0.800000  0.888889  10
112    1.000000   0.900000  0.947368  10
113    0.909091   1.000000  0.952381  10
114    0.818182   0.900000  0.857143  10
115    0.900000   0.900000  0.900000  10
116    1.000000   1.000000  1.000000  10
117    0.909091   1.000000  0.952381  10
118    1.000000   1.000000  1.000000  10
119    1.000000   0.700000  0.823529  10
120    0.833333   1.000000  0.909091  10
121    0.700000   0.700000  0.700000  10
122    1.000000   0.600000  0.750000  10
123    0.777778   0.700000  0.736842  10
124    1.000000   1.000000  1.000000  10
125    0.900000   0.900000  0.900000  10
126    1.000000   0.800000  0.888889  10
127    0.857143   0.600000  0.705882  10
128    0.900000   0.900000  0.900000  10
129    0.888889   0.800000  0.842105  10
130    0.875000   0.700000  0.777778  10
131    0.538462   0.700000  0.608696  10
132    1.000000   1.000000  1.000000  10
133    0.888889   0.800000  0.842105  10
134    1.000000   0.900000  0.947368  10
135    0.666667   1.000000  0.800000  10
136    0.857143   0.600000  0.705882  10
137    0.588235   1.000000  0.740741  10
138    0.750000   0.600000  0.666667  10
139    0.700000   0.700000  0.700000  10
140    0.800000   0.800000  0.800000  10
141    0.900000   0.900000  0.900000  10
142    1.000000   0.700000  0.823529  10
143    1.000000   0.700000  0.823529  10
144    0.769231   1.000000  0.869565  10
145    1.000000   0.900000  0.947368  10
146    0.888889   0.800000  0.842105  10
147    1.000000   0.900000  0.947368  10
148    0.800000   0.800000  0.800000  10
149    0.909091   1.000000  0.952381  10
150    0.666667   0.600000  0.631579  10
151    0.769231   1.000000  0.869565  10
152    0.857143   0.600000  0.705882  10
153    0.900000   0.900000  0.900000  10
154    0.636364   0.700000  0.666667  10
155    0.833333   0.500000  0.625000  10
156    0.800000   0.800000  0.800000  10
157    0.500000   0.300000  0.375000  10
158    0.571429   0.800000  0.666667  10
159    0.533333   0.800000  0.640000  10
160    0.700000   0.700000  0.700000  10
161    0.461538   0.600000  0.521739  10
162    0.692308   0.900000  0.782609  10
163    0.900000   0.900000  0.900000  10
164    0.727273   0.800000  0.761905  10
165    0.533333   0.800000  0.640000  10
166    0.875000   0.700000  0.777778  10
167    0.888889   0.800000  0.842105  10
168    0.727273   0.800000  0.761905  10
169    0.750000   0.900000  0.818182  10
170    0.818182   0.900000  0.857143  10
171    0.800000   0.800000  0.800000  10
172    0.818182   0.900000  0.857143  10
173    1.000000   0.600000  0.750000  10
174    0.666667   0.800000  0.727273  10
175    0.666667   0.600000  0.631579  10
176    1.000000   0.900000  0.947368  10
177    0.800000   0.800000  0.800000  10
178    0.700000   0.700000  0.700000  10
179    1.000000   0.600000  0.750000  10
180    0.857143   0.600000  0.705882  10
181    0.800000   0.800000  0.800000  10
182    0.777778   0.700000  0.736842  10
183    0.909091   1.000000  0.952381  10
184    0.888889   0.800000  0.842105  10
185    0.900000   0.900000  0.900000  10
186    0.900000   0.900000  0.900000  10
187    0.636364   0.700000  0.666667  10
188    0.666667   0.800000  0.727273  10
189    1.000000   1.000000  1.000000  10
190    0.875000   0.700000  0.777778  10
191    0.833333   1.000000  0.909091  10
192    0.888889   0.800000  0.842105  10
193    0.888889   0.800000  0.842105  10
194    0.692308   0.900000  0.782609  10
195    0.571429   0.800000  0.666667  10
196    0.909091   1.000000  0.952381  10
197    0.583333   0.700000  0.636364  10
198    0.833333   0.500000  0.625000  10
199    0.700000   0.700000  0.700000  10
200    0.888889   0.800000  0.842105  10
201    0.727273   0.800000  0.761905  10
202    0.461538   0.600000  0.521739  10
203    0.428571   0.600000  0.500000  10
204    0.833333   1.000000  0.909091  10
205    0.909091   1.000000  0.952381  10
206    0.800000   0.400000  0.533333  10
207    0.818182   0.900000  0.857143  10
208    0.900000   0.900000  0.900000  10
209    1.000000   0.700000  0.823529  10
210    1.000000   0.800000  0.888889  10
211    1.000000   0.900000  0.947368  10
212    0.700000   0.700000  0.700000  10
213    1.000000   0.800000  0.888889  10
214    0.800000   0.800000  0.800000  10
215    0.666667   0.800000  0.727273  10
216    0.888889   0.800000  0.842105  10
217    1.000000   0.800000  0.888889  10
218    0.900000   0.900000  0.900000  10
219    1.000000   0.800000  0.888889  10
220    0.583333   0.700000  0.636364  10
221    1.000000   0.800000  0.888889  10
222    0.714286   1.000000  0.833333  10
223    0.833333   1.000000  0.909091  10
224    0.700000   0.700000  0.700000  10
225    0.833333   1.000000  0.909091  10
226    0.692308   0.900000  0.782609  10
227    0.538462   0.700000  0.608696  10
