model_key,sample_id,sample_group,image_path,true_label,predicted_label,top_fraction,predicted_true_cam_iou
resnet50_full_finetune,sample_11,confusable_error,test/455/2723789_7beb8135-0a4e-4822-ab0c-c9253df54396.jpg,455,456,0.2,0.02163180129281824
resnet50_full_finetune,sample_12,confusable_error,test/455/2785131_73404c39-fed5-4692-a964-dbdd9b8e1981.jpg,455,456,0.2,0.011234822912993098
resnet50_full_finetune,sample_13,confusable_error,test/122/2769608_8a4061c6-c97d-4029-b140-a02b0257cedf.jpg,122,121,0.2,0.6700224644313171
resnet50_full_finetune,sample_15,confusable_error,test/203/2736545_ad8bd1c4-de0d-4a3f-96f9-79616b12335d.jpg,203,202,0.2,0.018573023444636152
resnet50_full_finetune,sample_16,confusable_error,test/335/2761282_7d64f2f7-cc02-408a-8cda-a7595ca8d4cc.jpg,335,333,0.2,0.2795308216994964
resnet50_full_finetune,sample_17,confusable_error,test/139/2758817_8e34db25-e482-4763-832c-2bb1e00ba746.jpg,139,134,0.2,0.41471666196786017
resnet50_full_finetune,sample_18,confusable_error,test/335/2761654_59379efb-ca49-478d-975c-fff93f3f0fcf.jpg,335,334,0.2,0.35989159891598915
resnet50_full_finetune,sample_19,confusable_error,test/203/2752018_dbebe97e-7bfa-4391-a33f-b4640aadc719.jpg,203,202,0.2,0.21781337216357238
resnet50_full_finetune,sample_22,consensus_difficult,test/389/2734196_899d7a03-966e-4ad9-8e56-a0f7da4a7e64.jpg,389,103,0.2,0.23573231545896695
resnet50_full_finetune,sample_23,consensus_difficult,test/381/2718365_976a8e1c-35b7-4aa5-aacb-50495ded9078.jpg,381,468,0.2,0.25544158118588944
resnet50_full_finetune,sample_24,consensus_difficult,test/184/2687534_d31397b7-bac3-4524-bc11-1d7d2c0ca7ad.jpg,184,436,0.2,0.11877821749066385
resnet50_full_finetune,sample_25,consensus_difficult,test/193/2716562_fec115c3-cced-4be1-b6f6-aa8684b4976e.jpg,193,225,0.2,0.30042112082928407
resnet50_full_finetune,sample_27,consensus_difficult,test/256/2733011_568aaf96-6d06-4f0e-843e-b94a458995bf.jpg,256,490,0.2,0.24732786477752922
resnet50_full_finetune,sample_28,consensus_difficult,test/178/2697466_171420fb-5b5f-4b5c-a93b-cfcaadfb5f0a.jpg,178,215,0.2,0.39923318229348204
