sample_id,sample_group,selection_profile,selection_detail,image_path,anchor_true_label,anchor_predicted_label,anchor_confidence,anchor_correct,strong_model_correct_count,consensus_confidence_rank,majority_wrong_label,majority_wrong_votes
sample_01,strong_model_consensus_correct,extended_30,all three strong models correct; mean confidence percentile=0.9128,test/348/2772725_4121b228-0a61-4daa-bc99-be897559b6a4.jpg,348,348,0.989560604095459,True,3,0.9128,-1,0
sample_02,strong_model_consensus_correct,extended_30,all three strong models correct; mean confidence percentile=0.9127,test/398/2737429_b24d5ce4-1e94-4bbb-aabc-b1f292b9761b.jpg,398,398,0.9772424101829528,True,3,0.9126666666666666,-1,0
sample_03,strong_model_consensus_correct,extended_30,all three strong models correct; mean confidence percentile=0.9123,test/486/2726066_7e6f2f7f-a7ad-4b72-9509-d930c57b288f.jpg,486,486,0.9797709584236144,True,3,0.9122666666666666,-1,0
sample_04,strong_model_consensus_correct,extended_30,all three strong models correct; mean confidence percentile=0.9109,test/240/2697679_ee0a0f8e-cb7e-4c19-b7e6-80619f0b3d20.jpg,240,240,0.9710450768470764,True,3,0.9109333333333334,-1,0
sample_05,strong_model_consensus_correct,extended_30,all three strong models correct; mean confidence percentile=0.9097,test/111/2709151_72734e97-6c71-48a1-a2fc-d477b568e1a2.jpg,111,111,0.982486367225647,True,3,0.9096666666666667,-1,0
sample_06,strong_model_consensus_correct,extended_30,all three strong models correct; mean confidence percentile=0.9094,test/485/2749752_e1cfd374-2b2d-45ae-b686-2545801190b7.jpg,485,485,0.964186191558838,True,3,0.9094000000000001,-1,0
sample_07,strong_model_consensus_correct,extended_30,all three strong models correct; mean confidence percentile=0.9047,test/311/2741711_a166ab02-f109-4f0e-9883-5e2351816635.jpg,311,311,0.9513762593269348,True,3,0.9047333333333333,-1,0
sample_08,strong_model_consensus_correct,extended_30,all three strong models correct; mean confidence percentile=0.9042,test/192/2728793_dd08833f-e414-400b-a116-cb1a63fd5095.jpg,192,192,0.9636893272399902,True,3,0.9042,-1,0
sample_09,strong_model_consensus_correct,extended_30,all three strong models correct; mean confidence percentile=0.9015,test/028/2725993_9a16e280-5973-423c-a4c2-55cf6247f447.jpg,28,28,0.9500507712364196,True,3,0.9014666666666667,-1,0
sample_10,strong_model_consensus_correct,extended_30,all three strong models correct; mean confidence percentile=0.9003,test/367/2692017_393de909-7a55-4ef2-af16-deea1b8f3838.jpg,367,367,0.9567470550537108,True,3,0.9002666666666667,-1,0
sample_11,confusable_error,extended_30,recurring pair 455->456; votes=3/3; pair images=5,test/455/2723789_7beb8135-0a4e-4822-ab0c-c9253df54396.jpg,455,456,0.5109175443649292,False,0,0.3832,456,3
sample_12,confusable_error,extended_30,recurring pair 455->456; votes=3/3; pair images=5,test/455/2785131_73404c39-fed5-4692-a964-dbdd9b8e1981.jpg,455,456,0.3409673571586609,False,0,0.38153333333333334,456,3
sample_13,confusable_error,extended_30,recurring pair 122->121; votes=3/3; pair images=4,test/122/2769608_8a4061c6-c97d-4029-b140-a02b0257cedf.jpg,122,121,0.5658909678459167,False,0,0.3171333333333333,121,3
sample_14,confusable_error,extended_30,recurring pair 122->121; votes=3/3; pair images=4,test/122/2761891_3b5a30f6-dc3e-4b12-a8a1-89e756275a99.jpg,122,121,0.6072311401367188,False,0,0.2736,121,3
sample_15,confusable_error,extended_30,recurring pair 203->202; votes=3/3; pair images=3,test/203/2736545_ad8bd1c4-de0d-4a3f-96f9-79616b12335d.jpg,203,202,0.6926056742668152,False,0,0.4372666666666667,202,3
sample_16,confusable_error,extended_30,recurring pair 335->333; votes=3/3; pair images=3,test/335/2761282_7d64f2f7-cc02-408a-8cda-a7595ca8d4cc.jpg,335,333,0.7366254925727844,False,0,0.28320000000000006,333,3
sample_17,confusable_error,extended_30,recurring pair 139->140; votes=3/3; pair images=3,test/139/2758817_8e34db25-e482-4763-832c-2bb1e00ba746.jpg,139,140,0.6533151865005493,False,0,0.3207666666666667,140,3
sample_18,confusable_error,extended_30,recurring pair 335->333; votes=3/3; pair images=3,test/335/2761654_59379efb-ca49-478d-975c-fff93f3f0fcf.jpg,335,333,0.4003689885139465,False,0,0.37539999999999996,333,3
sample_19,confusable_error,extended_30,recurring pair 203->202; votes=3/3; pair images=3,test/203/2752018_dbebe97e-7bfa-4391-a33f-b4640aadc719.jpg,203,202,0.3581475019454956,False,0,0.22873333333333334,202,3
sample_20,confusable_error,extended_30,recurring pair 139->140; votes=2/3; pair images=3,test/139/2720439_c4e5a066-5637-4baa-9329-7a8c7e58ba15.jpg,139,139,0.3275170624256134,True,1,0.1908,140,2
sample_21,consensus_difficult,extended_30,retained previously identified dataset-quality text image,test/166/2732378_f08aebf2-10c1-4bab-94f8-4bc2c7770a31.jpg,166,222,0.0126372901722788,False,0,0.0434,69,1
sample_22,consensus_difficult,extended_30,all three strong models incorrect; mean confidence percentile=0.0040,test/389/2734196_899d7a03-966e-4ad9-8e56-a0f7da4a7e64.jpg,389,323,0.0293836034834384,False,0,0.004,156,1
sample_23,consensus_difficult,extended_30,all three strong models incorrect; mean confidence percentile=0.0072,test/381/2718365_976a8e1c-35b7-4aa5-aacb-50495ded9078.jpg,381,478,0.0527924410998821,False,0,0.007200000000000001,287,1
sample_24,consensus_difficult,extended_30,all three strong models incorrect; mean confidence percentile=0.0128,test/184/2687534_d31397b7-bac3-4524-bc11-1d7d2c0ca7ad.jpg,184,79,0.0313458703458309,False,0,0.0128,79,1
sample_25,consensus_difficult,extended_30,all three strong models incorrect; mean confidence percentile=0.0140,test/193/2716562_fec115c3-cced-4be1-b6f6-aa8684b4976e.jpg,193,227,0.0773670598864555,False,0,0.014,187,1
sample_26,consensus_difficult,extended_30,all three strong models incorrect; mean confidence percentile=0.0141,test/039/2753388_86b35091-7dfa-4c36-9b78-8583ceac3421.jpg,39,50,0.0533731244504451,False,0,0.014133333333333333,5,1
sample_27,consensus_difficult,extended_30,all three strong models incorrect; mean confidence percentile=0.0141,test/256/2733011_568aaf96-6d06-4f0e-843e-b94a458995bf.jpg,256,259,0.0262014362961053,False,0,0.014133333333333333,259,1
sample_28,consensus_difficult,extended_30,all three strong models incorrect; mean confidence percentile=0.0155,test/178/2697466_171420fb-5b5f-4b5c-a93b-cfcaadfb5f0a.jpg,178,241,0.0717470198869705,False,0,0.015533333333333335,171,1
sample_29,consensus_difficult,extended_30,all three strong models incorrect; mean confidence percentile=0.0169,test/020/2719934_33eebbd4-e793-4137-ab05-b9b6db58af47.jpg,20,135,0.0957336723804473,False,0,0.016866666666666665,5,1
sample_30,consensus_difficult,extended_30,all three strong models incorrect; mean confidence percentile=0.0186,test/322/2731272_d07811e7-53a9-4ebe-91d9-f3335f6f560d.jpg,322,394,0.0531423315405845,False,0,0.018600000000000002,94,1
