Robustness classification report
model: ensemble
degradation: gaussian_blur
severity: 4
num_samples: 5000
num_classes: 500
nll: 5.436092

Overall metrics
top1_accuracy: 0.088600 (8.86%)
top2_accuracy: 0.123000 (12.30%)
top3_accuracy: 0.154400 (15.44%)
top4_accuracy: 0.178400 (17.84%)
top5_accuracy: 0.196800 (19.68%)
macro_precision: 0.213194 (21.32%)
macro_recall: 0.088600 (8.86%)
macro_f1: 0.097724 (9.77%)

Per-class metrics
class  precision  recall  f1_score  support
000    0.000000   0.000000  0.000000  10
001    0.000000   0.000000  0.000000  10
002    0.666667   0.200000  0.307692  10
003    0.200000   0.200000  0.200000  10
004    1.000000   0.100000  0.181818  10
005    0.000000   0.000000  0.000000  10
006    0.000000   0.000000  0.000000  10
007    0.000000   0.000000  0.000000  10
008    0.222222   0.200000  0.210526  10
009    0.000000   0.000000  0.000000  10
010    0.000000   0.000000  0.000000  10
011    0.000000   0.000000  0.000000  10
012    0.000000   0.000000  0.000000  10
013    0.137931   0.400000  0.205128  10
014    0.300000   0.600000  0.400000  10
015    0.000000   0.000000  0.000000  10
016    0.500000   0.100000  0.166667  10
017    0.063158   0.600000  0.114286  10
018    0.315789   0.600000  0.413793  10
019    0.000000   0.000000  0.000000  10
020    0.000000   0.000000  0.000000  10
021    1.000000   0.100000  0.181818  10
022    1.000000   0.100000  0.181818  10
023    1.000000   0.100000  0.181818  10
024    0.347826   0.800000  0.484848  10
025    0.500000   0.200000  0.285714  10
026    0.000000   0.000000  0.000000  10
027    0.000000   0.000000  0.000000  10
028    0.250000   0.200000  0.222222  10
029    0.312500   0.500000  0.384615  10
030    1.000000   0.200000  0.333333  10
031    0.000000   0.000000  0.000000  10
032    1.000000   0.300000  0.461538  10
033    0.000000   0.000000  0.000000  10
034    0.000000   0.000000  0.000000  10
035    0.048780   0.400000  0.086957  10
036    0.500000   0.100000  0.166667  10
037    0.285714   0.200000  0.235294  10
038    0.000000   0.000000  0.000000  10
039    0.500000   0.100000  0.166667  10
040    0.000000   0.000000  0.000000  10
041    1.000000   0.600000  0.750000  10
042    0.600000   0.300000  0.400000  10
043    0.214286   0.300000  0.250000  10
044    0.294118   0.500000  0.370370  10
045    1.000000   0.300000  0.461538  10
046    1.000000   0.200000  0.333333  10
047    0.000000   0.000000  0.000000  10
048    0.000000   0.000000  0.000000  10
049    0.000000   0.000000  0.000000  10
050    1.000000   0.100000  0.181818  10
051    0.750000   0.300000  0.428571  10
052    0.000000   0.000000  0.000000  10
053    0.000000   0.000000  0.000000  10
054    1.000000   0.100000  0.181818  10
055    0.250000   0.100000  0.142857  10
056    0.000000   0.000000  0.000000  10
057    0.500000   0.100000  0.166667  10
058    1.000000   0.100000  0.181818  10
059    0.000000   0.000000  0.000000  10
060    0.800000   0.400000  0.533333  10
061    1.000000   0.200000  0.333333  10
062    0.875000   0.700000  0.777778  10
063    1.000000   0.100000  0.181818  10
064    0.000000   0.000000  0.000000  10
065    0.000000   0.000000  0.000000  10
066    0.000000   0.000000  0.000000  10
067    0.000000   0.000000  0.000000  10
068    0.000000   0.000000  0.000000  10
069    0.500000   0.100000  0.166667  10
070    0.428571   0.600000  0.500000  10
071    1.000000   0.200000  0.333333  10
072    0.571429   0.400000  0.470588  10
073    0.000000   0.000000  0.000000  10
074    0.000000   0.000000  0.000000  10
075    0.000000   0.000000  0.000000  10
076    0.000000   0.000000  0.000000  10
077    0.000000   0.000000  0.000000  10
078    0.000000   0.000000  0.000000  10
079    0.000000   0.000000  0.000000  10
080    0.000000   0.000000  0.000000  10
081    0.000000   0.000000  0.000000  10
082    0.250000   0.200000  0.222222  10
083    0.250000   0.300000  0.272727  10
084    0.000000   0.000000  0.000000  10
085    1.000000   0.400000  0.571429  10
086    1.000000   0.200000  0.333333  10
087    0.000000   0.000000  0.000000  10
088    0.235294   0.400000  0.296296  10
089    0.833333   0.500000  0.625000  10
090    0.000000   0.000000  0.000000  10
091    1.000000   0.100000  0.181818  10
092    1.000000   0.300000  0.461538  10
093    0.208333   0.500000  0.294118  10
094    1.000000   0.100000  0.181818  10
095    0.000000   0.000000  0.000000  10
096    0.833333   0.500000  0.625000  10
097    0.000000   0.000000  0.000000  10
098    0.000000   0.000000  0.000000  10
099    0.000000   0.000000  0.000000  10
100    0.000000   0.000000  0.000000  10
101    0.000000   0.000000  0.000000  10
102    0.666667   0.200000  0.307692  10
103    0.000000   0.000000  0.000000  10
104    0.000000   0.000000  0.000000  10
105    1.000000   0.200000  0.333333  10
106    1.000000   0.300000  0.461538  10
107    0.181818   0.200000  0.190476  10
108    0.500000   0.100000  0.166667  10
109    0.000000   0.000000  0.000000  10
110    0.000000   0.000000  0.000000  10
111    0.000000   0.000000  0.000000  10
112    0.416667   0.500000  0.454545  10
113    1.000000   0.100000  0.181818  10
114    0.000000   0.000000  0.000000  10
115    0.000000   0.000000  0.000000  10
116    1.000000   0.400000  0.571429  10
117    0.000000   0.000000  0.000000  10
118    1.000000   0.300000  0.461538  10
119    0.000000   0.000000  0.000000  10
120    0.000000   0.000000  0.000000  10
121    0.000000   0.000000  0.000000  10
122    0.000000   0.000000  0.000000  10
123    0.000000   0.000000  0.000000  10
124    0.076923   0.200000  0.111111  10
125    0.000000   0.000000  0.000000  10
126    0.000000   0.000000  0.000000  10
127    0.000000   0.000000  0.000000  10
128    0.000000   0.000000  0.000000  10
129    0.000000   0.000000  0.000000  10
130    0.000000   0.000000  0.000000  10
131    0.000000   0.000000  0.000000  10
132    0.200000   0.200000  0.200000  10
133    0.000000   0.000000  0.000000  10
134    0.000000   0.000000  0.000000  10
135    0.000000   0.000000  0.000000  10
136    0.000000   0.000000  0.000000  10
137    0.333333   0.200000  0.250000  10
138    0.000000   0.000000  0.000000  10
139    0.000000   0.000000  0.000000  10
140    0.000000   0.000000  0.000000  10
141    0.000000   0.000000  0.000000  10
142    0.000000   0.000000  0.000000  10
143    0.000000   0.000000  0.000000  10
144    0.000000   0.000000  0.000000  10
145    0.000000   0.000000  0.000000  10
146    0.000000   0.000000  0.000000  10
147    0.000000   0.000000  0.000000  10
148    0.000000   0.000000  0.000000  10
149    0.333333   0.200000  0.250000  10
150    1.000000   0.100000  0.181818  10
151    0.000000   0.000000  0.000000  10
152    0.083333   0.100000  0.090909  10
153    0.000000   0.000000  0.000000  10
