Robustness classification report
model: ensemble
degradation: gaussian_noise
severity: 3
num_samples: 5000
num_classes: 500
nll: 1.379657

Overall metrics
top1_accuracy: 0.738000 (73.80%)
top2_accuracy: 0.816800 (81.68%)
top3_accuracy: 0.850000 (85.00%)
top4_accuracy: 0.871200 (87.12%)
top5_accuracy: 0.887200 (88.72%)
macro_precision: 0.794042 (79.40%)
macro_recall: 0.738000 (73.80%)
macro_f1: 0.745053 (74.51%)

Per-class metrics
class  precision  recall  f1_score  support
000    0.909091   1.000000  0.952381  10
001    0.700000   0.700000  0.700000  10
002    0.875000   0.700000  0.777778  10
003    0.875000   0.700000  0.777778  10
004    0.800000   0.800000  0.800000  10
005    0.800000   0.800000  0.800000  10
006    0.777778   0.700000  0.736842  10
007    1.000000   0.800000  0.888889  10
008    0.727273   0.800000  0.761905  10
009    1.000000   0.900000  0.947368  10
010    1.000000   1.000000  1.000000  10
011    0.800000   0.800000  0.800000  10
012    1.000000   1.000000  1.000000  10
013    1.000000   0.900000  0.947368  10
014    0.600000   0.900000  0.720000  10
015    1.000000   0.900000  0.947368  10
016    0.727273   0.800000  0.761905  10
017    0.750000   0.900000  0.818182  10
018    0.909091   1.000000  0.952381  10
019    0.888889   0.800000  0.842105  10
020    0.727273   0.800000  0.761905  10
021    1.000000   1.000000  1.000000  10
022    1.000000   0.600000  0.750000  10
023    0.642857   0.900000  0.750000  10
024    0.833333   1.000000  0.909091  10
025    1.000000   1.000000  1.000000  10
026    0.800000   0.800000  0.800000  10
027    0.750000   0.600000  0.666667  10
028    0.833333   0.500000  0.625000  10
029    1.000000   0.900000  0.947368  10
030    1.000000   0.700000  0.823529  10
031    1.000000   0.700000  0.823529  10
032    1.000000   0.900000  0.947368  10
033    0.666667   0.400000  0.500000  10
034    0.571429   0.800000  0.666667  10
035    0.818182   0.900000  0.857143  10
036    0.526316   1.000000  0.689655  10
037    0.888889   0.800000  0.842105  10
038    1.000000   0.600000  0.750000  10
039    0.700000   0.700000  0.700000  10
040    0.888889   0.800000  0.842105  10
041    0.833333   1.000000  0.909091  10
042    0.750000   0.600000  0.666667  10
043    1.000000   0.800000  0.888889  10
044    0.818182   0.900000  0.857143  10
045    0.888889   0.800000  0.842105  10
046    0.909091   1.000000  0.952381  10
047    0.727273   0.800000  0.761905  10
048    1.000000   0.900000  0.947368  10
049    1.000000   0.500000  0.666667  10
050    1.000000   0.700000  0.823529  10
051    0.600000   0.900000  0.720000  10
052    0.857143   0.600000  0.705882  10
053    0.875000   0.700000  0.777778  10
054    1.000000   0.600000  0.750000  10
055    0.800000   0.800000  0.800000  10
056    1.000000   0.700000  0.823529  10
057    0.888889   0.800000  0.842105  10
058    1.000000   1.000000  1.000000  10
059    1.000000   0.800000  0.888889  10
060    0.909091   1.000000  0.952381  10
061    0.588235   1.000000  0.740741  10
062    1.000000   1.000000  1.000000  10
063    0.900000   0.900000  0.900000  10
064    1.000000   0.500000  0.666667  10
065    0.533333   0.800000  0.640000  10
066    0.562500   0.900000  0.692308  10
067    0.666667   0.600000  0.631579  10
068    1.000000   0.700000  0.823529  10
069    0.600000   0.900000  0.720000  10
070    1.000000   0.900000  0.947368  10
071    1.000000   0.600000  0.750000  10
072    0.909091   1.000000  0.952381  10
073    0.909091   1.000000  0.952381  10
074    0.888889   0.800000  0.842105  10
075    0.900000   0.900000  0.900000  10
076    0.888889   0.800000  0.842105  10
077    0.900000   0.900000  0.900000  10
078    1.000000   0.700000  0.823529  10
079    0.888889   0.800000  0.842105  10
080    1.000000   0.700000  0.823529  10
081    0.888889   0.800000  0.842105  10
082    0.692308   0.900000  0.782609  10
083    1.000000   0.500000  0.666667  10
084    0.800000   0.400000  0.533333  10
085    0.909091   1.000000  0.952381  10
086    0.700000   0.700000  0.700000  10
087    0.769231   1.000000  0.869565  10
088    0.615385   0.800000  0.695652  10
089    1.000000   0.900000  0.947368  10
090    0.800000   0.400000  0.533333  10
091    1.000000   1.000000  1.000000  10
092    1.000000   0.700000  0.823529  10
093    0.833333   1.000000  0.909091  10
094    0.470588   0.800000  0.592593  10
095    1.000000   1.000000  1.000000  10
096    1.000000   0.900000  0.947368  10
097    1.000000   0.800000  0.888889  10
098    1.000000   0.600000  0.750000  10
099    0.900000   0.900000  0.900000  10
100    0.615385   0.800000  0.695652  10
101    1.000000   1.000000  1.000000  10
102    0.900000   0.900000  0.900000  10
103    0.777778   0.700000  0.736842  10
104    1.000000   0.600000  0.750000  10
105    0.900000   0.900000  0.900000  10
106    0.888889   0.800000  0.842105  10
107    1.000000   0.900000  0.947368  10
108    0.900000   0.900000  0.900000  10
109    0.900000   0.900000  0.900000  10
110    0.857143   0.600000  0.705882  10
111    0.777778   0.700000  0.736842  10
112    1.000000   1.000000  1.000000  10
113    0.909091   1.000000  0.952381  10
114    0.777778   0.700000  0.736842  10
115    1.000000   0.800000  0.888889  10
116    1.000000   1.000000  1.000000  10
117    1.000000   0.900000  0.947368  10
118    1.000000   0.900000  0.947368  10
119    1.000000   0.600000  0.750000  10
120    0.875000   0.700000  0.777778  10
121    0.636364   0.700000  0.666667  10
122    1.000000   0.500000  0.666667  10
123    0.875000   0.700000  0.777778  10
124    0.909091   1.000000  0.952381  10
125    0.727273   0.800000  0.761905  10
126    0.833333   0.500000  0.625000  10
127    0.615385   0.800000  0.695652  10
128    0.900000   0.900000  0.900000  10
129    1.000000   0.700000  0.823529  10
130    0.777778   0.700000  0.736842  10
131    1.000000   0.500000  0.666667  10
132    0.888889   0.800000  0.842105  10
133    0.777778   0.700000  0.736842  10
134    0.769231   1.000000  0.869565  10
135    0.692308   0.900000  0.782609  10
136    0.833333   0.500000  0.625000  10
137    0.500000   0.700000  0.583333  10
138    1.000000   0.900000  0.947368  10
139    0.555556   0.500000  0.526316  10
140    0.714286   0.500000  0.588235  10
141    1.000000   0.800000  0.888889  10
142    0.875000   0.700000  0.777778  10
143    0.666667   0.600000  0.631579  10
144    0.642857   0.900000  0.750000  10
145    0.833333   1.000000  0.909091  10
146    0.888889   0.800000  0.842105  10
147    0.500000   0.400000  0.444444  10
148    1.000000   0.800000  0.888889  10
149    0.545455   0.600000  0.571429  10
150    0.727273   0.800000  0.761905  10
151    0.909091   1.000000  0.952381  10
152    0.195652   0.900000  0.321429  10
153    0.909091   1.000000  0.952381  10
154    0.727273   0.800000  0.761905  10
155    1.000000   0.400000  0.571429  10
156    0.857143   0.600000  0.705882  10
157    0.800000   0.400000  0.533333  10
158    0.500000   0.400000  0.444444  10
159    0.310345   0.900000  0.461538  10
160    0.750000   0.600000  0.666667  10
161    0.416667   0.500000  0.454545  10
162    0.777778   0.700000  0.736842  10
163    0.909091   1.000000  0.952381  10
164    0.727273   0.800000  0.761905  10
165    0.444444   0.800000  0.571429  10
166    0.600000   0.600000  0.600000  10
167    0.888889   0.800000  0.842105  10
168    1.000000   0.700000  0.823529  10
169    0.421053   0.800000  0.551724  10
170    0.526316   1.000000  0.689655  10
171    0.888889   0.800000  0.842105  10
172    1.000000   0.700000  0.823529  10
173    0.692308   0.900000  0.782609  10
174    0.857143   0.600000  0.705882  10
175    0.538462   0.700000  0.608696  10
176    0.750000   0.600000  0.666667  10
177    0.666667   0.800000  0.727273  10
178    1.000000   0.600000  0.750000  10
179    0.666667   0.600000  0.631579  10
180    0.555556   0.500000  0.526316  10
181    0.533333   0.800000  0.640000  10
182    0.750000   0.600000  0.666667  10
183    0.857143   0.600000  0.705882  10
184    0.700000   0.700000  0.700000  10
185    0.555556   0.500000  0.526316  10
186    0.727273   0.800000  0.761905  10
187    0.428571   0.600000  0.500000  10
188    0.625000   0.500000  0.555556  10
189    0.909091   1.000000  0.952381  10
190    0.450000   0.900000  0.600000  10
191    0.461538   0.600000  0.521739  10
192    1.000000   0.700000  0.823529  10
193    0.714286   0.500000  0.588235  10
194    0.818182   0.900000  0.857143  10
195    0.318182   0.700000  0.437500  10
196    0.833333   0.500000  0.625000  10
197    0.500000   0.600000  0.545455  10
198    0.583333   0.700000  0.636364  10
199    0.714286   0.500000  0.588235  10
200    0.583333   0.700000  0.636364  10
201    0.857143   0.600000  0.705882  10
202    0.533333   0.800000  0.640000  10
203    0.800000   0.400000  0.533333  10
204    0.290323   0.900000  0.439024  10
205    0.900000   0.900000  0.900000  10
206    0.400000   0.400000  0.400000  10
207    0.500000   0.700000  0.583333  10
208    1.000000   0.600000  0.750000  10
209    1.000000   0.600000  0.750000  10
210    0.875000   0.700000  0.777778  10
211    0.818182   0.900000  0.857143  10
212    1.000000   0.300000  0.461538  10
213    0.875000   0.700000  0.777778  10
214    0.700000   0.700000  0.700000  10
215    0.700000   0.700000  0.700000  10
216    0.545455   0.600000  0.571429  10
217    0.750000   0.600000  0.666667  10
218    0.900000   0.900000  0.900000  10
219    0.875000   0.700000  0.777778  10
220    0.538462   0.700000  0.608696  10
221    1.000000   0.700000  0.823529  10
222    0.875000   0.700000  0.777778  10
223    0.909091   1.000000  0.952381  10
224    0.833333   0.500000  0.625000  10
225    0.285714   0.800000  0.421053  10
226    1.000000   0.800000  0.888889  10
227    0.263158   0.500000  0.344828  10
228    0.285714   0.200000  0.235294  10
229    0.875000   0.700000  0.777778  10
230    1.000000   0.600000  0.750000  10
231    0.777778   0.700000  0.736842  10
232    0.600000   0.300000  0.400000  10
233    1.000000   0.100000  0.181818  10
234    0.833333   0.500000  0.625000  10
235    0.625000   0.500000  0.555556  10
236    1.000000   0.700000  0.823529  10
237    1.000000   0.400000  0.571429  10
238    0.909091   1.000000  0.952381  10
239    0.888889   0.800000  0.842105  10
240    0.875000   0.700000  0.777778  10
241    0.583333   0.700000  0.636364  10
242    0.777778   0.700000  0.736842  10
243    1.000000   0.900000  0.947368  10
244    0.470588   0.800000  0.592593  10
245    0.777778   0.700000  0.736842  10
246    0.200000   0.300000  0.240000  10
247    0.500000   0.100000  0.166667  10
248    0.636364   0.700000  0.666667  10
249    0.800000   0.800000  0.800000  10
250    1.000000   0.700000  0.823529  10
251    1.000000   0.800000  0.888889  10
252    0.777778   0.700000  0.736842  10
253    0.750000   0.600000  0.666667  10
254    0.727273   0.800000  0.761905  10
255    0.500000   0.600000  0.545455  10
256    0.117647   0.200000  0.148148  10
257    0.777778   0.700000  0.736842  10
258    0.700000   0.700000  0.700000  10
259    0.545455   0.600000  0.571429  10
260    0.875000   0.700000  0.777778  10
261    1.000000   0.700000  0.823529  10
262    0.727273   0.800000  0.761905  10
263    1.000000   0.900000  0.947368  10
264    0.909091   1.000000  0.952381  10
265    0.500000   0.600000  0.545455  10
266    0.750000   0.600000  0.666667  10
267    0.875000   0.700000  0.777778  10
268    0.800000   0.800000  0.800000  10
269    0.833333   1.000000  0.909091  10
270    0.818182   0.900000  0.857143  10
271    0.700000   0.700000  0.700000  10
272    1.000000   0.900000  0.947368  10
273    0.888889   0.800000  0.842105  10
274    1.000000   0.700000  0.823529  10
275    0.900000   0.900000  0.900000  10
276    0.636364   0.700000  0.666667  10
277    0.583333   0.700000  0.636364  10
278    1.000000   0.500000  0.666667  10
279    0.909091   1.000000  0.952381  10
280    0.800000   0.800000  0.800000  10
281    0.692308   0.900000  0.782609  10
282    0.714286   0.500000  0.588235  10
283    1.000000   0.900000  0.947368  10
284    0.466667   0.700000  0.560000  10
285    1.000000   0.800000  0.888889  10
286    1.000000   0.600000  0.750000  10
287    0.800000   0.800000  0.800000  10
288    0.750000   0.900000  0.818182  10
289    1.000000   0.600000  0.750000  10
290    0.666667   0.800000  0.727273  10
291    0.900000   0.900000  0.900000  10
292    1.000000   0.800000  0.888889  10
293    1.000000   0.800000  0.888889  10
294    0.666667   0.800000  0.727273  10
295    0.727273   0.800000  0.761905  10
296    1.000000   0.400000  0.571429  10
297    0.750000   0.900000  0.818182  10
298    0.800000   0.800000  0.800000  10
299    0.833333   1.000000  0.909091  10
300    0.769231   1.000000  0.869565  10
301    1.000000   1.000000  1.000000  10
302    0.909091   1.000000  0.952381  10
303    0.900000   0.900000  0.900000  10
304    1.000000   0.800000  0.888889  10
305    1.000000   0.400000  0.571429  10
306    0.636364   0.700000  0.666667  10
307    0.909091   1.000000  0.952381  10
308    0.538462   0.700000  0.608696  10
309    0.818182   0.900000  0.857143  10
310    1.000000   0.800000  0.888889  10
311    0.545455   0.600000  0.571429  10
312    1.000000   0.900000  0.947368  10
