Robustness classification report
model: ensemble
degradation: motion_blur
severity: 4
num_samples: 5000
num_classes: 500
nll: 3.230453

Overall metrics
top1_accuracy: 0.417400 (41.74%)
top2_accuracy: 0.513400 (51.34%)
top3_accuracy: 0.563000 (56.30%)
top4_accuracy: 0.593800 (59.38%)
top5_accuracy: 0.616200 (61.62%)
macro_precision: 0.627106 (62.71%)
macro_recall: 0.417400 (41.74%)
macro_f1: 0.441420 (44.14%)

Per-class metrics
class  precision  recall  f1_score  support
000    1.000000   0.300000  0.461538  10
001    0.500000   0.200000  0.285714  10
002    1.000000   0.400000  0.571429  10
003    0.800000   0.400000  0.533333  10
004    0.625000   0.500000  0.555556  10
005    0.750000   0.300000  0.428571  10
006    0.500000   0.300000  0.375000  10
007    0.333333   0.100000  0.153846  10
008    0.428571   0.300000  0.352941  10
009    1.000000   0.700000  0.823529  10
010    0.600000   0.300000  0.400000  10
011    0.666667   0.400000  0.500000  10
012    1.000000   0.300000  0.461538  10
013    0.727273   0.800000  0.761905  10
014    0.500000   0.700000  0.583333  10
015    1.000000   0.600000  0.750000  10
016    0.857143   0.600000  0.705882  10
017    0.347826   0.800000  0.484848  10
018    0.800000   0.800000  0.800000  10
019    1.000000   0.200000  0.333333  10
020    1.000000   0.200000  0.333333  10
021    1.000000   0.600000  0.750000  10
022    1.000000   0.100000  0.181818  10
023    0.642857   0.900000  0.750000  10
024    0.588235   1.000000  0.740741  10
025    0.800000   0.800000  0.800000  10
026    0.428571   0.300000  0.352941  10
027    1.000000   0.100000  0.181818  10
028    0.538462   0.700000  0.608696  10
029    1.000000   0.800000  0.888889  10
030    0.666667   0.800000  0.727273  10
031    0.454545   0.500000  0.476190  10
032    1.000000   0.500000  0.666667  10
033    0.555556   0.500000  0.526316  10
034    1.000000   0.100000  0.181818  10
035    0.040936   0.700000  0.077348  10
036    0.800000   0.400000  0.533333  10
037    0.400000   0.400000  0.400000  10
038    1.000000   0.200000  0.333333  10
039    0.375000   0.300000  0.333333  10
040    1.000000   0.500000  0.666667  10
041    1.000000   1.000000  1.000000  10
042    0.875000   0.700000  0.777778  10
043    1.000000   0.700000  0.823529  10
044    0.538462   0.700000  0.608696  10
045    0.875000   0.700000  0.777778  10
046    1.000000   0.600000  0.750000  10
047    1.000000   0.500000  0.666667  10
048    0.857143   0.600000  0.705882  10
049    1.000000   0.200000  0.333333  10
050    0.400000   0.600000  0.480000  10
051    0.583333   0.700000  0.636364  10
052    1.000000   0.400000  0.571429  10
053    1.000000   0.200000  0.333333  10
054    1.000000   0.400000  0.571429  10
055    0.500000   0.300000  0.375000  10
056    0.285714   0.200000  0.235294  10
057    0.260870   0.600000  0.363636  10
058    1.000000   0.700000  0.823529  10
059    1.000000   0.600000  0.750000  10
060    0.833333   0.500000  0.625000  10
061    0.888889   0.800000  0.842105  10
062    1.000000   0.900000  0.947368  10
063    0.727273   0.800000  0.761905  10
064    0.800000   0.400000  0.533333  10
065    1.000000   0.300000  0.461538  10
066    0.777778   0.700000  0.736842  10
067    0.600000   0.300000  0.400000  10
068    0.470588   0.800000  0.592593  10
069    0.500000   0.500000  0.500000  10
070    0.562500   0.900000  0.692308  10
071    0.625000   0.500000  0.555556  10
072    0.727273   0.800000  0.761905  10
073    1.000000   0.400000  0.571429  10
074    1.000000   0.500000  0.666667  10
075    0.750000   0.600000  0.666667  10
076    0.583333   0.700000  0.636364  10
077    0.750000   0.600000  0.666667  10
078    0.583333   0.700000  0.636364  10
079    0.750000   0.300000  0.428571  10
080    1.000000   0.200000  0.333333  10
081    0.666667   0.200000  0.307692  10
082    0.750000   0.600000  0.666667  10
083    0.562500   0.900000  0.692308  10
084    0.500000   0.300000  0.375000  10
085    1.000000   0.900000  0.947368  10
086    0.666667   0.400000  0.500000  10
087    0.666667   0.200000  0.307692  10
088    0.269231   0.700000  0.388889  10
089    0.777778   0.700000  0.736842  10
090    0.000000   0.000000  0.000000  10
091    1.000000   0.600000  0.750000  10
092    0.538462   0.700000  0.608696  10
093    0.727273   0.800000  0.761905  10
094    0.500000   0.300000  0.375000  10
095    1.000000   0.700000  0.823529  10
096    1.000000   0.700000  0.823529  10
097    1.000000   0.500000  0.666667  10
098    1.000000   0.200000  0.333333  10
099    0.750000   0.300000  0.428571  10
100    0.400000   0.400000  0.400000  10
101    0.833333   1.000000  0.909091  10
102    1.000000   0.400000  0.571429  10
103    0.152174   0.700000  0.250000  10
104    1.000000   0.400000  0.571429  10
105    1.000000   0.300000  0.461538  10
106    1.000000   0.400000  0.571429  10
107    0.875000   0.700000  0.777778  10
108    1.000000   0.700000  0.823529  10
109    0.875000   0.700000  0.777778  10
110    0.095238   0.800000  0.170213  10
111    1.000000   0.300000  0.461538  10
112    0.900000   0.900000  0.900000  10
113    0.888889   0.800000  0.842105  10
114    1.000000   0.300000  0.461538  10
115    0.714286   0.500000  0.588235  10
116    1.000000   1.000000  1.000000  10
117    0.833333   0.500000  0.625000  10
118    1.000000   0.500000  0.666667  10
119    1.000000   0.200000  0.333333  10
120    0.666667   0.600000  0.631579  10
121    0.500000   0.200000  0.285714  10
122    0.625000   0.500000  0.555556  10
123    0.000000   0.000000  0.000000  10
124    0.750000   0.600000  0.666667  10
125    0.315789   0.600000  0.413793  10
126    0.666667   0.200000  0.307692  10
127    1.000000   0.100000  0.181818  10
128    1.000000   0.100000  0.181818  10
129    0.000000   0.000000  0.000000  10
130    1.000000   0.200000  0.333333  10
131    1.000000   0.200000  0.333333  10
132    0.500000   0.400000  0.444444  10
133    0.666667   0.600000  0.631579  10
134    0.857143   0.600000  0.705882  10
135    0.666667   0.400000  0.500000  10
136    0.000000   0.000000  0.000000  10
137    0.121951   0.500000  0.196078  10
138    0.428571   0.300000  0.352941  10
139    0.250000   0.100000  0.142857  10
140    0.454545   0.500000  0.476190  10
141    1.000000   0.100000  0.181818  10
142    1.000000   0.100000  0.181818  10
143    1.000000   0.100000  0.181818  10
144    0.714286   0.500000  0.588235  10
145    1.000000   0.200000  0.333333  10
146    1.000000   0.200000  0.333333  10
147    0.400000   0.400000  0.400000  10
148    1.000000   0.500000  0.666667  10
149    0.800000   0.800000  0.800000  10
150    0.600000   0.300000  0.400000  10
151    0.750000   0.600000  0.666667  10
152    0.375000   0.600000  0.461538  10
153    1.000000   0.300000  0.461538  10
154    1.000000   0.400000  0.571429  10
155    0.000000   0.000000  0.000000  10
156    1.000000   0.500000  0.666667  10
157    0.666667   0.200000  0.307692  10
158    0.333333   0.100000  0.153846  10
159    0.444444   0.400000  0.421053  10
160    0.666667   0.200000  0.307692  10
161    0.333333   0.400000  0.363636  10
162    0.363636   0.400000  0.380952  10
163    0.875000   0.700000  0.777778  10
164    0.800000   0.400000  0.533333  10
165    0.216216   0.800000  0.340426  10
166    0.125000   0.400000  0.190476  10
167    0.875000   0.700000  0.777778  10
168    0.320000   0.800000  0.457143  10
169    1.000000   0.300000  0.461538  10
170    0.600000   0.600000  0.600000  10
171    1.000000   0.300000  0.461538  10
172    0.666667   0.800000  0.727273  10
173    0.500000   0.400000  0.444444  10
174    0.400000   0.200000  0.266667  10
175    0.600000   0.300000  0.400000  10
176    1.000000   0.400000  0.571429  10
177    0.666667   0.400000  0.500000  10
178    0.318182   0.700000  0.437500  10
179    1.000000   0.200000  0.333333  10
180    1.000000   0.100000  0.181818  10
181    0.230769   0.300000  0.260870  10
182    0.750000   0.300000  0.428571  10
183    0.800000   0.400000  0.533333  10
184    0.428571   0.300000  0.352941  10
185    0.500000   0.400000  0.444444  10
186    0.636364   0.700000  0.666667  10
187    0.222222   0.600000  0.324324  10
188    0.400000   0.400000  0.400000  10
189    1.000000   0.900000  0.947368  10
190    0.074380   0.900000  0.137405  10
191    0.833333   0.500000  0.625000  10
