Test classification report
num_samples: 5000

Overall metrics
top1_accuracy: 0.820200 (82.02%)
top2_accuracy: 0.885800 (88.58%)
top3_accuracy: 0.912400 (91.24%)
top4_accuracy: 0.927400 (92.74%)
top5_accuracy: 0.938400 (93.84%)
macro_precision: 0.834258 (83.43%)
macro_recall: 0.820200 (82.02%)
macro_f1: 0.820282 (82.03%)

Per-class metrics
class  precision  recall  f1_score  support
000    1.000000   1.000000  1.000000  10
001    0.750000   0.900000  0.818182  10
002    0.777778   0.700000  0.736842  10
003    1.000000   0.800000  0.888889  10
004    1.000000   0.700000  0.823529  10
005    0.666667   0.800000  0.727273  10
006    0.857143   0.600000  0.705882  10
007    1.000000   0.900000  0.947368  10
008    0.700000   0.700000  0.700000  10
009    1.000000   1.000000  1.000000  10
010    0.833333   1.000000  0.909091  10
011    0.800000   0.800000  0.800000  10
012    0.833333   1.000000  0.909091  10
013    0.909091   1.000000  0.952381  10
014    1.000000   1.000000  1.000000  10
015    0.909091   1.000000  0.952381  10
016    0.900000   0.900000  0.900000  10
017    0.900000   0.900000  0.900000  10
018    0.909091   1.000000  0.952381  10
019    1.000000   0.900000  0.947368  10
020    1.000000   0.600000  0.750000  10
021    1.000000   1.000000  1.000000  10
022    0.875000   0.700000  0.777778  10
023    1.000000   1.000000  1.000000  10
024    0.909091   1.000000  0.952381  10
025    1.000000   1.000000  1.000000  10
026    0.875000   0.700000  0.777778  10
027    0.875000   0.700000  0.777778  10
028    1.000000   0.800000  0.888889  10
029    1.000000   1.000000  1.000000  10
030    0.769231   1.000000  0.869565  10
031    0.875000   0.700000  0.777778  10
032    1.000000   0.800000  0.888889  10
033    0.888889   0.800000  0.842105  10
034    1.000000   0.900000  0.947368  10
035    0.818182   0.900000  0.857143  10
036    0.833333   1.000000  0.909091  10
037    0.888889   0.800000  0.842105  10
038    0.818182   0.900000  0.857143  10
039    1.000000   0.700000  0.823529  10
040    0.900000   0.900000  0.900000  10
041    0.909091   1.000000  0.952381  10
042    1.000000   0.800000  0.888889  10
043    1.000000   1.000000  1.000000  10
044    0.900000   0.900000  0.900000  10
045    0.909091   1.000000  0.952381  10
046    0.900000   0.900000  0.900000  10
047    1.000000   0.800000  0.888889  10
048    1.000000   0.900000  0.947368  10
049    0.727273   0.800000  0.761905  10
050    0.818182   0.900000  0.857143  10
051    1.000000   0.900000  0.947368  10
052    1.000000   0.800000  0.888889  10
053    0.800000   0.800000  0.800000  10
054    0.888889   0.800000  0.842105  10
055    0.800000   0.800000  0.800000  10
056    0.888889   0.800000  0.842105  10
057    0.909091   1.000000  0.952381  10
058    1.000000   1.000000  1.000000  10
059    0.900000   0.900000  0.900000  10
060    0.909091   1.000000  0.952381  10
061    1.000000   1.000000  1.000000  10
062    1.000000   1.000000  1.000000  10
063    0.714286   1.000000  0.833333  10
064    0.700000   0.700000  0.700000  10
065    0.875000   0.700000  0.777778  10
066    1.000000   0.900000  0.947368  10
067    0.888889   0.800000  0.842105  10
068    1.000000   0.800000  0.888889  10
069    0.777778   0.700000  0.736842  10
070    0.909091   1.000000  0.952381  10
071    0.666667   0.800000  0.727273  10
072    0.909091   1.000000  0.952381  10
073    0.909091   1.000000  0.952381  10
074    0.800000   0.800000  0.800000  10
075    0.900000   0.900000  0.900000  10
076    1.000000   0.800000  0.888889  10
077    0.818182   0.900000  0.857143  10
078    0.900000   0.900000  0.900000  10
079    0.909091   1.000000  0.952381  10
080    1.000000   0.600000  0.750000  10
081    0.750000   0.900000  0.818182  10
082    0.714286   1.000000  0.833333  10
083    1.000000   0.900000  0.947368  10
084    0.454545   0.500000  0.476190  10
085    1.000000   1.000000  1.000000  10
086    0.666667   1.000000  0.800000  10
087    0.769231   1.000000  0.869565  10
088    0.727273   0.800000  0.761905  10
089    1.000000   1.000000  1.000000  10
090    0.857143   0.600000  0.705882  10
091    1.000000   1.000000  1.000000  10
092    0.900000   0.900000  0.900000  10
093    0.909091   1.000000  0.952381  10
094    0.583333   0.700000  0.636364  10
095    0.909091   1.000000  0.952381  10
096    1.000000   0.900000  0.947368  10
097    1.000000   0.900000  0.947368  10
098    0.909091   1.000000  0.952381  10
099    1.000000   0.900000  0.947368  10
100    0.857143   0.600000  0.705882  10
101    0.909091   1.000000  0.952381  10
102    1.000000   0.900000  0.947368  10
103    0.888889   0.800000  0.842105  10
104    0.857143   0.600000  0.705882  10
105    1.000000   0.900000  0.947368  10
106    0.777778   0.700000  0.736842  10
107    0.909091   1.000000  0.952381  10
108    0.900000   0.900000  0.900000  10
109    1.000000   0.900000  0.947368  10
110    1.000000   0.800000  0.888889  10
111    0.900000   0.900000  0.900000  10
112    1.000000   1.000000  1.000000  10
113    0.909091   1.000000  0.952381  10
114    0.909091   1.000000  0.952381  10
115    1.000000   0.900000  0.947368  10
116    1.000000   1.000000  1.000000  10
117    1.000000   1.000000  1.000000  10
118    1.000000   0.900000  0.947368  10
119    1.000000   0.700000  0.823529  10
120    1.000000   0.900000  0.947368  10
121    0.666667   0.800000  0.727273  10
122    0.857143   0.600000  0.705882  10
123    0.750000   0.900000  0.818182  10
124    1.000000   1.000000  1.000000  10
125    0.888889   0.800000  0.842105  10
126    0.875000   0.700000  0.777778  10
127    0.714286   1.000000  0.833333  10
128    0.750000   0.600000  0.666667  10
129    0.875000   0.700000  0.777778  10
130    0.636364   0.700000  0.666667  10
131    0.600000   0.600000  0.600000  10
132    0.875000   0.700000  0.777778  10
133    0.777778   0.700000  0.736842  10
134    1.000000   0.800000  0.888889  10
135    0.818182   0.900000  0.857143  10
136    0.666667   0.800000  0.727273  10
137    0.777778   0.700000  0.736842  10
138    0.727273   0.800000  0.761905  10
139    0.714286   0.500000  0.588235  10
140    0.666667   0.800000  0.727273  10
141    0.888889   0.800000  0.842105  10
142    1.000000   0.900000  0.947368  10
143    0.555556   0.500000  0.526316  10
144    0.833333   1.000000  0.909091  10
145    0.909091   1.000000  0.952381  10
146    1.000000   0.900000  0.947368  10
147    1.000000   0.800000  0.888889  10
148    0.909091   1.000000  0.952381  10
149    1.000000   0.900000  0.947368  10
150    0.833333   1.000000  0.909091  10
151    1.000000   1.000000  1.000000  10
152    0.900000   0.900000  0.900000  10
153    1.000000   1.000000  1.000000  10
154    1.000000   0.900000  0.947368  10
155    1.000000   0.500000  0.666667  10
156    0.500000   0.600000  0.545455  10
157    0.500000   0.500000  0.500000  10
158    0.600000   0.600000  0.600000  10
159    0.750000   0.600000  0.666667  10
160    0.700000   0.700000  0.700000  10
161    0.444444   0.400000  0.421053  10
162    0.800000   0.800000  0.800000  10
163    0.833333   1.000000  0.909091  10
164    0.750000   0.900000  0.818182  10
165    0.636364   0.700000  0.666667  10
166    0.454545   0.500000  0.476190  10
167    1.000000   0.800000  0.888889  10
168    1.000000   0.800000  0.888889  10
169    0.588235   1.000000  0.740741  10
170    0.818182   0.900000  0.857143  10
171    0.875000   0.700000  0.777778  10
172    0.900000   0.900000  0.900000  10
173    0.750000   0.900000  0.818182  10
174    0.700000   0.700000  0.700000  10
175    0.700000   0.700000  0.700000  10
176    0.875000   0.700000  0.777778  10
177    0.777778   0.700000  0.736842  10
178    0.750000   0.600000  0.666667  10
179    0.818182   0.900000  0.857143  10
180    0.666667   0.600000  0.631579  10
181    0.800000   0.800000  0.800000  10
182    0.600000   0.600000  0.600000  10
183    0.888889   0.800000  0.842105  10
184    1.000000   0.800000  0.888889  10
185    0.692308   0.900000  0.782609  10
186    0.750000   0.900000  0.818182  10
187    0.666667   0.800000  0.727273  10
188    0.750000   0.600000  0.666667  10
189    1.000000   1.000000  1.000000  10
190    0.615385   0.800000  0.695652  10
191    1.000000   0.700000  0.823529  10
192    1.000000   0.700000  0.823529  10
193    0.888889   0.800000  0.842105  10
194    0.888889   0.800000  0.842105  10
