Test classification report
num_samples: 5000
teacher_fusion_space: calibrated probabilities
teacher_weights: cbp=0.160000, api=0.280000, cbp_api=0.560000
teacher_temperatures: cbp=0.580269, api=0.741046, cbp_api=0.684237
distill_schedule: cosine

Overall metrics
top1_accuracy: 0.829000 (82.90%)
top2_accuracy: 0.892400 (89.24%)
top3_accuracy: 0.919200 (91.92%)
top4_accuracy: 0.932600 (93.26%)
top5_accuracy: 0.942000 (94.20%)
macro_precision: 0.845590 (84.56%)
macro_recall: 0.829000 (82.90%)
macro_f1: 0.829044 (82.90%)

Per-class metrics
class  precision  recall  f1_score  support
000    1.000000   1.000000  1.000000  10
001    0.727273   0.800000  0.761905  10
002    0.750000   0.600000  0.666667  10
003    1.000000   0.800000  0.888889  10
004    1.000000   0.700000  0.823529  10
005    0.714286   1.000000  0.833333  10
006    1.000000   0.600000  0.750000  10
007    0.900000   0.900000  0.900000  10
008    0.800000   0.800000  0.800000  10
009    1.000000   1.000000  1.000000  10
010    1.000000   1.000000  1.000000  10
011    0.900000   0.900000  0.900000  10
012    1.000000   0.900000  0.947368  10
013    0.909091   1.000000  0.952381  10
014    0.909091   1.000000  0.952381  10
015    1.000000   0.900000  0.947368  10
016    1.000000   0.900000  0.947368  10
017    1.000000   0.900000  0.947368  10
018    0.833333   1.000000  0.909091  10
019    0.909091   1.000000  0.952381  10
020    1.000000   0.800000  0.888889  10
021    1.000000   1.000000  1.000000  10
022    1.000000   0.800000  0.888889  10
023    0.769231   1.000000  0.869565  10
024    1.000000   1.000000  1.000000  10
025    0.909091   1.000000  0.952381  10
026    0.857143   0.600000  0.705882  10
027    0.875000   0.700000  0.777778  10
028    1.000000   0.700000  0.823529  10
029    1.000000   1.000000  1.000000  10
030    1.000000   1.000000  1.000000  10
031    0.800000   0.800000  0.800000  10
032    1.000000   0.900000  0.947368  10
033    0.888889   0.800000  0.842105  10
034    0.900000   0.900000  0.900000  10
035    0.900000   0.900000  0.900000  10
036    0.833333   1.000000  0.909091  10
037    0.900000   0.900000  0.900000  10
038    0.909091   1.000000  0.952381  10
039    0.875000   0.700000  0.777778  10
040    0.888889   0.800000  0.842105  10
041    1.000000   1.000000  1.000000  10
042    1.000000   0.800000  0.888889  10
043    1.000000   1.000000  1.000000  10
044    0.833333   1.000000  0.909091  10
045    0.900000   0.900000  0.900000  10
046    0.833333   1.000000  0.909091  10
047    1.000000   0.900000  0.947368  10
048    1.000000   1.000000  1.000000  10
049    1.000000   0.900000  0.947368  10
050    0.833333   1.000000  0.909091  10
051    1.000000   0.900000  0.947368  10
052    0.857143   0.600000  0.705882  10
053    0.727273   0.800000  0.761905  10
054    0.888889   0.800000  0.842105  10
055    0.900000   0.900000  0.900000  10
056    0.888889   0.800000  0.842105  10
057    0.833333   1.000000  0.909091  10
058    1.000000   1.000000  1.000000  10
059    0.900000   0.900000  0.900000  10
060    0.909091   1.000000  0.952381  10
061    0.909091   1.000000  0.952381  10
062    0.909091   1.000000  0.952381  10
063    0.769231   1.000000  0.869565  10
064    1.000000   0.800000  0.888889  10
065    1.000000   0.700000  0.823529  10
066    1.000000   1.000000  1.000000  10
067    0.875000   0.700000  0.777778  10
068    0.818182   0.900000  0.857143  10
069    0.700000   0.700000  0.700000  10
070    0.909091   1.000000  0.952381  10
071    0.727273   0.800000  0.761905  10
072    0.769231   1.000000  0.869565  10
073    0.909091   1.000000  0.952381  10
074    0.833333   1.000000  0.909091  10
075    1.000000   0.900000  0.947368  10
076    0.888889   0.800000  0.842105  10
077    1.000000   1.000000  1.000000  10
078    0.692308   0.900000  0.782609  10
079    1.000000   1.000000  1.000000  10
080    1.000000   0.700000  0.823529  10
081    0.900000   0.900000  0.900000  10
082    0.909091   1.000000  0.952381  10
083    1.000000   1.000000  1.000000  10
084    0.750000   0.600000  0.666667  10
085    1.000000   1.000000  1.000000  10
086    0.900000   0.900000  0.900000  10
087    0.769231   1.000000  0.869565  10
088    0.642857   0.900000  0.750000  10
089    1.000000   0.900000  0.947368  10
090    1.000000   0.700000  0.823529  10
091    1.000000   1.000000  1.000000  10
092    1.000000   1.000000  1.000000  10
093    0.909091   1.000000  0.952381  10
094    0.636364   0.700000  0.666667  10
095    1.000000   1.000000  1.000000  10
096    1.000000   0.900000  0.947368  10
097    1.000000   0.900000  0.947368  10
098    1.000000   1.000000  1.000000  10
099    1.000000   0.900000  0.947368  10
100    0.750000   0.600000  0.666667  10
101    1.000000   1.000000  1.000000  10
102    1.000000   0.900000  0.947368  10
103    1.000000   0.700000  0.823529  10
104    0.800000   0.800000  0.800000  10
105    1.000000   0.900000  0.947368  10
106    1.000000   0.700000  0.823529  10
107    1.000000   1.000000  1.000000  10
108    1.000000   0.900000  0.947368  10
109    1.000000   0.900000  0.947368  10
110    0.750000   0.900000  0.818182  10
111    0.900000   0.900000  0.900000  10
112    1.000000   1.000000  1.000000  10
113    0.833333   1.000000  0.909091  10
114    0.900000   0.900000  0.900000  10
115    0.818182   0.900000  0.857143  10
116    1.000000   1.000000  1.000000  10
117    0.909091   1.000000  0.952381  10
118    0.900000   0.900000  0.900000  10
119    1.000000   0.600000  0.750000  10
120    1.000000   0.800000  0.888889  10
121    0.583333   0.700000  0.636364  10
122    1.000000   0.700000  0.823529  10
123    0.888889   0.800000  0.842105  10
124    1.000000   1.000000  1.000000  10
125    0.666667   0.800000  0.727273  10
126    1.000000   0.600000  0.750000  10
127    0.800000   0.800000  0.800000  10
128    0.777778   0.700000  0.736842  10
129    1.000000   0.900000  0.947368  10
130    0.727273   0.800000  0.761905  10
131    0.777778   0.700000  0.736842  10
132    1.000000   0.700000  0.823529  10
133    1.000000   0.900000  0.947368  10
134    1.000000   0.900000  0.947368  10
135    0.750000   0.900000  0.818182  10
136    0.888889   0.800000  0.842105  10
137    0.888889   0.800000  0.842105  10
138    0.888889   0.800000  0.842105  10
139    0.636364   0.700000  0.666667  10
140    0.750000   0.600000  0.666667  10
141    0.909091   1.000000  0.952381  10
142    0.888889   0.800000  0.842105  10
143    1.000000   0.700000  0.823529  10
144    0.818182   0.900000  0.857143  10
145    0.833333   1.000000  0.909091  10
146    0.900000   0.900000  0.900000  10
147    1.000000   0.900000  0.947368  10
148    1.000000   1.000000  1.000000  10
149    1.000000   0.900000  0.947368  10
150    0.833333   1.000000  0.909091  10
151    1.000000   1.000000  1.000000  10
152    0.818182   0.900000  0.857143  10
153    1.000000   1.000000  1.000000  10
154    1.000000   0.900000  0.947368  10
155    0.833333   0.500000  0.625000  10
156    0.615385   0.800000  0.695652  10
157    0.444444   0.400000  0.421053  10
158    0.500000   0.600000  0.545455  10
159    0.636364   0.700000  0.666667  10
160    0.857143   0.600000  0.705882  10
161    0.625000   0.500000  0.555556  10
162    1.000000   0.900000  0.947368  10
163    0.833333   1.000000  0.909091  10
164    0.750000   0.900000  0.818182  10
165    0.571429   0.800000  0.666667  10
166    0.500000   0.500000  0.500000  10
167    1.000000   0.800000  0.888889  10
168    0.888889   0.800000  0.842105  10
169    0.750000   0.900000  0.818182  10
170    1.000000   0.800000  0.888889  10
171    0.727273   0.800000  0.761905  10
172    0.818182   0.900000  0.857143  10
