Robustness classification report
model: pmg_cov
degradation: gaussian_blur
severity: 3
num_samples: 5000
num_classes: 500
nll: 6.585435

Overall metrics
top1_accuracy: 0.358400 (35.84%)
top2_accuracy: 0.443600 (44.36%)
top3_accuracy: 0.493200 (49.32%)
top4_accuracy: 0.525200 (52.52%)
top5_accuracy: 0.550200 (55.02%)
macro_precision: 0.570511 (57.05%)
macro_recall: 0.358400 (35.84%)
macro_f1: 0.380476 (38.05%)

Per-class metrics
class  precision  recall  f1_score  support
000    1.000000   0.100000  0.181818  10
001    0.500000   0.200000  0.285714  10
002    0.666667   0.400000  0.500000  10
003    0.333333   0.500000  0.400000  10
004    0.750000   0.600000  0.666667  10
005    0.000000   0.000000  0.000000  10
006    0.666667   0.200000  0.307692  10
007    0.375000   0.600000  0.461538  10
008    0.444444   0.400000  0.421053  10
009    0.800000   0.400000  0.533333  10
010    0.625000   0.500000  0.555556  10
011    1.000000   0.600000  0.750000  10
012    1.000000   0.400000  0.571429  10
013    0.700000   0.700000  0.700000  10
014    0.666667   0.600000  0.631579  10
015    0.571429   0.400000  0.470588  10
016    0.500000   0.500000  0.500000  10
017    0.350000   0.700000  0.466667  10
018    0.777778   0.700000  0.736842  10
019    1.000000   0.300000  0.461538  10
020    1.000000   0.200000  0.333333  10
021    0.857143   0.600000  0.705882  10
022    1.000000   0.100000  0.181818  10
023    1.000000   0.400000  0.571429  10
024    0.625000   1.000000  0.769231  10
025    0.777778   0.700000  0.736842  10
026    0.000000   0.000000  0.000000  10
027    0.000000   0.000000  0.000000  10
028    0.363636   0.400000  0.380952  10
029    1.000000   0.600000  0.750000  10
030    0.500000   0.600000  0.545455  10
031    1.000000   0.300000  0.461538  10
032    1.000000   0.600000  0.750000  10
033    0.285714   0.200000  0.235294  10
034    0.571429   0.400000  0.470588  10
035    0.071429   0.700000  0.129630  10
036    0.444444   0.400000  0.421053  10
037    0.500000   0.400000  0.444444  10
038    0.600000   0.300000  0.400000  10
039    0.400000   0.200000  0.266667  10
040    0.500000   0.100000  0.166667  10
041    1.000000   0.900000  0.947368  10
042    0.666667   0.600000  0.631579  10
043    0.875000   0.700000  0.777778  10
044    0.428571   0.600000  0.500000  10
045    1.000000   0.900000  0.947368  10
046    0.666667   0.600000  0.631579  10
047    0.875000   0.700000  0.777778  10
048    1.000000   0.100000  0.181818  10
049    1.000000   0.200000  0.333333  10
050    0.857143   0.600000  0.705882  10
051    0.857143   0.600000  0.705882  10
052    1.000000   0.100000  0.181818  10
053    1.000000   0.100000  0.181818  10
054    1.000000   0.600000  0.750000  10
055    0.571429   0.400000  0.470588  10
056    1.000000   0.200000  0.333333  10
057    0.666667   0.400000  0.500000  10
058    1.000000   0.700000  0.823529  10
059    0.600000   0.600000  0.600000  10
