Robustness classification report
model: pmg_cov
degradation: jpeg
severity: 3
num_samples: 5000
num_classes: 500
nll: 1.851639

Overall metrics
top1_accuracy: 0.804000 (80.40%)
top2_accuracy: 0.872800 (87.28%)
top3_accuracy: 0.899200 (89.92%)
top4_accuracy: 0.913400 (91.34%)
top5_accuracy: 0.921200 (92.12%)
macro_precision: 0.824767 (82.48%)
macro_recall: 0.804000 (80.40%)
macro_f1: 0.803025 (80.30%)

Per-class metrics
class  precision  recall  f1_score  support
000    0.909091   1.000000  0.952381  10
001    1.000000   0.400000  0.571429  10
002    0.818182   0.900000  0.857143  10
003    1.000000   0.700000  0.823529  10
004    0.642857   0.900000  0.750000  10
005    0.818182   0.900000  0.857143  10
006    0.818182   0.900000  0.857143  10
007    0.888889   0.800000  0.842105  10
008    0.777778   0.700000  0.736842  10
009    1.000000   1.000000  1.000000  10
010    1.000000   1.000000  1.000000  10
011    0.727273   0.800000  0.761905  10
012    0.900000   0.900000  0.900000  10
013    0.900000   0.900000  0.900000  10
014    0.750000   0.900000  0.818182  10
015    1.000000   1.000000  1.000000  10
016    0.888889   0.800000  0.842105  10
017    1.000000   0.900000  0.947368  10
018    0.909091   1.000000  0.952381  10
019    1.000000   0.800000  0.888889  10
020    0.800000   0.800000  0.800000  10
021    0.909091   1.000000  0.952381  10
022    1.000000   0.600000  0.750000  10
023    1.000000   0.900000  0.947368  10
024    0.909091   1.000000  0.952381  10
025    0.909091   1.000000  0.952381  10
026    0.727273   0.800000  0.761905  10
027    1.000000   0.900000  0.947368  10
028    1.000000   0.600000  0.750000  10
029    1.000000   0.900000  0.947368  10
030    0.714286   1.000000  0.833333  10
031    0.666667   0.600000  0.631579  10
032    1.000000   0.900000  0.947368  10
033    1.000000   0.700000  0.823529  10
034    0.818182   0.900000  0.857143  10
035    0.466667   0.700000  0.560000  10
036    0.909091   1.000000  0.952381  10
037    1.000000   0.900000  0.947368  10
038    0.750000   0.600000  0.666667  10
039    0.857143   0.600000  0.705882  10
040    1.000000   0.900000  0.947368  10
041    1.000000   1.000000  1.000000  10
042    1.000000   0.800000  0.888889  10
043    1.000000   0.900000  0.947368  10
044    0.750000   0.900000  0.818182  10
045    0.909091   1.000000  0.952381  10
046    0.833333   1.000000  0.909091  10
047    1.000000   0.800000  0.888889  10
048    1.000000   1.000000  1.000000  10
049    0.888889   0.800000  0.842105  10
050    1.000000   1.000000  1.000000  10
051    0.818182   0.900000  0.857143  10
052    1.000000   0.600000  0.750000  10
053    0.888889   0.800000  0.842105  10
054    1.000000   0.800000  0.888889  10
055    0.700000   0.700000  0.700000  10
056    0.857143   0.600000  0.705882  10
057    0.900000   0.900000  0.900000  10
058    0.909091   1.000000  0.952381  10
059    0.900000   0.900000  0.900000  10
060    0.833333   1.000000  0.909091  10
061    0.909091   1.000000  0.952381  10
062    1.000000   1.000000  1.000000  10
