Robustness classification report
model: pmg_cov
degradation: motion_blur
severity: 1
num_samples: 5000
num_classes: 500
nll: 1.702987

Overall metrics
top1_accuracy: 0.826000 (82.60%)
top2_accuracy: 0.888400 (88.84%)
top3_accuracy: 0.911200 (91.12%)
top4_accuracy: 0.924600 (92.46%)
top5_accuracy: 0.932000 (93.20%)
macro_precision: 0.844938 (84.49%)
macro_recall: 0.826000 (82.60%)
macro_f1: 0.825875 (82.59%)

Per-class metrics
class  precision  recall  f1_score  support
000    0.833333   1.000000  0.909091  10
001    0.666667   0.400000  0.500000  10
002    0.875000   0.700000  0.777778  10
003    1.000000   0.700000  0.823529  10
004    0.750000   0.900000  0.818182  10
005    0.900000   0.900000  0.900000  10
006    0.833333   1.000000  0.909091  10
007    1.000000   0.900000  0.947368  10
008    1.000000   0.600000  0.750000  10
009    1.000000   1.000000  1.000000  10
010    1.000000   1.000000  1.000000  10
011    0.888889   0.800000  0.842105  10
012    1.000000   0.900000  0.947368  10
013    1.000000   1.000000  1.000000  10
014    0.900000   0.900000  0.900000  10
015    1.000000   1.000000  1.000000  10
016    0.875000   0.700000  0.777778  10
017    0.818182   0.900000  0.857143  10
018    0.909091   1.000000  0.952381  10
019    1.000000   0.800000  0.888889  10
020    1.000000   0.800000  0.888889  10
021    1.000000   1.000000  1.000000  10
022    1.000000   0.700000  0.823529  10
023    0.900000   0.900000  0.900000  10
024    0.833333   1.000000  0.909091  10
025    0.909091   1.000000  0.952381  10
026    0.727273   0.800000  0.761905  10
027    0.875000   0.700000  0.777778  10
028    1.000000   0.700000  0.823529  10
029    1.000000   1.000000  1.000000  10
030    0.833333   1.000000  0.909091  10
031    0.833333   0.500000  0.625000  10
032    0.818182   0.900000  0.857143  10
033    0.888889   0.800000  0.842105  10
034    0.900000   0.900000  0.900000  10
035    0.833333   1.000000  0.909091  10
036    1.000000   0.900000  0.947368  10
037    0.900000   0.900000  0.900000  10
038    0.777778   0.700000  0.736842  10
039    1.000000   0.600000  0.750000  10
040    0.888889   0.800000  0.842105  10
041    1.000000   1.000000  1.000000  10
042    1.000000   0.700000  0.823529  10
043    1.000000   0.900000  0.947368  10
044    0.900000   0.900000  0.900000  10
045    0.833333   1.000000  0.909091  10
